mass,intensity,assign,C,O,H,N,numbers,O/C,H/C,volume,color
163.81278,592995,False,,,,,1,,,0.4632098526269415,blue
163.85655,572174,False,,,,,1,,,0.44694581609788886,blue
163.89465,577633,False,,,,,1,,,0.45121003853735375,blue
163.92081,585904,False,,,,,1,,,0.4576708159318974,blue
163.93004,622913,False,,,,,1,,,0.4865798850401875,blue
164.39289,560453,False,,,,,1,,,0.43779011886158775,blue
164.41588,608228,False,,,,,1,,,0.475108900148533,blue
164.49709,606018,False,,,,,1,,,0.47338258917743625,blue
164.53307,567643,False,,,,,1,,,0.4434064880390474,blue
164.54924,741682,False,,,,,1,,,0.5793546487171987,blue
164.58321,636145,False,,,,,1,,,0.4969158790535598,blue
164.6181,602711,False,,,,,1,,,0.4707993718102792,blue
164.65143,569177,False,,,,,1,,,0.44460475094839697,blue
164.69882,620991,False,,,,,1,,,0.4850785412906635,blue
164.69994,599066,False,,,,,1,,,0.46795213041224853,blue
164.75258,582407,False,,,,,1,,,0.4549391826893972,blue
164.87213,663513,False,,,,,1,,,0.5182940141924633,blue
164.88767,562517,False,,,,,1,,,0.43940238394952613,blue
164.95152,596936,False,,,,,1,,,0.4662883103360331,blue
164.95184,562976,False,,,,,1,,,0.43976092545890777,blue
164.96864,591954,False,,,,,1,,,0.46239668985729815,blue
164.99514,583791,False,,,,,1,,,0.45602027517084426,blue
164.99969,620720,False,,,,,1,,,0.484866853384253,blue
165.01917,572035,True,8.0,4.0,6.0,0.0,1,0.5,0.75,0.44683723816803256,blue
165.01934,1878999,True,8.0,4.0,6.0,0.0,1,0.5,0.75,1.4677541123890934,blue
165.03229,567045,False,,,,,1,,,0.4429393685998095,blue
165.04044,882798,False,,,,,1,,,0.6895854627431237,blue
165.05573,999682,True,9.0,3.0,10.0,0.0,1,0.3333333333333333,1.1111111111111112,0.7808877847094935,blue
165.05867,582977,False,,,,,1,,,0.4553844303154267,blue
165.06351,649227,False,,,,,1,,,0.5071347026390296,blue
165.09133,610150,False,,,,,1,,,0.47661024389805706,blue
165.1453,646193,False,,,,,1,,,0.504764735450655,blue
165.151,562266,False,,,,,1,,,0.4392063187668359,blue
165.25146,681458,False,,,,,1,,,0.5323115030505321,blue
165.26729,595779,False,,,,,1,,,0.46538453576881184,blue
165.27381,675430,False,,,,,1,,,0.5276028141212238,blue
165.2896,653667,False,,,,,1,,,0.5106029473049435,blue
165.33577,574747,False,,,,,1,,,0.4489556795045097,blue
165.3372,720039,False,,,,,1,,,0.5624485182432404,blue
165.35477,635152,False,,,,,1,,,0.49614021082084525,blue
165.41992,582677,False,,,,,1,,,0.4551500894596217,blue
165.5618,601419,False,,,,,1,,,0.4697901438579457,blue
165.59525,576724,False,,,,,1,,,0.4504999857442646,blue
165.59676,590114,False,,,,,1,,,0.4609593992750275,blue
165.60393,590762,False,,,,,1,,,0.4614655755235663,blue
165.61217,607435,False,,,,,1,,,0.4744894591530218,blue
165.62701,596342,False,,,,,1,,,0.4658243154415392,blue
165.63623,586709,False,,,,,1,,,0.4582996305616408,blue
165.65448,601053,False,,,,,1,,,0.4695042480138636,blue
165.70369,600826,False,,,,,1,,,0.46932693009963783,blue
165.71421,588246,False,,,,,1,,,0.4595002368795484,blue
165.72754,710463,False,,,,,1,,,0.5549683581259449,blue
165.72894,637034,False,,,,,1,,,0.4976103091229286,blue
165.74571,577824,False,,,,,1,,,0.4513592355488829,blue
165.8175,649740,False,,,,,1,,,0.5075354255024561,blue
165.95006,561963,False,,,,,1,,,0.4389696345024729,blue
165.95693,588493,False,,,,,1,,,0.4596931775174945,blue
165.98689,580732,False,,,,,1,,,0.45363077957781933,blue
166.00251,561715,False,,,,,1,,,0.43877591272834077,blue
166.01803,797052,False,,,,,1,,,0.6226061593369404,blue
166.03924,612007,False,,,,,1,,,0.47806081379549,blue
166.09018,576385,False,,,,,1,,,0.45023518057720496,blue
166.11269,579388,False,,,,,1,,,0.45258093254381293,blue
166.11535,577664,False,,,,,1,,,0.45123425375912024,blue
166.12414,588014,False,,,,,1,,,0.45931901328439256,blue
166.15951,587895,False,,,,,1,,,0.45922605807825656,blue
166.18681,598738,False,,,,,1,,,0.46769591774323505,blue
166.2065,603907,False,,,,,1,,,0.47173361068875513,blue
166.22781,578872,False,,,,,1,,,0.4521778662718284,blue
166.23893,584957,False,,,,,1,,,0.45693107996373966,blue
166.26894,587841,False,,,,,1,,,0.4591838767242117,blue
166.2924,581091,False,,,,,1,,,0.4539112074685993,blue
166.37135,640313,False,,,,,1,,,0.5001716546768772,blue
166.40024,595864,False,,,,,1,,,0.4654509323446232,blue
166.43178,568010,False,,,,,1,,,0.44369316501931555,blue
166.45925,588053,False,,,,,1,,,0.4593494775956472,blue
166.45962,591988,False,,,,,1,,,0.46242324848762273,blue
166.48673,592506,False,,,,,1,,,0.4628278770319793,blue
166.65834,672510,False,,,,,1,,,0.5253218964580552,blue
166.68307,591404,False,,,,,1,,,0.46196706495498896,blue
166.77014,571296,False,,,,,1,,,0.44625997852656624,blue
166.77119,573356,False,,,,,1,,,0.4478691190697605,blue
166.77482,648986,False,,,,,1,,,0.5069464488181995,blue
166.78669,659894,False,,,,,1,,,0.5154670823352692,blue
166.83594,576212,False,,,,,1,,,0.4501000440170241,blue
166.84214,582517,False,,,,,1,,,0.45502510766985904,blue
166.90375,574782,False,,,,,1,,,0.4489830192710203,blue
166.93032,614837,False,,,,,1,,,0.48027142920191707,blue
166.93659,615603,False,,,,,1,,,0.4808697795204058,blue
166.98065,614997,False,,,,,1,,,0.48039641099167973,blue
166.98278,583557,False,,,,,1,,,0.45583748930331636,blue
166.99863,740954,True,7.0,5.0,4.0,0.0,1,0.7142857142857143,0.5714285714285714,0.5787859815737785,blue
167.02363,639581,False,,,,,1,,,0.49959986298871295,blue
167.03157,610356,False,,,,,1,,,0.47677115795237646,blue
167.035,2209956,True,8.0,4.0,8.0,0.0,1,0.5,1.0,1.7262766011046047,blue
167.04789,637248,False,,,,,1,,,0.49777747226673613,blue
167.05061,702224,False,,,,,1,,,0.5485325770893538,blue
167.06005,773521,False,,,,,1,,,0.6042252437437826,blue
167.07138,1120395,True,9.0,3.0,12.0,0.0,1,0.3333333333333333,1.3333333333333333,0.875181077132121,blue
167.07216,887531,False,,,,,1,,,0.6932825803115406,blue
167.15735,566431,False,,,,,1,,,0.44245975098159523,blue
167.20609,568122,False,,,,,1,,,0.4437806522721494,blue
167.23618,575475,False,,,,,1,,,0.44952434664792984,blue
167.29371,662498,False,,,,,1,,,0.5175011609636565,blue
167.33268,609739,False,,,,,1,,,0.4762891969256042,blue
167.39195,570866,False,,,,,1,,,0.44592408996657906,blue
167.43579,593775,False,,,,,1,,,0.46381913885203446,blue
167.45119,591146,False,,,,,1,,,0.4617655318189967,blue
167.46317,565083,False,,,,,1,,,0.44140677940284484,blue
167.53808,574206,False,,,,,1,,,0.4485330848278747,blue
167.54661,598372,False,,,,,1,,,0.467410021899153,blue
167.55891,675771,False,,,,,1,,,0.5278691815606554,blue
167.56912,671791,False,,,,,1,,,0.5247602595403091,blue
167.59983,567616,False,,,,,1,,,0.443385397362025,blue
167.62146,635945,False,,,,,1,,,0.49675965181635645,blue
167.62257,619291,False,,,,,1,,,0.48375060977443524,blue
167.62754,618061,False,,,,,1,,,0.4827898122656347,blue
167.63225,667078,False,,,,,1,,,0.5210787646956128,blue
167.63656,583742,False,,,,,1,,,0.45598199949772944,blue
167.66772,561153,False,,,,,1,,,0.4383369141917994,blue
167.70355,572495,False,,,,,1,,,0.4471965608136002,blue
167.72432,582943,False,,,,,1,,,0.4553578716851021,blue
167.72697,570574,False,,,,,1,,,0.44569599820026223,blue
167.74235,605160,False,,,,,1,,,0.472712374329834,blue
167.80506,578003,False,,,,,1,,,0.4514990589261799,blue
167.83664,679940,False,,,,,1,,,0.5311257383201589,blue
167.84413,572666,False,,,,,1,,,0.44733013510140907,blue
167.92175,567738,False,,,,,1,,,0.443480695976719,blue
167.9324,698240,False,,,,,1,,,0.5454205305242634,blue
167.9503,604795,False,,,,,1,,,0.4724272596219379,blue
167.97326,599248,False,,,,,1,,,0.4680942971981036,blue
167.9824,598620,False,,,,,1,,,0.4676037436732851,blue
168.02629,586470,False,,,,,1,,,0.45811293901318284,blue
168.04176,650254,False,,,,,1,,,0.5079369295020686,blue
168.04644,732488,False,,,,,1,,,0.5721728826229616,blue
168.06271,573779,False,,,,,1,,,0.4481995396764456,blue
168.18862,603192,False,,,,,1,,,0.4711750983157532,blue
168.20003,592320,False,,,,,1,,,0.4626825857013802,blue
168.20432,559219,False,,,,,1,,,0.4368261968080432,blue
168.21694,664991,False,,,,,1,,,0.519448533475396,blue
168.21898,591105,False,,,,,1,,,0.46173350523537,blue
168.23674,648350,False,,,,,1,,,0.506449646203893,blue
168.24051,559842,False,,,,,1,,,0.4373128446519316,blue
168.26761,570949,False,,,,,1,,,0.44598892427001846,blue
168.27145,569848,False,,,,,1,,,0.4451288933292141,blue
168.28394,584249,False,,,,,1,,,0.4563780355440399,blue
168.32185,593723,False,,,,,1,,,0.4637785197703616,blue
168.33768,571160,False,,,,,1,,,0.44615374400526797,blue
168.34914,642112,False,,,,,1,,,0.5015769186755211,blue
168.36451,561491,False,,,,,1,,,0.43860093822267304,blue
168.3838,628501,False,,,,,1,,,0.4909448740476485,blue
168.39167,684152,False,,,,,1,,,0.534415883935661,blue
168.55223,622019,False,,,,,1,,,0.48588154928988864,blue
168.56042,578184,False,,,,,1,,,0.4516404445758489,blue
168.56186,566174,False,,,,,1,,,0.442258998981789,blue
168.58594,582527,False,,,,,1,,,0.4550329190317192,blue
168.58621,620413,False,,,,,1,,,0.4846270445751459,blue
168.6178,580232,False,,,,,1,,,0.45324021148481103,blue
168.62488,594524,False,,,,,1,,,0.4644042098553609,blue
168.63902,660694,False,,,,,1,,,0.5160919912840825,blue
168.66366,594967,False,,,,,1,,,0.4647502531857663,blue
168.71134,715905,False,,,,,1,,,0.5592193012502475,blue
168.71184,563049,False,,,,,1,,,0.43981794840048694,blue
168.72469,647883,False,,,,,1,,,0.5060848556050231,blue
168.72778,611236,False,,,,,1,,,0.4774585577960711,blue
168.76375,687483,False,,,,,1,,,0.5370178485712824,blue
168.78491,592514,False,,,,,1,,,0.46283412612146746,blue
168.80726,585994,False,,,,,1,,,0.45774111818863894,blue
168.81285,655269,False,,,,,1,,,0.5118543274749421,blue
168.85536,629018,False,,,,,1,,,0.49134872145581915,blue
168.8732,567015,False,,,,,1,,,0.442915934514229,blue
168.8762,574199,False,,,,,1,,,0.4485276168745726,blue
168.87984,668401,False,,,,,1,,,0.5221122078697127,blue
168.91691,634774,False,,,,,1,,,0.49584494134253093,blue
168.94403,587277,False,,,,,1,,,0.45874331591529827,blue
168.95204,1217481,False,,,,,1,,,0.9510184648877331,blue
168.96265,580677,False,,,,,1,,,0.4535878170875884,blue
168.96447,612904,False,,,,,1,,,0.4787614929543469,blue
168.97932,600530,False,,,,,1,,,0.4690957137885769,blue
169.00339,609955,False,,,,,1,,,0.4764579223417838,blue
169.00945,3692239,False,,,,,1,,,2.884141490321918,blue
169.01424,1948575,True,7.0,5.0,6.0,0.0,1,0.7142857142857143,0.8571428571428571,1.5221024436673876,blue
169.01842,635313,False,,,,,1,,,0.49626597374679393,blue
