Name,m/z,I,I %,Res.,S/N
FA-parent,477.12884,8339309,1.8,451381,8.1
FA-parent,477.13127000000003,7275379,1.6,553645,6.8
FA-parent,477.13498,6406014,1.4,551514,5.7
FA-parent,477.1383,22053768,4.8,583337,25.1
FA-parent,477.14029000000005,303522701,65.5,405267,373.9
FA-parent,477.14359,14064534,3.0,389389,15.2
FA-parent,477.15164000000004,10081197,2.2,541130,10.2
FA-parent,477.15542999999997,14013368,3.0,446681,15.1
FA-parent,477.17465999999996,7547886,1.6,472857,7.1
FA-parent,477.17669000000006,84354036,18.2,405362,102.3
FA-parent,477.1802,5806078,1.3,416107,4.9
FA-parent,477.2131,27886683,6.0,416361,32.3
FA-parent,477.24948,5436610,1.2,656340,4.5
FA-parent,477.51455999999996,5207473,1.1,474681,4.2
FA-parent,477.92477,5684283,1.2,320038,4.8
FA-parent,477.97738,5065936,1.1,479464,4.0
FA-parent,478.0449,6799760,1.5,451888,6.2
FA-parent,478.07089,22744537,4.9,433396,25.9
FA-parent,478.07800000000003,8028653,1.7,525898,7.7
FA-parent,478.08125,6606326,1.4,512576,5.9
FA-parent,478.0859,13063684,2.8,387608,13.9
FA-parent,478.09912,26414633,5.7,433954,30.5
FA-parent,478.10554,9301564,2.0,830420,9.3
FA-parent,478.10720999999995,90902080,19.6,407004,110.4
FA-parent,478.10885,6311493,1.4,843161,5.6
FA-parent,478.11413,7411284,1.6,608228,6.9
FA-parent,478.1225,10303084,2.2,343183,10.5
FA-parent,478.13372999999996,6572683,1.4,641644,5.9
FA-parent,478.13548,39022224,8.4,404488,46.1
FA-parent,478.14178,8668834,1.9,674439,8.5
FA-parent,478.14359,73600679,15.9,410516,89.0
FA-parent,478.14705999999995,5407921,1.2,485954,4.4
FA-parent,478.17205,9613048,2.1,502474,9.6
FA-parent,478.17987999999997,23764750,5.1,450982,27.2
FA-parent,478.21657000000005,8222070,1.8,332394,7.9
FA-parent,478.83013,5123651,1.1,406141,4.1
FA-parent,478.88634,5060835,1.1,508533,4.0
FA-parent,479.02896,11841656,2.6,427851,12.4
FA-parent,479.04672999999997,12525739,2.7,423801,13.3
FA-parent,479.06021,5830865,1.3,843348,5.0
FA-parent,479.06195,35711190,7.7,419597,42.0
FA-parent,479.0654,31881440,6.9,430623,37.2
FA-parent,479.07537,5996796,1.3,554848,5.2
FA-parent,479.08131,16939277,3.7,454103,18.7
FA-parent,479.0831,176584978,38.1,402144,216.6
FA-parent,479.0851,6068504,1.3,760676,5.2
FA-parent,479.08646,13347100,2.9,438950,14.3
FA-parent,479.09455,6149427,1.3,572541,5.3
FA-parent,479.09655999999995,13674809,3.0,579633,14.7
FA-parent,479.09835999999996,86677822,18.7,413166,105.2
FA-parent,479.10166,18139463,3.9,446915,20.2
FA-parent,479.10835999999995,9729370,2.1,366516,9.8
FA-parent,479.11055,10758496,2.3,265418,11.1
FA-parent,479.11402999999996,7351658,1.6,305570,6.8
FA-parent,479.11782999999997,34871669,7.5,487671,41.0
FA-parent,479.11945999999995,441710970,95.3,409035,545.2
FA-parent,479.12262999999996,17080706,3.7,362746,18.9
FA-parent,479.12614,6765452,1.5,404126,6.1
FA-parent,479.13069,11090330,2.4,382669,11.5
FA-parent,479.13309000000004,9673120,2.1,553345,9.7
FA-parent,479.13469000000003,62036389,13.4,412788,74.6
FA-parent,479.13789,5987758,1.3,715248,5.1
FA-parent,479.13915999999995,7901617,1.7,544289,7.5
FA-parent,479.14454000000006,5595585,1.2,432146,4.7
FA-parent,479.14689000000004,8821191,1.9,501047,8.7
FA-parent,479.15419,21207516,4.6,449982,24.0
FA-parent,479.15585999999996,222493153,48.0,409051,273.5
FA-parent,479.15898,10223082,2.2,438214,10.4
FA-parent,479.16684000000004,9476608,2.0,466625,9.5
FA-parent,479.17105,9675276,2.1,375062,9.7
FA-parent,479.18344,7942703,1.7,454878,7.6
FA-parent,479.19221,81689160,17.6,397202,99.0
FA-parent,479.21545999999995,5136010,1.1,473144,4.1
FA-parent,479.22855999999996,22512304,4.9,425453,25.6
FA-parent,479.2647,5188374,1.1,479639,4.2
FA-parent,479.34790999999996,5171715,1.1,425323,4.1
FA-parent,479.52475999999996,5484282,1.2,326128,4.5
FA-parent,479.58094000000006,6202521,1.3,498707,5.4
FA-parent,479.73162,5100230,1.1,275118,4.0
FA-parent,479.80039000000005,5361418,1.2,452153,4.4
FA-parent,479.93595999999997,5555340,1.2,436139,4.6
FA-parent,480.00275999999997,6062922,1.3,387805,5.2
FA-parent,480.05710999999997,6105061,1.3,621701,5.3
FA-parent,480.06564000000003,7506941,1.6,582053,7.0
FA-parent,480.06868,7619590,1.6,568233,7.2
FA-parent,480.07839,7665697,1.7,515242,7.2
FA-parent,480.08652,33981496,7.3,430276,39.8
FA-parent,480.0937,14853197,3.2,475453,16.1
FA-parent,480.10175,20180068,4.4,391135,22.7
FA-parent,480.10522000000003,6044782,1.3,590548,5.2
FA-parent,480.11481,26145929,5.6,442838,30.1
FA-parent,480.12095999999997,5747867,1.2,667417,4.8
FA-parent,480.12294,85730464,18.5,415497,104.0
FA-parent,480.12622000000005,6604969,1.4,473009,5.9
FA-parent,480.12998,11412660,2.5,475972,11.9
FA-parent,480.1381,15275211,3.3,419698,16.7
FA-parent,480.14792,5088487,1.1,630126,4.0
FA-parent,480.15124000000003,18607345,4.0,459045,20.8
FA-parent,480.1593,46437640,10.0,397073,55.3
FA-parent,480.19570999999996,16121200,3.5,430138,17.7
FA-parent,480.21104,5296539,1.1,472875,4.3
FA-parent,480.38638,5163407,1.1,515252,4.1
FA-parent,480.68425,5212896,1.1,406709,4.2
FA-parent,480.71178,5152559,1.1,556541,4.1
FA-parent,480.74993,5171099,1.1,543986,4.1
FA-parent,480.93695,5112753,1.1,529377,4.1
FA-parent,481.04130999999995,12961499,2.8,472810,13.8
FA-parent,481.04472000000004,19212004,4.1,453615,21.5
FA-parent,481.05422000000004,5149440,1.1,498928,4.1
FA-parent,481.06010999999995,5809424,1.3,502750,4.9
FA-parent,481.06240999999994,32771863,7.1,400434,38.3
FA-parent,481.0777,79359811,17.1,409170,96.1
FA-parent,481.08109,32599884,7.0,419802,38.1
FA-parent,481.09095999999994,5163880,1.1,576480,4.1
FA-parent,481.09393,6958961,1.5,380784,6.3
FA-parent,481.09677999999997,17592185,3.8,637483,19.5
FA-parent,481.0988,235507583,50.8,401658,289.6
FA-parent,481.1023,6962569,1.5,395475,6.4
FA-parent,481.1102,5227423,1.1,454859,4.2
FA-parent,481.1112,5128098,1.1,1124617,4.1
FA-parent,481.11207,9293733,2.0,907806,9.2
FA-parent,481.11407,131076010,28.3,395353,160.2
FA-parent,481.11702,11110323,2.4,540713,11.5
FA-parent,481.12369,8596422,1.9,360126,8.4
FA-parent,481.12617,9082829,2.0,529800,9.0
FA-parent,481.1301,5619160,1.2,486660,4.7
FA-parent,481.13320999999996,18616289,4.0,573040,20.8
FA-parent,481.1352,307466215,66.3,402367,378.8
FA-parent,481.14642000000003,7016455,1.5,552347,6.4
FA-parent,481.1505,70774802,15.3,411467,85.4
FA-parent,481.16261,6512693,1.4,552045,5.8
FA-parent,481.16962,10864713,2.3,599274,11.2
FA-parent,481.17159000000004,125046863,27.0,392719,152.7
FA-parent,481.18684,8769658,1.9,487263,8.6
FA-parent,481.20600999999994,5951665,1.3,771403,5.1
FA-parent,481.20797000000005,48107702,10.4,406596,57.3
FA-parent,481.24428,12691742,2.7,499886,13.5
FA-parent,481.38525,5474481,1.2,387864,4.5
FA-parent,481.46245999999996,5108622,1.1,437958,4.1
FA-parent,481.99285999999995,5747066,1.2,408738,4.8
FA-parent,482.04787000000005,6578200,1.4,425017,5.9
FA-parent,482.06564000000003,6244938,1.3,458494,5.5
FA-parent,482.07279000000005,13328991,2.9,476961,14.2
FA-parent,482.0761,8341096,1.8,477489,8.1
FA-parent,482.08097000000004,20087414,4.3,400349,22.6
FA-parent,482.08428,9730688,2.1,340346,9.8
FA-parent,482.09400999999997,12088988,2.6,306091,12.7
FA-parent,482.10208,57096883,12.3,420575,68.5
FA-parent,482.10720999999995,5589697,1.2,748953,4.6
FA-parent,482.1092,23534279,5.1,443038,26.9
FA-parent,482.1173,39635678,8.6,402906,46.8
FA-parent,482.12023,7685863,1.7,486902,7.2
FA-parent,482.13035999999994,24427268,5.3,455899,28.0
FA-parent,482.13685,8987414,1.9,634925,8.9
FA-parent,482.13845,78879515,17.0,405715,95.5
FA-parent,482.14567999999997,9680688,2.1,482280,9.7
FA-parent,482.15371,24361799,5.3,440443,27.9
FA-parent,482.16675999999995,16855916,3.6,427464,18.6
FA-parent,482.17329000000007,7930751,1.7,808385,7.5
FA-parent,482.17484,35736451,7.7,405533,42.0
FA-parent,482.19005,7023535,1.5,508495,6.4
FA-parent,482.2112,14492651,3.1,402684,15.7
FA-parent,482.28067999999996,5487794,1.2,338582,4.5
FA-parent,482.38500999999997,5892573,1.3,510239,5.0
FA-parent,482.47529000000003,5071328,1.1,400118,4.0
FA-parent,482.72242,5962148,1.3,617867,5.1
FA-parent,482.79838,5252734,1.1,534142,4.2
FA-parent,482.79989000000006,5274242,1.1,500065,4.3
FA-parent,483.02067,5515515,1.2,198747,4.6
FA-parent,483.02387000000004,7477508,1.6,504850,7.0
FA-parent,483.05526,8373599,1.8,653965,8.1
FA-parent,483.05685,45925731,9.9,416034,54.6
FA-parent,483.06032000000005,33424749,7.2,402553,39.1
FA-parent,483.07013,8199561,1.8,435566,7.9
FA-parent,483.07280999999995,5270929,1.1,642195,4.2
FA-parent,483.07588,7175578,1.5,246578,6.6
FA-parent,483.07800999999995,67093920,14.5,398498,80.9
FA-parent,483.09145,17049031,3.7,481971,18.8
FA-parent,483.09326,167732684,36.2,399940,205.6
