,Unnamed: 0,peakNo,mass,intensity,errorPPM,DBE,class,formula,z,C,H,O,N,S,assign
25,25,25,208.000856037,0.0511097336304322,0.3271573073725142,7.0,O6,H4_C9_O6,0,9,4,6,0,0,True
26,26,26,208.037246037,0.1105699007728455,0.3486923682682266,6.0,O5,H8_C10_O5,0,10,8,5,0,0,True
27,27,27,208.058366037,0.0225245397879529,0.3033427648804009,1.0,O7,H12_C7_O7,0,7,12,7,0,0,True
28,28,28,208.073616037,0.0521971484329488,0.2741001050731472,5.0,O4,H12_C11_O4,0,11,12,4,0,0,True
29,29,29,208.109986037,0.022515989698629,0.1995339137302956,4.0,O3,H16_C12_O3,0,12,16,3,0,0,True
30,30,30,209.032466037,0.0217624834945046,0.208426953236945,6.0,N1O5,H7_C9_N_O5,0,9,7,5,1,0,True
31,31,31,209.068896037,0.0142872356693463,0.4212008656723579,5.0,N1O4,H11_C10_N_O4,0,10,11,4,1,0,True
32,32,32,210.016506037,0.1044957328439939,0.3236650360970237,6.0,O6,H6_C9_O6,0,9,6,6,0,0,True
33,33,33,210.052866037,0.0920183490135539,0.2021729139693431,5.0,O5,H10_C10_O5,0,10,10,5,0,0,True
34,34,34,210.064106037,0.0123274872325138,0.2336762853276921,5.0,N2O4,H10_C9_N2_O4,0,9,10,4,2,0,True
35,35,35,210.089236037,0.0430051834537263,0.128321662417843,4.0,O4,H14_C11_O4,0,11,14,4,0,0,True
36,36,36,210.125656037,0.0379797455726435,0.292448819208537,3.0,O3,H18_C12_O3,0,12,18,3,0,0,True
37,37,37,211.084486037,0.0235985681482776,0.1325819843321571,4.0,N1O4,H13_C10_N_O4,0,10,13,4,1,0,True
38,38,38,212.032136037,0.091605086605305,0.2259138679784893,5.0,O6,H8_C9_O6,0,9,8,6,0,0,True
39,39,39,212.043386037,0.0372899675715561,0.3042820680184537,5.0,N2O5,H8_C8_N2_O5,0,8,8,5,2,0,True
40,40,40,212.047376037,0.015743499747563,0.1500655211487392,9.0,O3,H8_C13_O3,0,13,8,3,0,0,True
41,41,41,212.068516037,0.0619402452522428,0.199902374917773,4.0,O5,H12_C10_O5,0,10,12,5,0,0,True
42,42,42,212.079746037,0.0203091139461726,0.1839543886149473,4.0,N2O4,H12_C9_N2_O4,0,9,12,4,2,0,True
43,43,43,212.104926037,0.0662122558157598,0.3153392108570904,3.0,O4,H16_C11_O4,0,11,16,4,0,0,True
44,44,44,212.116176037,0.0170383073129053,0.3936757750032941,3.0,N2O3,H16_C10_N2_O3,0,10,16,3,2,0,True
45,45,45,212.141306037,0.0991113975300011,0.2893213072305057,2.0,O3,H20_C12_O3,0,12,20,3,0,0,True
46,46,46,212.177556037,0.0127282370189133,-0.3493819110937401,1.0,O2,H24_C13_O2,0,13,24,2,0,0,True
47,47,47,213.027376037,0.0494333760534389,0.1827370769590793,5.0,N1O6,H7_C8_N_O6,0,8,7,6,1,0,True
48,48,48,213.100196037,0.0132859528525379,0.4125383347026577,3.0,N1O4,H15_C10_N_O4,0,10,15,4,1,0,True
49,49,49,213.108296037,0.0147361062565536,0.3849920512403463,3.0,O4,H16_C10_13C_O4,0,11,16,4,0,0,True
50,50,50,214.026676037,0.022498009631442,0.3142365299972233,9.0,O4,H6_C12_O4,0,12,6,4,0,0,True
51,51,51,214.037906037,0.0123865489921938,0.2984284474545769,9.0,N2O3,H6_C11_N2_O3,0,11,6,3,2,0,True
52,52,52,214.047816037,0.0204707464367548,0.3635963282648071,4.0,O6,H10_C9_O6,0,9,10,6,0,0,True
53,53,53,214.063076037,0.0187464076274806,0.3818827679638121,8.0,O3,H10_C13_O3,0,13,10,3,0,0,True
54,54,54,214.084186037,0.045302784816886,0.291095765398728,3.0,O5,H14_C10_O5,0,10,14,5,0,0,True
55,55,55,214.095356037,0.0155156086158685,-0.0049557357325011,3.0,N2O4,H14_C9_N2_O4,0,9,14,4,2,0,True
56,56,56,214.120586037,0.0725069480853625,0.3587277684757681,2.0,O4,H18_C11_O4,0,11,18,4,0,0,True
57,57,57,214.156956037,0.0541761391219076,0.2862526678088092,1.0,O3,H22_C12_O3,0,12,22,3,0,0,True
58,58,58,214.193356037,0.0349816133636257,0.3538625165080424,0.0,O2,H26_C13_O2,0,13,26,2,0,0,True
59,59,59,215.058346037,0.0134600736921822,0.4778889166230287,8.0,N1O3,H9_C12_N_O3,0,12,9,3,1,0,True
60,60,60,215.196716037,0.0159751349566973,0.3761906847353091,0.0,O2,H26_C12_13C_O2,0,13,26,2,0,0,True
61,61,61,216.042356037,0.0301070490601576,0.4498238298436139,8.0,O4,H8_C12_O4,0,12,8,4,0,0,True
62,62,62,216.063436037,0.0185539790380208,0.221013795272928,3.0,O6,H12_C9_O6,0,9,12,6,0,0,True
63,63,63,216.078706037,0.0223382097363004,0.2854191471978838,7.0,O3,H12_C13_O3,0,13,12,3,0,0,True
64,64,64,216.099846037,0.0764529326381607,0.3343130562516946,2.0,O5,H16_C10_O5,0,10,16,5,0,0,True
65,65,65,216.136226037,0.207313172356208,0.3087728569201063,1.0,O4,H20_C11_O4,0,11,20,4,0,0,True
66,66,66,216.172606037,0.1034303031185677,0.2832412539825638,0.0,O3,H24_C12_O3,0,12,24,3,0,0,True
67,67,67,217.037596037,0.0144491108878014,0.4064180658310731,8.0,N1O4,H7_C11_N_O4,0,11,7,4,1,0,True
68,68,68,217.073976037,0.0151714751058293,0.380976114634256,7.0,N1O3,H11_C12_N_O3,0,12,11,3,1,0,True
69,69,69,217.175966037,0.0137135726144704,0.3056922052391421,0.0,O3,H24_C11_13C_O3,0,12,24,3,0,0,True
70,70,70,218.021566037,0.0399656236649967,0.1954623149762853,8.0,O5,H6_C11_O5,0,11,6,5,0,0,True
71,71,71,218.042736037,0.0134706202182609,0.3815169517373911,3.0,O7,H10_C8_O7,0,8,10,7,0,0,True
72,72,72,218.057966037,0.0408479940968581,0.2618890795019522,7.0,O4,H10_C12_O4,0,12,10,4,0,0,True
73,73,73,218.079026037,0.0135754847275622,-0.056497867811983,2.0,O6,H14_C9_O6,0,9,14,6,0,0,True
74,74,74,218.094376037,0.0149836947551361,0.3741453653256031,6.0,O3,H14_C13_O3,0,13,14,3,0,0,True
75,75,75,218.115456037,0.1168618320128937,0.1474952787444359,1.0,O5,H18_C10_O5,0,10,18,5,0,0,True
76,76,76,218.151866037,0.031625129859412,0.2597410741367819,0.0,O4,H22_C11_O4,0,11,22,4,0,0,True
77,77,77,219.053256037,0.0146561274224241,0.4479915147545378,7.0,N1O4,H9_C11_N_O4,0,11,9,4,1,0,True
78,78,78,220.000826037,0.0193827612237368,0.1729493505461718,8.0,O6,H4_C10_O6,0,10,4,6,0,0,True
79,79,79,220.037226037,0.0810737128140898,0.2387823232323414,7.0,O5,H8_C11_O5,0,11,8,5,0,0,True
80,80,80,220.048436037,0.0126275656336168,0.132520823648959,7.0,N2O4,H8_C10_N2_O4,0,10,8,4,2,0,True
81,81,81,220.058386037,0.0225813502466115,0.3776861291827159,2.0,O7,H12_C8_O7,0,8,12,7,0,0,True
82,82,82,220.073606037,0.053916165433609,0.213714860507215,6.0,O4,H12_C12_O4,0,12,12,4,0,0,True
83,83,83,220.094726037,0.0180670123111577,0.1708582511981435,1.0,O6,H16_C9_O6,0,9,16,6,0,0,True
84,84,84,220.110016037,0.0249783486737349,0.3249511371523365,5.0,O3,H16_C13_O3,0,13,16,3,0,0,True
85,85,85,220.146326037,0.0134858756650743,-0.0180925119182084,4.0,O2,H20_C14_O2,0,14,20,2,0,0,True
86,86,86,221.032496037,0.0248714331139073,0.3328379370628054,7.0,N1O5,H7_C10_N_O5,0,10,7,5,1,0,True
87,87,87,221.068856037,0.0235929489980193,0.2173983293929395,6.0,N1O4,H11_C11_N_O4,0,11,11,4,1,0,True
88,88,88,221.076976037,0.0139754881257524,0.2813183044322037,6.0,O4,H12_C11_13C_O4,0,12,12,4,0,0,True
89,89,89,222.016496037,0.0901092396792108,0.2611292450746564,7.0,O6,H6_C10_O6,0,10,6,6,0,0,True
90,90,90,222.052886037,0.0940115392830789,0.2813158663934318,6.0,O5,H10_C11_O5,0,11,10,5,0,0,True
91,91,91,222.064116037,0.0154321830459435,0.2660808105202271,6.0,N2O4,H10_C10_N2_O4,0,10,10,4,2,0,True
92,92,92,222.074036037,0.0453292664278224,0.3739248472498014,1.0,O7,H14_C8_O7,0,8,14,7,0,0,True
93,93,93,222.089276037,0.2341086304322498,0.301495872306243,5.0,O4,H14_C12_O4,0,12,14,4,0,0,True
94,94,94,222.100516037,0.0141847680977902,0.3312869385224553,5.0,N2O3,H14_C11_N2_O3,0,11,14,3,2,0,True
95,95,95,222.125636037,0.0241991436560643,0.1866106079722692,4.0,O3,H18_C13_O3,0,13,18,3,0,0,True
96,96,96,222.162046037,0.0125031675987417,0.2968238778231981,3.0,O2,H22_C14_O2,0,14,22,2,0,0,True
97,97,97,223.011686037,0.014741239951066,-0.0044751018942588,7.0,N1O6,H5_C9_N_O6,0,9,5,6,1,0,True
98,98,98,223.048146037,0.0283130412831566,0.3294983676205936,6.0,N1O5,H9_C10_N_O5,0,10,9,5,1,0,True
99,99,99,223.084506037,0.0184315046215387,0.2151023432819075,5.0,N1O4,H13_C11_N_O4,0,11,13,4,1,0,True
100,100,100,223.092636037,0.0282540280690512,0.3232692988831452,5.0,O4,H14_C11_13C_O4,0,12,14,4,0,0,True
101,101,101,223.995726037,0.0221648352848654,0.1045064582601376,7.0,O7,H4_C9_O7,0,9,4,7,0,0,True
102,102,102,224.032156037,0.1758484916889976,0.3030859551384847,6.0,O6,H8_C10_O6,0,10,8,6,0,0,True
103,103,103,224.068536037,0.083144321138685,0.2784549812791635,5.0,O5,H12_C11_O5,0,11,12,5,0,0,True
104,104,104,224.104926037,0.0563999997572721,0.2984539482383635,4.0,O4,H16_C12_O4,0,12,16,4,0,0,True
105,105,105,224.116096037,0.0154290943337605,0.0156392158221028,4.0,N2O3,H16_C11_N2_O3,0,11,16,3,2,0,True
106,106,106,224.141276037,0.0262637019884267,0.139987603021898,3.0,O3,H20_C13_O3,0,13,20,3,0,0,True
107,107,107,224.177716037,0.0124806545885277,0.383039855704417,2.0,O2,H24_C14_O2,0,14,24,2,0,0,True
108,108,108,225.027356037,0.0172788931123538,0.0841142176500687,6.0,N1O6,H7_C9_N_O6,0,9,7,6,1,0,True
109,109,109,225.063766037,0.0188346998912579,0.1929231024691132,5.0,N1O5,H11_C10_N_O5,0,10,11,5,1,0,True
110,110,110,225.100096037,0.0129774032486698,-0.0537005546342319,4.0,N1O4,H15_C11_N_O4,0,11,15,4,1,0,True
111,111,111,226.011406037,0.1045518879373956,0.2359836653974865,6.0,O7,H6_C9_O7,0,9,6,7,0,0,True
112,112,112,226.026526037,0.0133615625849547,-0.3660853504093441,10.0,O4,H6_C13_O4,0,13,6,4,0,0,True
113,113,113,226.047756037,0.070147463251,0.0788638662292804,5.0,O6,H10_C10_O6,0,10,10,6,0,0,True
114,114,114,226.059056037,0.0241340319041516,0.3735616766986408,5.0,N2O5,H10_C9_N2_O5,0,9,10,5,2,0,True
115,115,115,226.063016037,0.0137460617402617,0.0961988402970496,9.0,O3,H10_C14_O3,0,14,10,3,0,0,True
116,116,116,226.084196037,0.0613937434463474,0.3198764056269679,4.0,O5,H14_C11_O5,0,11,14,5,0,0,True
117,117,117,226.095436037,0.0120629017146296,0.3491401744968354,4.0,N2O4,H14_C10_N2_O4,0,10,14,4,2,0,True
118,118,118,226.120576037,0.0869543659462503,0.2954662560194006,3.0,O4,H18_C12_O4,0,12,18,4,0,0,True
119,119,119,226.156906037,0.0255127808361489,0.0499785755209568,2.0,O3,H22_C13_O3,0,13,22,3,0,0,True
120,120,120,226.193346037,0.0199801569963882,0.2908794672174806,1.0,O2,H26_C14_O2,0,14,26,2,0,0,True
121,121,121,227.043036037,0.0191805749737853,0.2151750648332963,5.0,N1O6,H9_C9_N_O6,0,9,9,6,1,0,True
122,122,122,228.027086037,0.0189294851256359,0.3651364469966301,5.0,O7,H8_C9_O7,0,9,8,7,0,0,True
123,123,123,228.042296037,0.0182956801720455,0.1630443152718704,9.0,O4,H8_C13_O4,0,13,8,4,0,0,True
124,124,124,228.063406037,0.0366435893141481,0.0778423874185423,4.0,O6,H12_C10_O6,0,10,12,6,0,0,True
125,125,125,228.099846037,0.074844708775098,0.3167253342750231,3.0,O5,H16_C11_O5,0,11,16,5,0,0,True
126,126,126,228.111046037,0.0287520510505262,0.1703775449220869,3.0,N2O4,H16_C10_N2_O4,0,10,16,4,2,0,True
127,127,127,228.136226037,0.0931941774437842,0.2925313579376504,2.0,O4,H20_C12_O4,0,12,20,4,0,0,True
128,128,128,228.172476037,0.0301067031729387,-0.3013991923859023,1.0,O3,H24_C13_O3,0,13,24,3,0,0,True
129,129,129,228.208986037,0.1514799846595984,0.2441665464758122,0.0,O2,H28_C14_O2,0,14,28,2,0,0,True
130,130,130,229.058656037,0.0174372487766515,0.0819877333159916,4.0,N1O6,H11_C9_N_O6,0,9,11,6,1,0,True
131,131,131,229.073896037,0.0136817691949201,0.0117865895177264,8.0,N1O3,H11_C13_N_O3,0,13,11,3,1,0,True
132,132,132,229.095116037,0.0180726375296128,0.4071322060466406,3.0,N1O5,H15_C10_N_O5,0,10,15,5,1,0,True
133,133,133,229.212346037,0.0228527018039535,0.2656096020875331,0.0,O2,H28_C13_13C_O2,0,14,28,2,0,0,True
134,134,134,230.021616037,0.0396383597421259,0.4026360723129614,9.0,O5,H6_C12_O5,0,12,6,5,0,0,True
135,135,135,230.053916037,0.0553624837372325,0.1295652796929396,4.0,N2O6,H10_C8_N2_O6,0,8,10,6,2,0,True
136,136,136,230.057966037,0.0391785603324401,0.2482287442040299,8.0,O4,H10_C13_O4,0,13,10,4,0,0,True
137,137,137,230.069226037,0.0176087967008427,0.3639209007530511,8.0,N2O3,H10_C12_N2_O3,0,12,10,3,2,0,True
138,138,138,230.079106037,0.0316101292768651,0.2941553502058687,3.0,O6,H14_C10_O6,0,10,14,6,0,0,True
139,139,139,230.094206037,0.0143387850013592,-0.3841948109944101,7.0,O3,H14_C14_O3,0,14,14,3,0,0,True
140,140,140,230.115496037,0.0812400360208163,0.3136294652634676,2.0,O5,H18_C11_O5,0,11,18,5,0,0,True
141,141,141,230.151866037,0.1180010995572643,0.2461983080349406,1.0,O4,H22_C12_O4,0,12,22,4,0,0,True
142,142,142,230.188246037,0.057208089391821,0.2222311559121646,0.0,O3,H26_C13_O3,0,13,26,3,0,0,True
143,143,143,231.053186037,0.0225813441784146,0.1217641724517346,8.0,N1O4,H9_C12_N_O4,0,12,9,4,1,0,True
144,144,144,231.074396037,0.0170992016680259,0.4704372351768135,3.0,N1O6,H13_C9_N_O6,0,9,13,6,1,0,True
145,145,145,232.037246037,0.0478669499300943,0.3126265340913161,8.0,O5,H8_C12_O5,0,12,8,5,0,0,True
146,146,146,232.058346037,0.0141476003922482,0.1857851732915542,3.0,O7,H12_C9_O7,0,9,12,7,0,0,True
147,147,147,232.073616037,0.0321102518544409,0.2457539163331625,7.0,O4,H12_C13_O4,0,13,12,4,0,0,True
148,148,148,232.094736037,0.0336202316109363,0.2051102097559049,2.0,O6,H16_C10_O6,0,10,16,6,0,0,True
149,149,149,232.105976037,0.0165539438424793,0.2336217313795676,2.0,N2O5,H16_C9_N2_O5,0,9,16,5,2,0,True
150,150,150,232.110026037,0.0203241934152782,0.3512342890849487,6.0,O3,H16_C14_O3,0,14,16,3,0,0,True
151,151,151,232.131146037,0.1180709202299118,0.3105873607095519,1.0,O5,H20_C11_O5,0,11,20,5,0,0,True
152,152,152,232.167516037,0.0299929608916851,0.2437421089828391,0.0,O4,H24_C12_O4,0,12,24,4,0,0,True
153,153,153,233.032416037,0.0237114730183696,-0.0276013101591511,8.0,N1O5,H7_C11_N_O5,0,11,7,5,1,0,True
154,154,154,233.068826037,0.0126069944463862,0.0774878404342428,7.0,N1O4,H11_C12_N_O4,0,12,11,4,1,0,True
155,155,155,234.016516037,0.0526579005495359,0.3332029778542725,8.0,O6,H6_C11_O6,0,11,6,6,0,0,True
156,156,156,234.052846037,0.0590286637345139,0.0959911421218625,7.0,O5,H10_C12_O5,0,12,10,5,0,0,True
157,157,157,234.073856037,0.0176026132082799,-0.4142325060927877,2.0,O7,H14_C9_O7,0,9,14,7,0,0,True
158,158,158,234.089266037,0.0400299040739446,0.2433217078670334,6.0,O4,H14_C13_O4,0,13,14,4,0,0,True
159,159,159,234.100526037,0.0124575772360091,0.357021837670367,6.0,N2O3,H14_C12_N2_O3,0,12,14,3,2,0,True
160,160,160,234.110426037,0.0170962161151889,0.3738876626426922,1.0,O6,H18_C10_O6,0,10,18,6,0,0,True
161,161,161,234.125676037,0.026092305769156,0.3478943504979608,5.0,O3,H18_C14_O3,0,14,18,3,0,0,True
162,162,162,234.161956037,0.0134549521340634,-0.1027365862390816,4.0,O2,H22_C15_O2,0,15,22,2,0,0,True
163,163,163,235.084486037,0.021796307623597,0.1190465627583534,6.0,N1O4,H13_C12_N_O4,0,12,13,4,1,0,True
164,164,164,235.092636037,0.0128080095343508,0.3067684350024611,6.0,O4,H14_C12_13C_O4,0,13,14,4,0,0,True
165,165,165,235.995786037,0.0282626752495242,0.353434276877643,8.0,O7,H4_C10_O7,0,10,4,7,0,0,True
166,166,166,236.032066037,0.0757457146394034,-0.0936271091338629,7.0,O6,H8_C11_O6,0,11,8,6,0,0,True
167,167,167,236.043336037,0.0131662091246262,0.0615183645550019,7.0,N2O5,H8_C10_N2_O5,0,10,8,5,2,0,True
168,168,168,236.053256037,0.0163787732047846,0.1629844071430655,2.0,O8,H12_C8_O8,0,8,12,8,0,0,True
169,169,169,236.068536037,0.0832644896403743,0.2643003640165469,6.0,O5,H12_C12_O5,0,12,12,5,0,0,True
170,170,170,236.079706037,0.0205327452036972,-0.0041807913497325,6.0,N2O4,H12_C11_N2_O4,0,11,12,4,2,0,True
171,171,171,236.089696037,0.013257911715018,0.3937698323228824,1.0,O7,H16_C9_O7,0,9,16,7,0,0,True
172,172,172,236.104906037,0.0475489642801662,0.1985769834453807,5.0,O4,H16_C13_O4,0,13,16,4,0,0,True
173,173,173,236.141326037,0.0255442626412676,0.344611429741058,4.0,O3,H20_C14_O3,0,14,20,3,0,0,True
174,174,174,237.027426037,0.0204700061167424,0.3751802121954921,7.0,N1O6,H7_C10_N_O6,0,10,7,6,1,0,True
175,175,175,237.063716037,0.035672186298497,-0.0277562509362728,6.0,N1O5,H11_C11_N_O5,0,11,11,5,1,0,True
176,176,176,237.100146037,0.0138849688337411,0.1598986784451354,5.0,N1O4,H15_C12_N_O4,0,12,15,4,1,0,True
177,177,177,238.011386037,0.0595545033302264,0.1400563248966606,7.0,O7,H6_C10_O7,0,10,6,7,0,0,True
178,178,178,238.047806037,0.1253590430696337,0.2849301621811105,6.0,O6,H10_C11_O6,0,11,10,6,0,0,True
179,179,179,238.059026037,0.0140145369723096,0.2287121849692394,6.0,N2O5,H10_C10_N2_O5,0,10,10,5,2,0,True
180,180,180,238.068876037,0.0250056555594392,0.0352797062904104,1.0,O8,H14_C8_O8,0,8,14,8,0,0,True
181,181,181,238.084176037,0.0791219440560798,0.2197500096894273,5.0,O5,H14_C12_O5,0,12,14,5,0,0,True
182,182,182,238.095376037,0.0137151442774476,0.0795437539170438,5.0,N2O4,H14_C11_N2_O4,0,11,14,4,2,0,True
183,183,183,238.105286037,0.0215259451823371,0.1381363704133207,0.0,O7,H18_C9_O7,0,9,18,7,0,0,True
184,184,184,238.120576037,0.0694284062002407,0.2805763412911501,4.0,O4,H18_C13_O4,0,13,18,4,0,0,True
185,185,185,238.156926037,0.0197636012563594,0.1314385457319901,3.0,O3,H22_C14_O3,0,14,22,3,0,0,True
186,186,186,239.058226037,0.0125161717445337,-0.0720577588852326,10.0,N1O3,H9_C14_N_O3,0,14,9,3,1,0,True
187,187,187,239.079406037,0.0266363560235348,0.1394766723474195,5.0,N1O5,H13_C11_N_O5,0,11,13,5,1,0,True
188,188,188,239.115836037,0.013567153093324,0.3255242367046273,4.0,N1O4,H17_C12_N_O4,0,12,17,4,1,0,True
189,189,189,240.027026037,0.0865465831197328,0.0969099204350204,6.0,O7,H8_C10_O7,0,10,8,7,0,0,True
190,190,190,240.042266037,0.0236299832032311,0.0299155649520011,10.0,O4,H8_C14_O4,0,14,8,4,0,0,True
191,191,191,240.063456037,0.0875563735484873,0.2822295452338763,5.0,O6,H12_C11_O6,0,11,12,6,0,0,True
192,192,192,240.074596037,0.0263283828983649,-0.1067459882747388,5.0,N2O5,H12_C10_N2_O5,0,10,12,5,2,0,True
193,193,193,240.078706037,0.0135884706687638,0.2568865894970209,9.0,O3,H12_C15_O3,0,15,12,3,0,0,True
194,194,194,240.084546037,0.0131467120082333,0.1179792722361576,0.0,O8,H16_C8_O8,0,8,16,8,0,0,True
195,195,195,240.099786037,0.0727053538486931,0.0509996289277826,4.0,O5,H16_C12_O5,0,12,16,5,0,0,True
196,196,196,240.111066037,0.0505810177094256,0.2451573805876596,4.0,N2O4,H16_C11_N2_O4,0,11,16,4,2,0,True
197,197,197,240.136226037,0.1042406015767602,0.2779130874951436,3.0,O4,H20_C13_O4,0,13,20,4,0,0,True
198,198,198,240.172436037,0.0165828770049322,-0.4528871081533402,2.0,O3,H24_C14_O3,0,14,24,3,0,0,True
199,199,199,241.058576037,0.0190625060681968,-0.2539631695622206,5.0,N1O6,H11_C10_N_O6,0,10,11,6,1,0,True
200,200,200,241.066806037,0.0165404724455318,0.2609774487673742,5.0,O6,H12_C10_13C_O6,0,11,12,6,0,0,True
201,201,201,241.095086037,0.012701136451901,0.262435875476211,4.0,N1O5,H15_C11_N_O5,0,11,15,5,1,0,True
202,202,202,242.021566037,0.0302268838110217,0.1760793499114543,10.0,O5,H6_C13_O5,0,13,6,5,0,0,True
203,203,203,242.042626037,0.0279681856576954,-0.1107780081723215,5.0,O7,H10_C10_O7,0,10,10,7,0,0,True
204,204,204,242.057866037,0.0277615938968503,-0.1772014299806531,9.0,O4,H10_C14_O4,0,14,10,4,0,0,True
205,205,205,242.079126037,0.0683084355217678,0.3621914927283492,4.0,O6,H14_C11_O6,0,11,14,6,0,0,True
206,206,206,242.090296037,0.0164330410889743,0.1003716397839442,4.0,N2O5,H14_C10_N2_O5,0,10,14,5,2,0,True
207,207,207,242.094306037,0.021361393889083,0.0479110814041734,8.0,O3,H14_C15_O3,0,15,14,3,0,0,True
208,208,208,242.115426037,0.0878758459066371,0.0089667974183226,3.0,O5,H18_C12_O5,0,12,18,5,0,0,True
209,209,209,242.126726037,0.2056777204939997,0.2841115523082539,3.0,N2O4,H18_C11_N2_O4,0,11,18,4,2,0,True
210,210,210,242.151866037,0.0568657581362383,0.2339977838565811,2.0,O4,H22_C13_O4,0,13,22,4,0,0,True
211,211,211,242.188236037,0.0407688708784807,0.1699298061064151,1.0,O3,H26_C14_O3,0,14,26,3,0,0,True
212,212,212,242.224656037,0.1401840362732533,0.3123009904366056,0.0,O2,H30_C15_O2,0,15,30,2,0,0,True
213,213,213,243.053116037,0.0142074449493184,-0.1722504145854768,9.0,N1O4,H9_C13_N_O4,0,13,9,4,1,0,True
214,214,214,243.074276037,0.0129173281001203,-0.0464631641553414,4.0,N1O6,H13_C10_N_O6,0,10,13,6,1,0,True
215,215,215,243.227986037,0.0205046251796186,0.2088863244557161,0.0,O2,H30_C14_13C_O2,0,15,30,2,0,0,True
216,216,216,244.037216037,0.0398766092857975,0.1743217723852851,9.0,O5,H8_C13_O5,0,13,8,5,0,0,True
217,217,217,244.048426037,0.0125559487747096,0.0785131061661073,9.0,N2O4,H8_C12_N2_O4,0,12,8,4,2,0,True
218,218,218,244.058316037,0.0292012735931492,0.0537289621416757,4.0,O7,H12_C10_O7,0,10,12,7,0,0,True
219,219,219,244.069476037,0.0167254614256864,-0.246925592612924,4.0,N2O6,H12_C9_N2_O6,0,9,12,6,2,0,True
220,220,220,244.073516037,0.0325940449143656,-0.1760412218510211,8.0,O4,H12_C14_O4,0,14,12,4,0,0,True
221,221,221,244.094676037,0.042360668132743,-0.0507794770458402,3.0,O6,H16_C11_O6,0,11,16,6,0,0,True
222,222,222,244.131116037,0.1484013456833275,0.1724360280653977,2.0,O5,H20_C12_O5,0,12,20,5,0,0,True
223,223,223,244.142256037,0.0144878077789428,-0.2100537647076343,2.0,N2O4,H20_C11_N2_O4,0,11,20,4,2,0,True
224,224,224,244.167516037,0.0688953939958833,0.2317630162875158,1.0,O4,H24_C13_O4,0,13,24,4,0,0,True
225,225,225,244.203836037,0.053646701085479,-0.0365227677254095,0.0,O3,H28_C14_O3,0,14,28,3,0,0,True
