,Unnamed: 0,peakNo,mass,intensity,errorPPM,DBE,class,formula,z,C,H,O,N,S,assign
0,0,0,201.100136037,0.0192814344731834,0.1387965247430529,2.0,N1O4,H15_C9_N_O4,0,9,15,4,1,0,True
1,1,1,201.181026037,0.0159041916676375,0.2039407035341218,0.0,O2,H24_C11_13C_O2,0,12,24,2,0,0,True
2,2,2,202.026646037,0.013419034477067,0.1844063679440731,8.0,O4,H6_C11_O4,0,11,6,4,0,0,True
3,3,3,202.047756037,0.0178970663909278,0.0882316158476237,3.0,O6,H10_C8_O6,0,8,10,6,0,0,True
4,4,4,202.063026037,0.0229854132684764,0.1571143449775598,7.0,O3,H10_C12_O3,0,12,10,3,0,0,True
5,5,5,202.084166037,0.0497810109130451,0.20941274528212,2.0,O5,H14_C9_O5,0,9,14,5,0,0,True
6,6,6,202.120556037,0.4411282476989397,0.2315994024659477,1.0,O4,H18_C10_O4,0,10,18,4,0,0,True
7,7,7,202.156966037,0.0666313558293525,0.352711070987922,0.0,O3,H22_C11_O3,0,11,22,3,0,0,True
8,8,8,203.043006037,0.0140155200201949,0.0928571752245029,3.0,N1O6,H9_C7_N_O6,0,7,9,6,1,0,True
9,9,9,203.079416037,0.0198635019806594,0.2134435918218075,2.0,N1O5,H13_C8_N_O5,0,8,13,5,1,0,True
10,10,10,204.005926037,0.021280061847062,0.2582719091737152,8.0,O5,H4_C10_O5,0,10,4,5,0,0,True
11,11,11,204.042316037,0.0499079636587828,0.2802408888867796,7.0,O4,H8_C11_O4,0,11,8,4,0,0,True
12,12,12,204.063456037,0.0150250555846829,0.3320192715559539,2.0,O6,H12_C8_O6,0,8,12,6,0,0,True
13,13,13,204.078716037,0.0253237018913355,0.3512027192237059,6.0,O3,H12_C12_O3,0,12,12,3,0,0,True
14,14,14,204.099826037,0.0554134080449726,0.2559776801001814,1.0,O5,H16_C9_O5,0,9,16,5,0,0,True
15,15,15,204.136206037,0.0295638544215309,0.2289500765119292,0.0,O4,H20_C10_O4,0,10,20,4,0,0,True
16,16,16,205.037566037,0.016784159093557,0.283889441032375,7.0,N1O4,H7_C10_N_O4,0,10,7,4,1,0,True
17,17,17,206.021556037,0.0697142061342188,0.1583086773295568,7.0,O5,H6_C10_O5,0,10,6,5,0,0,True
18,18,18,206.042726037,0.0124110098935881,0.3552030270896348,2.0,O7,H10_C7_O7,0,7,10,7,0,0,True
19,19,19,206.057966037,0.0602722860596528,0.2771404624718255,6.0,O4,H10_C11_O4,0,11,10,4,0,0,True
20,20,20,206.079086037,0.0237799890287001,0.2313626332584679,1.0,O6,H14_C8_O6,0,8,14,6,0,0,True
21,21,21,206.094326037,0.0249986771330925,0.1533229983473727,5.0,O3,H14_C12_O3,0,12,14,3,0,0,True
22,22,22,207.016816037,0.022794962911181,0.2108137919205645,7.0,N1O5,H5_C9_N_O5,0,9,5,5,1,0,True
23,23,23,207.053236037,0.0228042836615014,0.3773618877033165,6.0,N1O4,H9_C10_N_O4,0,10,9,4,1,0,True
24,24,24,207.089576037,0.0154459335799448,0.1575453512962004,5.0,N1O3,H13_C11_N_O3,0,11,13,3,1,0,True
