mass,intensity,assign,C,C_13,H,O,N,calc_mass,abs_error,rel_error,DBE,DBE-O,DBE_AI,CAI,AI,DBE-OC,H/C,O/C,class,CRAM,NOSC,brutto,Ke,KMD
154.9986,859894,True,6.0,0.0,4.0,5.0,0.0,156.005875,1.4200000071351582e-06,0.009161373116500136,5.0,0.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.8333333333333334,unsat_highOC,False,1.0,C6H4O5,155.83167744628324,0.16832255371676297
155.03499,891203,True,7.0,0.0,8.0,4.0,0.0,156.04226,6.419999994511372e-06,0.041410006828209375,4.0,0.0,0.0,3.0,0.0,0.0,1.1428571428571428,0.5714285714285714,unsat_highOC,True,0.0,C7H8O4,155.8680218184672,0.13197818153278718
157.01426,1361859,True,6.0,0.0,6.0,5.0,0.0,158.021525,1.1420000010309295e-05,0.07273224744242525,4.0,-1.0,-1.0,1.0,-1.0,-0.16666666666666666,1.0,0.8333333333333334,unsat_highOC,True,0.6666666666666665,C6H6O5,157.84507675348624,0.15492324651376066
157.05064,645765,True,7.0,0.0,10.0,4.0,0.0,158.05791,6.419999994511372e-06,0.04087853443011357,3.0,-1.0,-1.0,3.0,-0.3333333333333333,-0.14285714285714285,1.4285714285714286,0.5714285714285714,unsat_highOC,False,-0.2857142857142856,C7H10O4,157.88142112567022,0.11857887432978487
157.12341,2161662,True,9.0,0.0,18.0,2.0,0.0,158.13068,6.419999994511372e-06,0.04085960198108844,1.0,-1.0,-1.0,7.0,-0.14285714285714285,-0.1111111111111111,2.0,0.2222222222222222,lipids,False,-1.5555555555555554,C9H18O2,157.95410987003814,0.0458901299618617
159.02991,1176356,True,6.0,0.0,8.0,5.0,0.0,160.037175,1.1420000010309295e-05,0.07181039095293014,3.0,-2.0,-2.0,1.0,-2.0,-0.3333333333333333,1.3333333333333333,0.8333333333333334,unsat_highOC,False,0.3333333333333335,C6H8O5,159.8584760606893,0.1415239393107015
160.07677,581243,True,10.0,0.0,11.0,1.0,1.0,161.084064,-1.7580000001737872e-05,-0.10982230589571411,6.0,5.0,4.0,8.0,0.5,0.5,1.1,0.1,undefinded,False,-0.5999999999999996,C10H11ON,160.9041960950794,0.09580390492058655
161.04557,1042285,True,6.0,0.0,10.0,5.0,0.0,162.052825,2.1419999985061722e-05,0.133005831734842,2.0,-3.0,-3.0,1.0,-3.0,-0.5,1.6666666666666667,0.8333333333333334,aliphatics,False,0.0,C6H10O5,161.87187536789233,0.12812463210767078
163.04007,764437,True,9.0,0.0,8.0,3.0,0.0,164.047345,1.4199999787134487e-06,0.00870951526648295,6.0,3.0,3.0,6.0,0.5,0.3333333333333333,0.8888888888888888,0.3333333333333333,undefinded,False,-0.22222222222222232,C9H8O3,163.86416826904212,0.13583173095787515
163.07639,567933,True,10.0,0.0,12.0,2.0,0.0,164.08373,-6.357999999928587e-05,-0.38987863294794467,5.0,3.0,3.0,8.0,0.375,0.3,1.2,0.2,unsat_lowOC,False,-0.7999999999999998,C10H12O2,163.90051264122604,0.0994873587739562
163.08763,585167,True,9.0,0.0,12.0,1.0,2.0,164.094963,-5.6580000016959175e-05,-0.346930052370981,5.0,4.0,2.0,6.0,0.3333333333333333,0.4444444444444444,1.3333333333333333,0.1111111111111111,unsat_lowOC,False,-0.44444444444444464,C9H12ON2,163.9117330983579,0.08826690164210049
165.01934,1878999,True,8.0,0.0,6.0,4.0,0.0,166.02661,6.419999994511372e-06,0.03890453079324746,6.0,2.0,2.0,4.0,0.5,0.25,0.75,0.5,undefinded,False,0.25,C8H6O4,165.84122320406118,0.15877679593882021
165.05573,999682,True,9.0,0.0,10.0,3.0,0.0,166.062995,1.1420000010309295e-05,0.06918875224937235,5.0,2.0,2.0,6.0,0.3333333333333333,0.2222222222222222,1.1111111111111112,0.3333333333333333,unsat_lowOC,True,-0.44444444444444464,C9H10O3,165.87756757624513,0.12243242375487284
166.99863,740954,True,7.0,0.0,4.0,5.0,0.0,168.005875,3.141999998823586e-05,0.1881452559714763,6.0,1.0,1.0,2.0,0.5,0.14285714285714285,0.5714285714285714,0.7142857142857143,undefinded,False,0.8571428571428572,C7H4O5,167.81827813908023,0.18172186091976528
167.035,2209956,True,8.0,0.0,8.0,4.0,0.0,168.04226,1.6419999997685508e-05,0.09830275090660945,5.0,1.0,1.0,4.0,0.25,0.125,1.0,0.5,unsat_lowOC,True,0.0,C8H8O4,167.85462251126418,0.1453774887358179
167.07138,1120395,True,9.0,0.0,12.0,3.0,0.0,168.078645,1.1420000010309295e-05,0.06835401736856003,4.0,1.0,1.0,6.0,0.16666666666666666,0.1111111111111111,1.3333333333333333,0.3333333333333333,unsat_lowOC,True,-0.666666666666667,C9H12O3,167.89096688344813,0.10903311655187053
169.01424,1948575,True,7.0,0.0,6.0,5.0,0.0,170.021525,-8.579999996038978e-06,-0.050764953272806945,5.0,0.0,0.0,2.0,0.0,0.0,0.8571428571428571,0.7142857142857143,unsat_highOC,False,0.5714285714285716,C7H6O5,169.83167744628324,0.16832255371676297
169.05065,1254678,True,8.0,0.0,10.0,4.0,0.0,170.05791,1.6419999997685508e-05,0.09713065284094152,4.0,0.0,0.0,4.0,0.0,0.0,1.25,0.5,unsat_lowOC,True,-0.25,C8H10O4,169.86802181846718,0.1319781815328156
171.0299,2115151,True,7.0,0.0,8.0,5.0,0.0,172.037175,1.4200000071351582e-06,0.008302641860488477,4.0,-1.0,-1.0,2.0,-0.5,-0.14285714285714285,1.1428571428571428,0.7142857142857143,unsat_highOC,True,0.2857142857142856,C7H8O5,171.84507675348627,0.15492324651373224
171.06629,1277678,True,8.0,0.0,12.0,4.0,0.0,172.07356,6.420000022933081e-06,0.037529311139752206,3.0,-1.0,-1.0,4.0,-0.25,-0.125,1.5,0.5,aliphatics,False,-0.5,C8H12O4,171.88142112567022,0.11857887432978487
171.1027,724365,True,9.0,0.0,16.0,3.0,0.0,172.109945,3.141999998823586e-05,0.18363240316041687,2.0,-1.0,-1.0,6.0,-0.16666666666666666,-0.1111111111111111,1.7777777777777777,0.3333333333333333,aliphatics,False,-1.1111111111111107,C9H16O3,171.9177654978542,0.08223450214580907
171.13905,1141341,True,10.0,0.0,20.0,2.0,0.0,172.14633,-3.580000008662765e-06,-0.02091866238980972,1.0,-1.0,-1.0,8.0,-0.125,-0.1,2.0,0.2,lipids,False,-1.5999999999999996,C10H20O2,171.95410987003814,0.0458901299618617
173.02438,559166,True,10.0,0.0,6.0,3.0,0.0,174.031695,-3.858000000556139e-05,-0.22297435774982338,8.0,5.0,5.0,7.0,0.7142857142857143,0.5,0.6,0.3,condensed_lowOC,False,0.0,C10H6O3,173.83736965463606,0.1626303453639366
173.04556,1750519,True,7.0,0.0,10.0,5.0,0.0,174.052825,1.1419999981887585e-05,0.06599418084975764,3.0,-2.0,-2.0,2.0,-1.0,-0.2857142857142857,1.4285714285714286,0.7142857142857143,unsat_highOC,False,0.0,C7H10O5,173.8584760606893,0.1415239393107015
173.08189,602071,True,8.0,0.0,14.0,4.0,0.0,174.08921,-4.358000002135931e-05,-0.25178832991342603,2.0,-2.0,-2.0,4.0,-0.5,-0.25,1.75,0.5,aliphatics,False,-0.75,C8H14O4,173.89482043287325,0.10517956712675414
175.04009,596286,True,10.0,0.0,8.0,3.0,0.0,176.047345,2.1419999985061722e-05,0.12237196624534255,7.0,4.0,4.0,7.0,0.5714285714285714,0.4,0.8,0.3,aromatic_lowOC,False,-0.20000000000000018,C10H8O3,175.8507689618391,0.14923103816090588
175.06119,756675,True,7.0,0.0,12.0,5.0,0.0,176.068475,-8.579999996038978e-06,-0.049011434207884556,2.0,-3.0,-3.0,2.0,-1.5,-0.42857142857142855,1.7142857142857142,0.7142857142857143,aliphatics,False,-0.2857142857142856,C7H12O5,175.8718753678923,0.1281246321076992
