,peakNo,mass,intensity,errorPPM,DBE,class,formula,z,C,H,O,N,S,assign
0,0,176.032086037,0.0009041004249960648,-0.0119239625391241,2.0,O6,H8_C6_O6,0,6,8,6,0,0,True
1,1,176.04734603699998,0.0016734220053518,0.0103438082123087,6.0,O3,H8_C10_O3,0,10,8,3,0,0,True
2,2,176.068476037,0.0012995828742326,0.0135913030581717,1.0,O5,H12_C7_O5,0,7,12,5,0,0,True
3,3,176.083736037,0.0005243585707539745,0.0358522606469714,5.0,O2,H12_C11_O2,0,11,12,2,0,0,True
4,4,176.104856037,0.0013015504486069,-0.0176883254016214,0.0,O4,H16_C8_O4,0,8,16,4,0,0,True
5,5,176.141246037,0.0003482606642531088,0.0078175896933263,-1.0,O3,H20_C9_O3,0,9,20,3,0,0,True
6,6,177.042596037,0.0004948449551393043,0.016086524215199,6.0,N1O3,H7_C9_N_O3,0,9,7,3,1,0,True
7,7,178.026606037,0.0059528962694789,-0.0154190435362228,6.0,O4,H6_C9_O4,0,9,6,4,0,0,True
8,8,178.047736037,0.0005971588226034944,-0.0122045922132124,1.0,O6,H10_C6_O6,0,6,10,6,0,0,True
9,9,178.062996037,0.0035367149378246,0.0098111344735722,5.0,O3,H10_C10_O3,0,10,10,3,0,0,True
10,10,178.084116037,0.0003492444514402644,-0.0431313031758384,0.0,O5,H14_C7_O5,0,7,14,5,0,0,True
11,11,178.09937603699998,0.0060011018416496,-0.0211174238787336,4.0,O2,H14_C11_O2,0,11,14,2,0,0,True
12,12,179.021856037,0.0007417755391153785,-0.0095965937309946,6.0,N1O4,H5_C8_N_O4,0,8,5,4,1,0,True
13,13,179.029956037,0.0005548559735558005,-0.0423672113849057,6.0,O4,H6_C8_13C_O4,0,9,6,4,0,0,True
14,14,179.058236037,0.0008647489375098379,-0.0403555858030361,5.0,N1O3,H9_C9_N_O3,0,9,9,3,1,0,True
15,15,179.066346037,0.0004308987879741855,-0.0172729276078259,5.0,O3,H10_C9_13C_O3,0,10,10,3,0,0,True
16,16,179.102736037,0.000713245710687864,0.0078111593584816,4.0,O2,H14_C10_13C_O2,0,11,14,2,0,0,True
17,17,180.005876037,0.003469817409098,0.0149384013015554,6.0,O5,H4_C8_O5,0,8,4,5,0,0,True
18,18,180.042256037,0.0063857626318274,-0.0156574354508165,5.0,O4,H8_C9_O4,0,9,8,4,0,0,True
19,19,180.078646037,0.0031805839760742,0.0092903853449448,4.0,O3,H12_C10_O3,0,10,12,3,0,0,True
20,20,180.115026037,0.001877065953093,-0.0212919492920596,3.0,O2,H16_C11_O2,0,11,16,2,0,0,True
21,21,181.037506037,0.0020925153470801,-0.0098985013955945,5.0,N1O4,H7_C8_N_O4,0,8,7,4,1,0,True
22,22,181.045616037,0.0005912560994805604,0.0129304428880372,5.0,O4,H8_C8_13C_O4,0,9,8,4,0,0,True
23,23,181.073896037,0.0016281677947426,0.0149110394669172,4.0,N1O3,H11_C9_N_O3,0,9,11,3,1,0,True
