,peakNo,mass,intensity,errorPPM,DBE,class,formula,z,C,H,O,N,S,assign
0,0,176.04734603699998,0.0047136387442619,0.0103438082123087,6.0,O3,H8_C10_O3,0,10,8,3,0,0,True
1,1,177.042586037,0.0026803043839921,-0.0403970601367545,6.0,N1O3,H7_C9_N_O3,0,9,7,3,1,0,True
2,2,178.026606037,0.0134939462090637,-0.0154190435362228,6.0,O4,H6_C9_O4,0,9,6,4,0,0,True
3,3,178.047736037,0.0026957084321759,-0.0122045922132124,1.0,O6,H10_C6_O6,0,6,10,6,0,0,True
4,4,178.062996037,0.0105209649095782,0.0098111344735722,5.0,O3,H10_C10_O3,0,10,10,3,0,0,True
5,5,179.021856037,0.0035583351304722,-0.0095965937309946,6.0,N1O4,H5_C8_N_O4,0,8,5,4,1,0,True
6,6,180.005876037,0.0103053082350041,0.0149384013015554,6.0,O5,H4_C8_O5,0,8,4,5,0,0,True
7,7,180.042256037,0.0372315844603961,-0.0156574354508165,5.0,O4,H8_C9_O4,0,9,8,4,0,0,True
8,8,180.063386037,0.0052527804306971,-0.0124789389285507,0.0,O6,H12_C6_O6,0,6,12,6,0,0,True
9,9,180.078636037,0.0028651529621984,-0.0462409099288355,4.0,O3,H12_C10_O3,0,10,12,3,0,0,True
10,10,181.037506037,0.0039742444314365,-0.0098985013955945,5.0,N1O4,H7_C8_N_O4,0,8,7,4,1,0,True
11,11,181.045616037,0.0042053051541945,0.0129304428880372,5.0,O4,H8_C8_13C_O4,0,9,8,4,0,0,True
12,12,182.021526037,0.0806093841461536,0.0143664328335577,5.0,O5,H6_C8_O5,0,8,6,5,0,0,True
13,13,182.057906037,0.0063156597553837,-0.0158905485078866,4.0,O4,H10_C9_O4,0,9,10,4,0,0,True
14,14,183.016766037,0.0064542961890384,-0.0347399866418888,5.0,N1O5,H5_C7_N_O5,0,7,5,5,1,0,True
15,15,183.024876037,0.0076095998028281,-0.012156817428791,5.0,O5,H6_C7_13C_O5,0,8,6,5,0,0,True
