,peakNo,mass,intensity,errorPPM,DBE,class,formula,z,C,H,O,N,S,assign
1568,1568,492.142156037,0.0084509330942931,0.2507182092667093,15.0,O9,H24_C27_O9,0,27,24,9,0,0,True
1569,1569,492.178426037,0.0075499522649388,0.0160124857727314,14.0,O8,H28_C28_O8,0,28,28,8,0,0,True
1570,1570,492.214646037,0.0074463288559929,-0.3202403691838306,13.0,O7,H32_C29_O7,0,29,32,7,0,0,True
1571,1571,492.251156037,0.0058896100605117,-0.0673131989989387,12.0,O6,H36_C30_O6,0,30,36,6,0,0,True
1572,1572,493.043276037,0.0088737339974572,-0.2132470010778531,22.0,N1O9,H11_C27_N_O9,0,27,11,9,1,0,True
1573,1573,493.079856037,0.0085726421825432,0.1812120266886142,21.0,N1O8,H15_C28_N_O8,0,28,15,8,1,0,True
1574,1574,493.087746037,0.0049858018676301,-0.2565770514346572,21.0,O8,H16_C28_13C_O8,0,29,16,8,0,0,True
1575,1575,494.027296037,0.0095695230337364,-0.2039016888717284,22.0,O10,H10_C27_O10,0,27,10,10,0,0,True
1576,1576,494.048616037,0.0050108303167947,0.1818424282171337,17.0,O12,H14_C24_O12,0,24,14,12,0,0,True
1577,1577,494.063676037,0.0186322686691605,-0.215035035202781,21.0,O9,H14_C28_O9,0,28,14,9,0,0,True
1578,1578,494.085016037,0.0047506276520588,0.2111600163111681,16.0,O11,H18_C25_O11,0,25,18,11,0,0,True
1579,1579,494.100076037,0.0089224580514918,-0.1856891031342613,20.0,O8,H18_C29_O8,0,29,18,8,0,0,True
1580,1580,494.194156037,0.0047414467556447,0.177677131401186,13.0,O8,H30_C28_O8,0,28,30,8,0,0,True
1581,1581,494.230456037,0.007722035757722,0.0046516761321666,12.0,O7,H34_C29_O7,0,29,34,7,0,0,True
1582,1582,495.059086037,0.0110373620058992,0.1106655782436704,21.0,N1O9,H13_C27_N_O9,0,27,13,9,1,0,True
1583,1583,495.095346037,0.0086299291646288,-0.1428452125123539,20.0,N1O8,H17_C28_N_O8,0,28,17,8,1,0,True
1584,1584,496.027816037,0.0054390151901892,0.0509507716877097,17.0,O13,H12_C23_O13,0,23,12,13,0,0,True
1585,1585,496.043086037,0.0181189838545864,0.0790112818434728,21.0,O10,H12_C27_O10,0,27,12,10,0,0,True
1586,1586,496.079366037,0.0117282540446533,-0.133678206687316,20.0,O9,H16_C28_O9,0,28,16,9,0,0,True
1587,1587,496.115776037,0.0080163265118329,-0.0843008870585502,19.0,O8,H20_C29_O8,0,29,20,8,0,0,True
1588,1588,496.152296037,0.0051745607667629,0.1867753122695811,18.0,O7,H24_C30_O7,0,30,24,7,0,0,True
1589,1589,496.173316037,0.0059575135345468,-0.0337765039072498,13.0,O9,H28_C27_O9,0,27,28,9,0,0,True
1590,1590,496.209536037,0.0047688053692044,-0.3673186158666372,12.0,O8,H32_C28_O8,0,28,32,8,0,0,True
1591,1591,496.246086037,0.0102726137387597,-0.0358189223120926,11.0,O7,H36_C29_O7,0,29,36,7,0,0,True
1592,1592,496.282446037,0.0079728914683512,-0.0872144488901752,10.0,O6,H40_C30_O6,0,30,40,6,0,0,True
1593,1593,497.038326037,0.0082072943191572,0.0608001404698247,21.0,N1O10,H11_C26_N_O10,0,26,11,10,1,0,True
1594,1594,497.046336037,0.0050348405060323,-0.1320742056138209,21.0,O10,H12_C26_13C_O10,0,27,12,10,0,0,True
1595,1595,497.074686037,0.0096335589705455,0.0094794607247335,20.0,N1O9,H15_C27_N_O9,0,27,15,9,1,0,True
1596,1596,497.082666037,0.0058188314996241,-0.2437320957036389,20.0,O9,H16_C27_13C_O9,0,28,16,9,0,0,True
