,peakNo,mass,intensity,errorPPM,DBE,class,formula,z,C,H,O,N,S,assign
0,0,212.032076037,0.0121017292499227,-0.0570621211134673,5.0,O6,H8_C9_O6,0,9,8,6,0,0,True
1,1,222.016426037,0.0278827018620673,-0.0541626590616811,7.0,O6,H6_C10_O6,0,10,6,6,0,0,True
2,2,224.032066037,0.0278630691738791,-0.0986421292132688,6.0,O6,H8_C10_O6,0,10,8,6,0,0,True
3,3,224.068466037,0.0108622745331735,-0.0339494446537099,5.0,O5,H12_C11_O5,0,11,12,5,0,0,True
4,4,226.120476037,0.0162521233913802,-0.1467757390855942,3.0,O4,H18_C12_O4,0,12,18,4,0,0,True
5,5,234.016446037,0.0116675858589903,0.0340788015195836,8.0,O6,H6_C11_O6,0,11,6,6,0,0,True
6,6,236.032076037,0.0263245551424315,-0.0512599821427092,7.0,O6,H8_C11_O6,0,11,8,6,0,0,True
7,7,236.068416037,0.0144144536530006,-0.2440267146673553,6.0,O5,H12_C12_O5,0,12,12,5,0,0,True
8,8,238.011346037,0.0226780417631449,-0.0280028666000491,7.0,O7,H6_C10_O7,0,10,6,7,0,0,True
9,9,238.047716037,0.0450754182595774,-0.0931451911755338,6.0,O6,H10_C11_O6,0,11,10,6,0,0,True
10,10,238.084106037,0.0156859515580203,-0.0742636721832217,5.0,O5,H14_C12_O5,0,12,14,5,0,0,True
11,11,239.087446037,0.011617529372057,-0.1360213617198716,5.0,O5,H14_C11_13C_O5,0,12,14,5,0,0,True
12,12,240.026996037,0.0311606691752247,-0.0280760085193152,6.0,O7,H8_C10_O7,0,10,8,7,0,0,True
13,13,240.063386037,0.0178659438553651,-0.0093600279272802,5.0,O6,H12_C11_O6,0,11,12,6,0,0,True
14,14,240.099756037,0.0153062288123996,-0.0739484300569605,4.0,O5,H16_C12_O5,0,12,16,5,0,0,True
15,15,242.079076037,0.0231018229889602,0.155647487666739,4.0,O6,H14_C11_O6,0,11,14,6,0,0,True
16,16,242.115406037,0.0142678362460106,-0.0736384368142975,3.0,O5,H18_C12_O5,0,12,18,5,0,0,True
17,17,242.151766037,0.0108049789894932,-0.1789662768237014,2.0,O4,H22_C13_O4,0,13,22,4,0,0,True
18,18,242.224466037,0.0127212879218885,-0.4720951681135152,0.0,O2,H30_C15_O2,0,15,30,2,0,0,True
19,19,244.058256037,0.0129529883437137,-0.1921139679077351,4.0,O7,H12_C10_O7,0,10,12,7,0,0,True
20,20,246.110356037,0.012676075144696,0.0712322727078821,2.0,O6,H18_C11_O6,0,11,18,6,0,0,True
21,21,246.146716037,0.0145263843147125,-0.0324075010858227,1.0,O5,H22_C12_O5,0,12,22,5,0,0,True
22,22,247.084356037,0.0111011079802886,-0.4128711409679326,7.0,N1O4,H13_C13_N_O4,0,13,13,4,1,0,True
23,23,248.032166037,0.0133127265694933,0.3140761992368421,8.0,O6,H8_C12_O6,0,12,8,6,0,0,True
24,24,248.068486037,0.0193953584599563,0.0499579780952639,7.0,O5,H12_C13_O5,0,13,12,5,0,0,True
25,25,248.125926037,0.0129094841188626,-0.2520615278365218,1.0,O6,H20_C11_O6,0,11,20,6,0,0,True
26,26,250.011386037,0.0158928044718169,0.1333339274674843,8.0,O7,H6_C11_O7,0,11,6,7,0,0,True
27,27,250.047736037,0.033874486482123,-0.0086903406815718,7.0,O6,H10_C12_O6,0,12,10,6,0,0,True
28,28,250.084126037,0.0123329645792206,0.0092728796518576,6.0,O5,H14_C13_O5,0,13,14,5,0,0,True
29,29,250.120486037,0.0149564358553266,-0.0927113182808729,5.0,O4,H18_C14_O4,0,14,18,4,0,0,True
30,30,252.027006037,0.0704308603437485,0.012939089619209,7.0,O7,H8_C11_O7,0,11,8,7,0,0,True
31,31,252.042256037,0.0120237382936783,-0.0111846324764879,11.0,O4,H8_C15_O4,0,15,8,4,0,0,True
32,32,252.063376037,0.030435553777997,-0.0485869871035933,6.0,O6,H12_C12_O6,0,12,12,6,0,0,True
33,33,252.099736037,0.0142499000611346,-0.1497621561047666,5.0,O5,H16_C13_O5,0,13,16,5,0,0,True
34,34,253.095076037,0.0117399619676248,0.2104821666549156,5.0,N1O5,H15_C12_N_O5,0,12,15,5,1,0,True
35,35,254.006266037,0.0116719403781454,-0.0051376685796515,7.0,O8,H6_C10_O8,0,10,6,8,0,0,True
36,36,254.042646037,0.0347402959835831,-0.0268183319025751,6.0,O7,H10_C11_O7,0,11,10,7,0,0,True
37,37,254.079046037,0.0576316007440622,0.0302228779275402,5.0,O6,H14_C12_O6,0,12,14,6,0,0,True
38,38,254.151856037,0.01475571348759,0.1836028299530745,3.0,O4,H22_C14_O4,0,14,22,4,0,0,True
39,39,255.074276037,0.013475783671932,-0.0442772990084254,5.0,N1O6,H13_C11_N_O6,0,11,13,6,1,0,True
40,40,256.058306037,0.0332343577074968,0.0121573874956075,5.0,O7,H12_C11_O7,0,11,12,7,0,0,True
41,41,256.094676037,0.0185373205823341,-0.0484000690316648,4.0,O6,H16_C12_O6,0,12,16,6,0,0,True
42,42,256.240226037,0.1443521846797311,-0.0172767563988791,0.0,O2,H32_C16_O2,0,16,32,2,0,0,True
43,43,257.089886037,0.0115179778829513,-0.1998056042079379,4.0,N1O6,H15_C11_N_O6,0,11,15,6,1,0,True
44,44,258.073846037,0.0163445442650017,-0.4144588907952585,4.0,O7,H14_C11_O7,0,11,14,7,0,0,True
45,45,258.089236037,0.0142783044425847,0.1044561190597432,8.0,O4,H14_C15_O4,0,15,14,4,0,0,True
46,46,258.110386037,0.015008251500524,0.1841498931397917,3.0,O6,H18_C12_O6,0,12,18,6,0,0,True
47,47,258.146716037,0.0146028739619179,-0.030901032242917,2.0,O5,H22_C13_O5,0,13,22,5,0,0,True
48,48,260.089556037,0.0197831203178632,-0.1808415558187718,3.0,O7,H16_C11_O7,0,11,16,7,0,0,True
49,49,260.125996037,0.0189452934818311,0.0286668771851565,2.0,O6,H20_C12_O6,0,12,20,6,0,0,True
50,50,262.011246037,0.0124148473718986,-0.4071008462004306,9.0,O7,H6_C12_O7,0,12,6,7,0,0,True
51,51,262.047766037,0.0189546531677183,0.1061905635018184,8.0,O6,H10_C13_O6,0,13,10,6,0,0,True
52,52,262.084126037,0.0191658846987284,0.008848303826047,7.0,O5,H14_C14_O5,0,14,14,5,0,0,True
53,53,262.105166037,0.0156499490587528,-0.3323436974133229,2.0,O7,H18_C11_O7,0,11,18,7,0,0,True
54,54,262.120566037,0.0123002321864796,0.2167361410740563,6.0,O4,H18_C15_O4,0,15,18,4,0,0,True
55,55,262.141626037,0.0487668672883848,-0.0481304711976305,1.0,O6,H22_C12_O6,0,12,22,6,0,0,True
56,56,264.026996037,0.0575954681152793,-0.0255239051883837,8.0,O7,H8_C12_O7,0,12,8,7,0,0,True
57,57,264.063396037,0.0334917996753177,0.0293603738735743,7.0,O6,H12_C13_O6,0,13,12,6,0,0,True
58,58,264.099656037,0.0175825506884404,-0.4458733562410159,6.0,O5,H16_C14_O5,0,14,16,5,0,0,True
59,59,264.136116037,0.0151805526181695,-0.1637905510924495,5.0,O4,H20_C15_O4,0,15,20,4,0,0,True
60,60,266.006216037,0.0139022879783478,-0.1928714327200746,8.0,O8,H6_C11_O8,0,11,6,8,0,0,True
61,61,266.042656037,0.0613034604611865,0.0119792820137167,7.0,O7,H10_C12_O7,0,12,10,7,0,0,True
62,62,266.057936037,0.0152809788667956,0.1018838242442269,11.0,O4,H10_C16_O4,0,16,10,4,0,0,True
63,63,266.079056037,0.0373133035155686,0.0664426590307727,6.0,O6,H14_C13_O6,0,13,14,6,0,0,True
64,64,266.115386037,0.0204564827248453,-0.1421526224789217,5.0,O5,H18_C14_O5,0,14,18,5,0,0,True
65,65,267.082506037,0.011388739995688,0.4224874240944273,6.0,O6,H14_C12_13C_O6,0,13,14,6,0,0,True
66,66,268.021926037,0.0850213334448077,0.0321652789149966,7.0,O8,H8_C11_O8,0,11,8,8,0,0,True
67,67,268.058306037,0.0414121976963938,0.0116131452667278,6.0,O7,H12_C12_O7,0,12,12,7,0,0,True
68,68,268.073596037,0.019462633009625,0.1381448996089556,10.0,O4,H12_C16_O4,0,16,12,4,0,0,True
69,69,268.094666037,0.0314647698037428,-0.0835339259248608,5.0,O6,H16_C13_O6,0,13,16,6,0,0,True
