,peakNo,mass,intensity,errorPPM,DBE,class,formula,z,C,H,O,N,S,assign
70,70,268.131156037,0.0162748406310451,0.306182247427968,4.0,O5,H20_C14_O5,0,14,20,5,0,0,True
71,71,269.025326037,0.0122010927741728,0.199910546757331,7.0,O8,H8_C10_13C_O8,0,11,8,8,0,0,True
72,72,270.037616037,0.0198932436251942,0.179778657204303,6.0,O8,H10_C11_O8,0,11,10,8,0,0,True
73,73,270.073946037,0.0522134246181923,-0.0257744225202298,5.0,O7,H14_C12_O7,0,12,14,7,0,0,True
74,74,270.110376037,0.0191022489558799,0.1389469020999292,4.0,O6,H18_C13_O6,0,13,18,6,0,0,True
75,75,270.146786037,0.0205571740521138,0.2295899977490013,3.0,O5,H22_C14_O5,0,14,22,5,0,0,True
76,76,270.255916037,0.0162207380801044,0.1313532763877527,0.0,O2,H34_C17_O2,0,17,34,2,0,0,True
77,77,272.032066037,0.0186058819683219,-0.0812367464595511,10.0,O6,H8_C14_O6,0,14,8,6,0,0,True
78,78,272.053206037,0.0146587260318994,-0.0423703882691199,5.0,O8,H12_C11_O8,0,11,12,8,0,0,True
79,79,272.068446037,0.0140240289596392,-0.1014707894092161,9.0,O5,H12_C15_O5,0,15,12,5,0,0,True
80,80,272.089596037,0.0228823884788667,-0.0258554539113467,4.0,O7,H16_C12_O7,0,12,16,7,0,0,True
81,81,272.104766037,0.0135585098966544,-0.3422027529436727,8.0,O4,H16_C16_O4,0,16,16,4,0,0,True
82,82,272.125916037,0.0266140186102702,-0.2665787994173515,3.0,O6,H20_C13_O6,0,13,20,6,0,0,True
83,83,274.011286037,0.0179518389747687,-0.2432928983589147,10.0,O7,H6_C13_O7,0,13,6,7,0,0,True
84,84,274.047776037,0.0175338195947197,0.1380306766888355,9.0,O6,H10_C14_O6,0,14,10,6,0,0,True
85,85,274.068866037,0.0114956438024151,-0.00584159731249,4.0,O8,H14_C11_O8,0,11,14,8,0,0,True
86,86,274.105386037,0.0181764111909156,0.4848171790509065,3.0,O7,H18_C12_O7,0,12,18,7,0,0,True
87,87,274.141696037,0.0187707416055299,0.2093187604864697,2.0,O6,H22_C13_O6,0,13,22,6,0,0,True
88,88,274.214356037,0.0141191102589095,-0.1955878633354001,0.0,O4,H30_C15_O4,0,15,30,4,0,0,True
89,89,275.079286037,0.0138938898049913,-0.3150146318802575,8.0,N1O5,H13_C14_N_O5,0,14,13,5,1,0,True
90,90,276.027006037,0.0220153499764276,0.0118140612672266,9.0,O7,H8_C13_O7,0,13,8,7,0,0,True
91,91,276.063366037,0.0329441592488766,-0.0805865708418202,8.0,O6,H12_C14_O6,0,14,12,6,0,0,True
92,92,276.099636037,0.0170574154387503,-0.4989322043409098,7.0,O5,H16_C15_O5,0,15,16,5,0,0,True
93,93,276.120896037,0.0180800864318313,-0.026013967370083,2.0,O7,H20_C12_O7,0,12,20,7,0,0,True
94,94,276.157296037,0.0143912038462448,0.0264668001153353,1.0,O6,H24_C13_O6,0,13,24,6,0,0,True
95,95,277.058696037,0.0116574502156223,0.2121572102170282,8.0,N1O6,H11_C13_N_O6,0,13,11,6,1,0,True
96,96,278.006256037,0.0175643807523978,-0.0406645524743182,9.0,O8,H6_C12_O8,0,12,6,8,0,0,True
97,97,278.042636037,0.0447814653234566,-0.0604691430954568,8.0,O7,H10_C13_O7,0,13,10,7,0,0,True
98,98,278.057886037,0.0121802455438406,-0.0823317774574004,12.0,O4,H10_C17_O4,0,17,10,4,0,0,True
99,99,278.079056037,0.0339068067980651,0.0635754459449257,7.0,O6,H14_C14_O6,0,14,14,6,0,0,True
100,100,278.115426037,0.019563878592237,0.0078061114282008,6.0,O5,H18_C15_O5,0,15,18,5,0,0,True
101,101,278.151856037,0.016807142643307,0.1677608796125888,5.0,O4,H22_C16_O4,0,16,22,4,0,0,True
102,102,280.021906037,0.0642440838742465,-0.0406361065142168,8.0,O8,H8_C12_O8,0,12,8,8,0,0,True
103,103,280.058316037,0.0769538987105251,0.0468223911657765,7.0,O7,H12_C13_O7,0,13,12,7,0,0,True
104,104,280.094696037,0.0392140234139771,0.0271515316609601,6.0,O6,H16_C14_O6,0,14,16,6,0,0,True
105,105,280.131036037,0.0221566826792079,-0.1353045366075471,5.0,O5,H20_C15_O5,0,15,20,5,0,0,True
106,106,281.025386037,0.0162331558096041,0.4048780132868383,8.0,O8,H8_C11_13C_O8,0,12,8,8,0,0,True
107,107,282.001156037,0.012855106850056,-0.0920031689551246,8.0,O9,H6_C11_O9,0,11,6,9,0,0,True
108,108,282.037576037,0.1193627318576917,0.0303044725925641,7.0,O8,H10_C12_O8,0,12,10,8,0,0,True
109,109,282.052696037,0.0134698627789802,-0.4521601878058146,11.0,O5,H10_C16_O5,0,16,10,5,0,0,True
110,110,282.073936037,0.0566663602437885,-0.06012962491292,6.0,O7,H14_C13_O7,0,13,14,7,0,0,True
111,111,282.089176037,0.0120428649226398,-0.1171296270876715,10.0,O4,H14_C17_O4,0,17,14,4,0,0,True
112,112,282.110366037,0.0258944819135649,0.0975894660922345,5.0,O6,H18_C14_O6,0,14,18,6,0,0,True
113,113,282.146726037,0.0182869634436863,0.0071700283903633,4.0,O5,H22_C15_O5,0,15,22,5,0,0,True
114,114,283.040916037,0.013961041454562,-0.0222335346449502,7.0,O8,H10_C11_13C_O8,0,12,10,8,0,0,True
115,115,283.077426037,0.0117403812738412,0.4175500734784538,6.0,O7,H14_C12_13C_O7,0,13,14,7,0,0,True
116,116,284.016846037,0.0294475791694175,0.0492259532845963,7.0,O9,H8_C11_O9,0,11,8,9,0,0,True
117,117,284.032106037,0.0134086175635262,0.0630245653737785,11.0,O6,H8_C15_O6,0,15,8,6,0,0,True
118,118,284.053206037,0.0295539022129369,-0.0405804255141731,6.0,O8,H12_C12_O8,0,12,12,8,0,0,True
119,119,284.089606037,0.0468090976464918,0.0104368479469047,5.0,O7,H16_C13_O7,0,13,16,7,0,0,True
120,120,284.125946037,0.0227294501511551,-0.1497328934572193,4.0,O6,H20_C14_O6,0,14,20,6,0,0,True
121,121,284.162386037,0.0206901591874603,0.0420499002844863,3.0,O5,H24_C15_O5,0,15,24,5,0,0,True
122,122,284.271526037,0.2522980468781506,-0.0160937680079007,0.0,O2,H36_C18_O2,0,18,36,2,0,0,True
123,123,285.092896037,0.0125529653936868,-0.2170345204380261,5.0,O7,H16_C12_13C_O7,0,13,16,7,0,0,True
124,124,286.047746037,0.0161167525482509,0.0273625648123248,10.0,O6,H10_C15_O6,0,15,10,6,0,0,True
125,125,286.068876037,0.0311398701410093,0.0293600623032726,5.0,O8,H14_C12_O8,0,12,14,8,0,0,True
126,126,286.084126037,0.0126156830005097,0.0081060071639887,9.0,O5,H14_C16_O5,0,16,14,5,0,0,True
127,127,286.105276037,0.0320839501361915,0.0800090104303562,4.0,O7,H18_C13_O7,0,13,18,7,0,0,True
128,128,286.141646037,0.0220439399129275,0.025801906597405,3.0,O6,H22_C14_O6,0,14,22,6,0,0,True
129,129,287.079246037,0.0131002829061451,-0.4411813174692504,9.0,N1O5,H13_C15_N_O5,0,15,13,5,1,0,True
130,130,288.026996037,0.0145780577813653,-0.0233971124469057,10.0,O7,H8_C14_O7,0,14,8,7,0,0,True
131,131,288.048106037,0.0115679572560978,-0.0908424649870554,5.0,O9,H12_C11_O9,0,11,12,9,0,0,True
132,132,288.063356037,0.0151748076410441,-0.1119441237592974,9.0,O6,H12_C15_O6,0,15,12,6,0,0,True
133,133,288.084506037,0.0145802217870107,-0.0405263030515203,4.0,O8,H16_C12_O8,0,12,16,8,0,0,True
134,134,288.099776037,0.0135056459859161,0.0077924391084665,8.0,O5,H16_C16_O5,0,16,16,5,0,0,True
135,135,288.120896037,0.0231289453537028,-0.024930506875774,3.0,O7,H20_C13_O7,0,13,20,7,0,0,True
136,136,289.094996037,0.0143660478830685,-0.0924540389470878,8.0,N1O5,H15_C15_N_O5,0,15,15,5,1,0,True
137,137,290.042696037,0.0408272631147543,0.1488987676887845,9.0,O7,H10_C14_O7,0,14,10,7,0,0,True
138,138,290.079036037,0.0282535902594741,-0.0080012676633273,8.0,O6,H14_C15_O6,0,15,14,6,0,0,True
139,139,290.100266037,0.0120320448944129,0.3386794550013665,3.0,O8,H18_C12_O8,0,12,18,8,0,0,True
140,140,290.136536037,0.0256048786769874,-0.0594788931454257,2.0,O7,H22_C13_O7,0,13,22,7,0,0,True
141,141,290.172876037,0.0128476725990359,-0.2163020915420644,1.0,O6,H26_C14_O6,0,14,26,6,0,0,True
142,142,291.037776037,0.0154305434663294,-0.4321981897618174,9.0,N1O7,H9_C13_N_O7,0,13,9,7,1,0,True
143,143,291.074236037,0.0163955791331066,-0.1762230855623519,8.0,N1O6,H13_C14_N_O6,0,14,13,6,1,0,True
144,144,292.021906037,0.0352729401882744,-0.0389662548075821,9.0,O8,H8_C13_O8,0,13,8,8,0,0,True
145,145,292.058296037,0.0444206716027185,-0.0235809085962847,8.0,O7,H12_C14_O7,0,14,12,7,0,0,True
146,146,292.094716037,0.0440136939530339,0.0945070160405337,7.0,O6,H16_C15_O6,0,15,16,6,0,0,True
147,147,292.131086037,0.0119746433192756,0.0414094923315981,6.0,O5,H20_C16_O5,0,16,20,5,0,0,True
148,148,292.167496037,0.0157928842824175,0.1252329587860232,5.0,O4,H24_C17_O4,0,17,24,4,0,0,True
149,149,292.207316037,0.0157974026683698,0.33925570836641,-1.0,O3S1,H32_C15_O3_S,0,15,32,3,0,1,True
150,150,293.053566037,0.0135983512166269,0.0482505644044642,8.0,N1O7,H11_C13_N_O7,0,13,11,7,1,0,True
151,151,294.001156037,0.016740328366554,-0.0882479523350833,9.0,O9,H6_C12_O9,0,12,6,9,0,0,True
152,152,294.037586037,0.0789392533998824,0.0630769699133126,8.0,O8,H10_C13_O8,0,13,10,8,0,0,True
153,153,294.052856037,0.0127362166690747,0.1104121225696623,12.0,O5,H10_C17_O5,0,17,10,5,0,0,True
154,154,294.073966037,0.064688803903016,0.0443391850873474,7.0,O7,H14_C14_O7,0,14,14,7,0,0,True
155,155,294.110306037,0.0499398884777039,-0.1103973555225379,6.0,O6,H18_C15_O6,0,15,18,6,0,0,True
156,156,294.146746037,0.0199927734260473,0.0748707926876451,5.0,O5,H22_C16_O5,0,16,22,5,0,0,True
157,157,294.183146037,0.0155555159972538,0.1241233580797877,4.0,O4,H26_C17_O4,0,17,26,4,0,0,True
158,158,295.040866037,0.0122147877007683,-0.1907972978666506,8.0,O8,H10_C12_13C_O8,0,13,10,8,0,0,True
159,159,295.069176037,0.0256259355604278,-0.0878912543674272,7.0,N1O7,H13_C13_N_O7,0,13,13,7,1,0,True
160,160,295.077256037,0.0177733229678587,-0.1755506360585186,7.0,O7,H14_C13_13C_O7,0,14,14,7,0,0,True
161,161,295.105556037,0.0142515194506598,-0.1065449273286825,6.0,N1O6,H17_C14_N_O6,0,14,17,6,1,0,True
162,162,295.150036037,0.0120956300313387,-0.1450685914955362,5.0,O5,H22_C15_13C_O5,0,16,22,5,0,0,True
163,163,296.016826037,0.0626919640790196,-0.020333303656665,8.0,O9,H8_C12_O9,0,12,8,9,0,0,True
164,164,296.032086037,0.0131658609525016,-0.0070904475229925,12.0,O6,H8_C16_O6,0,16,8,6,0,0,True
165,165,296.053236037,0.06973971838927,0.0623975615289184,7.0,O8,H12_C13_O8,0,13,12,8,0,0,True
166,166,296.064496037,0.0172604464004827,0.1523080294547145,7.0,N2O7,H12_C12_N2_O7,0,12,12,7,2,0,True
167,167,296.068456037,0.0127650403567412,-0.0594693546676256,11.0,O5,H12_C17_O5,0,17,12,5,0,0,True
168,168,296.089616037,0.0572437569527567,0.0437874187206772,6.0,O7,H16_C14_O7,0,14,16,7,0,0,True
169,169,296.125986037,0.0344959778183734,-0.0085875610841376,5.0,O6,H20_C15_O6,0,15,20,6,0,0,True
170,170,297.020256037,0.0127762989696313,0.2327821035024172,8.0,O9,H8_C11_13C_O9,0,12,8,9,0,0,True
171,171,297.056596037,0.0143181264841105,0.0795572304543899,7.0,O8,H12_C12_13C_O8,0,13,12,8,0,0,True
172,172,297.084866037,0.0207273400817841,0.0470976532028076,6.0,N1O7,H15_C13_N_O7,0,13,15,7,1,0,True
173,173,298.011376037,0.0118875987224857,0.0783023800885137,12.0,O7,H6_C15_O7,0,15,6,7,0,0,True
174,174,298.032486037,0.0876837616421425,0.0131093091864826,7.0,O9,H10_C12_O9,0,12,10,9,0,0,True
175,175,298.047716037,0.022460373640733,-0.0743941283711588,11.0,O6,H10_C16_O6,0,16,10,6,0,0,True
176,176,298.068866037,0.0558303817288366,-0.0053712417957808,6.0,O8,H14_C13_O8,0,13,14,8,0,0,True
177,177,298.084156037,0.0168565267944106,0.1084224013875191,10.0,O5,H14_C17_O5,0,17,14,5,0,0,True
178,178,298.105236037,0.0436218932605372,-0.0573924840285218,5.0,O7,H18_C14_O7,0,14,18,7,0,0,True
179,179,298.120596037,0.0150102829668481,0.2911942385534922,9.0,O4,H18_C18_O4,0,18,18,4,0,0,True
180,180,298.141666037,0.0280734548630389,0.0918455994259601,4.0,O6,H22_C15_O6,0,15,22,6,0,0,True
181,181,298.160266037,0.1810253425520327,-0.0021632661140595,3.0,O3S1,H26_C16_O3_S,0,16,26,3,0,1,True
182,182,298.178116037,0.0132097844835691,0.3081212036305909,3.0,O5,H26_C16_O5,0,16,26,5,0,0,True
183,183,299.064156037,0.0172669167291663,0.1318312449180735,6.0,N1O8,H13_C12_N_O8,0,12,13,8,1,0,True
184,184,299.100536037,0.0130961500891275,0.1133999973217615,5.0,N1O7,H17_C13_N_O7,0,13,17,7,1,0,True
185,185,299.163646037,0.0317832642025503,0.0819451171010736,3.0,O3S1,H26_C15_13C_O3_S,0,16,26,3,0,1,True
186,186,300.027016037,0.0158905922700547,0.0441993530032333,11.0,O7,H8_C15_O7,0,15,8,7,0,0,True
187,187,300.048176037,0.0214811273489103,0.1460865404532178,6.0,O9,H12_C12_O9,0,12,12,9,0,0,True
188,188,300.063316037,0.0190666079274886,-0.2407725174326623,10.0,O6,H12_C16_O6,0,16,12,6,0,0,True
189,189,300.084516037,0.0367855994128517,-0.0055817607207051,5.0,O8,H16_C13_O8,0,13,16,8,0,0,True
190,190,300.120906037,0.0304377563405359,0.0093862171490996,4.0,O7,H20_C14_O7,0,14,20,7,0,0,True
191,191,300.157336037,0.0213940128677511,0.1576140053477406,3.0,O6,H24_C15_O6,0,15,24,6,0,0,True
192,192,301.058526037,0.0167193485969005,-0.3694298297145458,10.0,N1O6,H11_C15_N_O6,0,15,11,6,1,0,True
193,193,301.079776037,0.0140235445886651,0.0310615350173919,5.0,N1O8,H15_C12_N_O8,0,12,15,8,1,0,True
194,194,301.094956037,0.0142080682415372,-0.2216177943130661,9.0,N1O5,H15_C16_N_O5,0,16,15,5,1,0,True
195,195,302.042666037,0.0283894165559073,0.0436593949092142,10.0,O7,H10_C15_O7,0,15,10,7,0,0,True
196,196,302.063796037,0.0183511438026549,0.0455499804767373,5.0,O9,H14_C12_O9,0,12,14,9,0,0,True
197,197,302.079056037,0.0341305428115852,0.0585244148582444,9.0,O6,H14_C16_O6,0,16,14,6,0,0,True
198,198,302.100176037,0.0296975170018489,0.0273121323703118,4.0,O8,H18_C13_O8,0,13,18,8,0,0,True
199,199,302.115506037,0.0225037911125738,0.271985377553023,8.0,O5,H18_C17_O5,0,17,18,5,0,0,True
200,200,302.136566037,0.028367615042462,0.0421762919350017,3.0,O7,H22_C14_O7,0,14,22,7,0,0,True
201,201,302.172946037,0.0218686217183688,0.0239432420840616,2.0,O6,H26_C15_O6,0,15,26,6,0,0,True
202,202,302.209286037,0.0142554908106861,-0.1266440238536886,1.0,O5,H30_C16_O5,0,16,30,5,0,0,True
203,203,303.037886037,0.0157211323134959,-0.0520924962731407,10.0,N1O7,H9_C14_N_O7,0,14,9,7,1,0,True
204,204,303.074276037,0.0227750412678647,-0.0372647924367857,9.0,N1O6,H13_C15_N_O6,0,15,13,6,1,0,True
205,205,304.021886037,0.0191152402191698,-0.1032129640908909,10.0,O8,H8_C14_O8,0,14,8,8,0,0,True
206,206,304.058296037,0.0425154188595227,-0.0226502617208547,9.0,O7,H12_C15_O7,0,15,12,7,0,0,True
207,207,304.094716037,0.0234912933992085,0.090777637880775,8.0,O6,H16_C16_O6,0,16,16,6,0,0,True
208,208,304.131076037,0.0160373181183076,0.0068950533422735,7.0,O5,H20_C17_O5,0,17,20,5,0,0,True
209,209,304.152206037,0.0208486906745292,0.0087752117934995,2.0,O7,H24_C14_O7,0,14,24,7,0,0,True
210,210,304.188646037,0.0217149869567692,0.187912996668289,1.0,O6,H28_C15_O6,0,15,28,6,0,0,True
211,211,305.053506037,0.0226680434787098,-0.1503342828371107,9.0,N1O7,H11_C14_N_O7,0,14,11,7,1,0,True
212,212,305.089946037,0.0134675951516836,0.0282932955208733,8.0,N1O6,H15_C15_N_O6,0,15,15,6,1,0,True
213,213,306.037586037,0.0598563985614124,0.0606036670462973,9.0,O8,H10_C14_O8,0,14,10,8,0,0,True
214,214,306.073946037,0.0532037873443604,-0.0227428701037556,8.0,O7,H14_C15_O7,0,15,14,7,0,0,True
215,215,306.110336037,0.0345966884240886,-0.0080657190881871,7.0,O6,H18_C16_O6,0,16,18,6,0,0,True
216,216,306.131466037,0.0140980822931392,-0.0061966841525611,2.0,O8,H22_C13_O8,0,13,22,8,0,0,True
217,217,306.222856037,0.0184088104564347,-0.0357288809610499,-1.0,O3S1,H34_C16_O3_S,0,16,34,3,0,1,True
218,218,307.032886037,0.0122880674865933,0.2266011333491494,9.0,N1O8,H9_C13_N_O8,0,13,9,8,1,0,True
219,219,307.069206037,0.0188361003595548,0.0132413148272479,8.0,N1O7,H13_C14_N_O7,0,14,13,7,1,0,True
220,220,307.226106037,0.0131883107037182,-0.3768592502449451,-1.0,O3S1,H34_C15_13C_O3_S,0,16,34,3,0,1,True
221,221,308.016876037,0.0536435672711554,0.1427876308013503,9.0,O9,H8_C13_O9,0,13,8,9,0,0,True
222,222,308.032076037,0.0140904239301759,-0.039278376789781,13.0,O6,H8_C17_O6,0,17,8,6,0,0,True
223,223,308.053226037,0.0840598594710638,0.0275049871923237,8.0,O8,H12_C14_O8,0,14,12,8,0,0,True
224,224,308.089596037,0.0708087733251824,-0.0228342667217063,7.0,O7,H16_C15_O7,0,15,16,7,0,0,True
225,225,308.125966037,0.0288830797413114,-0.0731616367487007,6.0,O6,H20_C16_O6,0,16,20,6,0,0,True
226,226,308.162376037,0.0144037251973956,0.0063245878610149,5.0,O5,H24_C17_O5,0,17,24,5,0,0,True
227,227,309.048456037,0.0194585532083358,-0.0339752547706511,8.0,N1O8,H11_C13_N_O8,0,13,11,8,1,0,True
228,228,309.056596037,0.0136608639899534,0.0764681950553901,8.0,O8,H12_C13_13C_O8,0,14,12,8,0,0,True
229,229,309.084816037,0.0303237243281305,-0.1164987670915718,7.0,N1O7,H15_C14_N_O7,0,14,15,7,1,0,True
230,230,309.996066037,0.0132321619406104,-0.0986625423394032,9.0,O10,H6_C12_O10,0,12,6,10,0,0,True
231,231,310.032486037,0.0865798560941547,0.012601905229405,8.0,O9,H10_C13_O9,0,13,10,9,0,0,True
232,232,310.047746037,0.022936982630199,0.0252444989212171,12.0,O6,H10_C17_O6,0,17,10,6,0,0,True
233,233,310.068876037,0.0795472233155578,0.0270875301346635,7.0,O8,H14_C14_O8,0,14,14,8,0,0,True
234,234,310.105266037,0.074014916375243,0.0415697551601409,6.0,O7,H18_C15_O7,0,15,18,7,0,0,True
