peakNo,mass,intensity,errorPPM,DBE,class,formula,z,C,H,O,N,S
1154,336.120896037,0.11811343401685502,-0.02137028689496864,7.0,O7,H20_C17_O7,0,17,20,7,0,0
1166,337.12431603699997,0.01725661069361917,0.17197513565514622,7.0,O7,H20_C16_13C_O7,0,17,20,7,0,0
1171,338.042726037,0.038075592741465686,0.2165022182638994,13.0,O7,H10_C18_O7,0,18,10,7,0,0
1181,338.136596037,0.13517338051963182,0.12640749476829496,6.0,O7,H22_C17_O7,0,17,22,7,0,0
1195,339.139876037,0.01989582726513651,-0.09464236511638369,6.0,O7,H22_C16_13C_O7,0,17,22,7,0,0
1200,340.058336037,0.0527991742397763,0.097374469377685,12.0,O7,H12_C18_O7,0,18,12,7,0,0
1211,340.152186037,0.11380701677735058,-0.05095072350653157,5.0,O7,H24_C17_O7,0,17,24,7,0,0
1224,341.155646037,0.02511536855800225,0.2574455413968839,5.0,O7,H24_C16_13C_O7,0,17,24,7,0,0
1230,342.073996037,0.056834998446541614,0.12581780693417668,11.0,O7,H14_C18_O7,0,18,14,7,0,0
1239,342.167826037,0.09088723712571362,-0.08009227618839336,4.0,O7,H26_C17_O7,0,17,26,7,0,0
1247,343.07739603699997,0.01383988819954173,0.25708193259804496,11.0,O7,H14_C17_13C_O7,0,18,14,7,0,0
1252,343.171316037,0.020371058099343663,0.3139976884784313,4.0,O7,H26_C16_13C_O7,0,17,26,7,0,0
1260,344.089576037,0.07040286758709076,-0.078569657145129,10.0,O7,H16_C18_O7,0,18,16,7,0,0
1269,344.183536037,0.05711812230572061,0.09448737848235267,3.0,O7,H28_C17_O7,0,17,28,7,0,0
1277,345.093026037,0.01823925807798361,0.19741053832209154,10.0,O7,H16_C17_13C_O7,0,18,16,7,0,0
1291,346.105246037,0.08388376733077013,-0.02053999500071098,9.0,O7,H18_C18_O7,0,18,18,7,0,0
1299,346.199116037,0.0437552611266457,-0.10847225839273807,2.0,O7,H30_C17_O7,0,17,30,7,0,0
1311,348.026976037,0.017097053526350537,-0.0768302512777852,15.0,O7,H8_C19_O7,0,19,8,7,0,0
1318,348.120926037,0.09994963396636762,0.0655433164019878,8.0,O7,H20_C18_O7,0,18,20,7,0,0
1324,348.214856037,0.028111941240436523,0.15040426652919534,1.0,O7,H32_C17_O7,0,17,32,7,0,0
1331,349.124186037,0.017819830381762398,-0.2062962202373863,8.0,O7,H20_C17_13C_O7,0,18,20,7,0,0
1335,350.042566037,0.02611334420754204,-0.24800698091849724,14.0,O7,H10_C19_O7,0,19,10,7,0,0
1343,350.136546037,0.12675302924385412,-0.020726199749985436,7.0,O7,H22_C18_O7,0,18,22,7,0,0
1353,351.139846037,0.022458487465532643,-0.17684407142110484,7.0,O7,H22_C17_13C_O7,0,18,22,7,0,0
1359,352.058366037,0.023618520379432212,0.17926857049472622,13.0,O7,H12_C19_O7,0,19,12,7,0,0
1371,352.152216037,0.12310864014136472,0.03597592029833921,6.0,O7,H24_C18_O7,0,18,24,7,0,0
1381,353.15556603699997,0.020777675832071147,0.022168700488174695,6.0,O7,H24_C17_13C_O7,0,18,24,7,0,0
1387,354.073986037,0.037727065856926485,0.09331100650918943,12.0,O7,H14_C19_O7,0,19,14,7,0,0
1394,354.167876037,0.10755855809934367,0.06379742910209885,5.0,O7,H26_C18_O7,0,18,26,7,0,0
1407,355.171186037,0.023642289506388598,-0.06263176997360784,5.0,O7,H26_C17_13C_O7,0,18,26,7,0,0
1415,356.089636037,0.03387763238378189,0.09257500546626317,11.0,O7,H16_C19_O7,0,19,16,7,0,0
1424,356.183576037,0.0966315682162414,0.20360568237454502,4.0,O7,H28_C18_O7,0,18,28,7,0,0
1436,357.186886037,0.02325396131888617,0.07749724624525363,4.0,O7,H28_C17_13C_O7,0,18,28,7,0,0
1448,358.105296037,0.12440389675327197,0.11977203491718537,10.0,O7,H18_C19_O7,0,19,18,7,0,0
1457,358.199186037,0.09616867402617578,0.09058367882595544,3.0,O7,H30_C18_O7,0,18,30,7,0,0
1464,359.108686037,0.021653492611363546,0.21734645536991026,10.0,O7,H18_C18_13C_O7,0,19,18,7,0,0
1469,359.202626037,0.014567052361256747,0.3274113036066385,3.0,O7,H30_C17_13C_O7,0,18,30,7,0,0
1482,360.120936037,0.08542765010291661,0.09112772041883392,9.0,O7,H20_C19_O7,0,19,20,7,0,0
1487,360.214856037,0.0930835299429104,0.14539378134763759,2.0,O7,H32_C18_O7,0,18,32,7,0,0
1496,361.218026037,0.01744562895646433,-0.3667231157064285,2.0,O7,H32_C17_13C_O7,0,18,32,7,0,0
1500,362.042686037,0.02096181526467047,0.09166598669776177,15.0,O7,H10_C20_O7,0,20,10,7,0,0
1508,362.136586037,0.10652673404792419,0.09041616126456468,8.0,O7,H22_C19_O7,0,19,22,7,0,0
1514,362.230436037,0.056654942910404286,-0.04886668327451938,1.0,O7,H34_C18_O7,0,18,34,7,0,0
1519,363.139956037,0.01763938648102839,0.13191332762691094,8.0,O7,H22_C18_13C_O7,0,19,22,7,0,0
1527,364.058336037,0.019942746562973318,0.09095520346963303,14.0,O7,H12_C20_O7,0,20,12,7,0,0
