peakNo,mw,relativeAbundance,errorPPM,DBE,class,formula,z,C,H,O,N,S
2067,353.038306037,0.005697415183333418,0.02894869991154261,9.0,N1O10,H11_C14_N_O10,0,14,11,10,1,0
2085,354.041616037,9.857994327861727E-4,-0.09778511463034277,9.0,N1O10,H11_C13_13C_N_O10,0,14,11,10,1,0
2113,355.053956037,0.007188752786779166,0.028575938369375414,8.0,N1O10,H13_C14_N_O10,0,14,13,10,1,0
2136,356.057306037,0.0012031808461697901,0.014902095537472577,8.0,N1O10,H13_C13_13C_N_O10,0,14,13,10,1,0
2168,357.069616037,0.0050149386529429905,0.056213128026685426,7.0,N1O10,H15_C14_N_O10,0,14,15,10,1,0
2213,359.085266037,0.002992785970304688,0.05569150801245928,6.0,N1O10,H17_C14_N_O10,0,14,17,10,1,0
2253,361.00701603699997,0.0021080941716504304,0.05641995605388947,12.0,N1O10,H7_C15_N_O10,0,15,7,10,1,0
2300,363.022656037,0.007967281569594913,0.028356356885129184,11.0,N1O10,H9_C15_N_O10,0,15,9,10,1,0
2320,364.026026037,0.0010515193949719173,0.06992357195250654,11.0,N1O10,H9_C14_13C_N_O10,0,15,9,10,1,0
2350,365.038306037,0.009221016232830661,0.027997061704829858,10.0,N1O10,H11_C15_N_O10,0,15,11,10,1,0
2371,366.041636037,0.001122294738864258,-0.039940811542716864,10.0,N1O10,H11_C14_13C_N_O10,0,15,11,10,1,0
2397,367.053956037,0.008902527185315128,0.027641712611029576,9.0,N1O10,H13_C15_N_O10,0,15,13,10,1,0
2405,367.147866037,0.001102073212037875,0.053662302840678126,2.0,N1O10,H25_C14_N_O10,0,14,25,10,1,0
2419,368.057286037,0.0014610053132061737,-0.03992313308937629,9.0,N1O10,H13_C14_13C_N_O10,0,15,13,10,1,0
2447,369.06960603699997,0.00912496398040534,0.027290245103850964,8.0,N1O10,H15_C15_N_O10,0,15,15,10,1,0
2469,370.072936037,0.0015671683290446846,-0.03990564721199038,8.0,N1O10,H15_C14_13C_N_O10,0,15,15,10,1,0
2494,371.085256037,0.006056347284501717,0.026942595625266103,7.0,N1O10,H17_C15_N_O10,0,15,17,10,1,0
2518,372.08858603699997,9.301902340136193E-4,-0.039888350780935666,7.0,N1O10,H17_C14_13C_N_O10,0,15,17,10,1,0
2535,373.007006037,0.0018806019948536213,0.027795724577281643,13.0,N1O10,H7_C16_N_O10,0,16,7,10,1,0
2547,373.100916037,0.0031444474215025606,0.05340110184102314,6.0,N1O10,H19_C15_N_O10,0,15,19,10,1,0
2586,375.022646037,0.005474978388243204,7.839527034621675E-4,12.0,N1O10,H9_C16_N_O10,0,16,9,10,1,0
2600,375.116576037,0.0022547002411417074,0.07957526257035948,5.0,N1O10,H21_C15_N_O10,0,15,21,10,1,0
2640,377.038296037,0.010333200208281726,5.834951152294556E-4,11.0,N1O10,H11_C16_N_O10,0,16,11,10,1,0
2662,378.04166603699997,0.0013902299693138332,0.04068334620516101,11.0,N1O10,H11_C15_13C_N_O10,0,16,11,10,1,0
2691,379.053946037,0.012304799073854072,3.85169425856764E-4,10.0,N1O10,H13_C16_N_O10,0,16,13,10,1,0
2712,380.057306037,0.0018199374143744722,0.013961052470497505,10.0,N1O10,H13_C15_13C_N_O10,0,16,13,10,1,0
2740,381.06960603699997,0.01235535289092003,0.026430866827393998,9.0,N1O10,H15_C16_N_O10,0,16,15,10,1,0
2750,381.163516037,8.998579437740447E-4,0.05149496001683463,2.0,N1O10,H27_C15_N_O10,0,15,27,10,1,0
2763,382.072966037,0.0018957681399734087,0.0398667306083913,9.0,N1O10,H15_C15_13C_N_O10,0,16,15,10,1,0
2790,383.085246037,0.010358477116814705,-5.2208632760144415E-6,8.0,N1O10,H17_C16_N_O10,0,16,17,10,1,0
2813,384.08858603699997,0.0015418914205117058,-0.03864212731381833,8.0,N1O10,H17_C15_13C_N_O10,0,16,17,10,1,0
2826,385.006986037,0.001455949931499578,-0.025017727860714024,14.0,N1O10,H7_C17_N_O10,0,17,7,10,1,0
2838,385.100906037,0.006693325379532781,0.02576986936136927,7.0,N1O10,H19_C16_N_O10,0,16,19,10,1,0
2865,386.104266037,9.857994327861727E-4,0.039067167369355615,7.0,N1O10,H19_C15_13C_N_O10,0,16,19,10,1,0
2880,387.022646037,0.005950184268663205,7.596455148832166E-4,13.0,N1O10,H9_C17_N_O10,0,17,9,10,1,0
2893,387.116566037,0.0036954840275214983,0.051276544954538095,6.0,N1O10,H21_C16_N_O10,0,16,21,10,1,0
2932,389.038296037,0.01015120646684428,5.654970377803205E-4,12.0,N1O10,H11_C17_N_O10,0,17,11,10,1,0
2959,390.041686037,0.001329565388834684,0.09070825312336282,12.0,N1O10,H11_C16_13C_N_O10,0,17,11,10,1,0
2992,391.053946037,0.014311785611372588,3.7335000002786865E-4,11.0,N1O10,H13_C17_N_O10,0,17,13,10,1,0
3017,392.057326037,0.002421527837459367,0.064546683143318,11.0,N1O10,H13_C16_13C_N_O10,0,17,13,10,1,0
3048,393.069596037,0.01807298960107983,1.831737562633532E-4,10.0,N1O10,H15_C17_N_O10,0,17,15,10,1,0
3072,394.072936037,0.003200056620275114,-0.037475296265489844,10.0,N1O10,H15_C16_13C_N_O10,0,17,15,10,1,0
3100,395.085246037,0.016910251808562808,-5.062288993778891E-6,9.0,N1O10,H17_C17_N_O10,0,17,17,10,1,0
3109,395.179166037,0.001268900808355535,0.04948135362982626,2.0,N1O10,H29_C16_N_O10,0,16,29,10,1,0
3129,396.088596037,0.003159613566622348,-0.012224537788454944,9.0,N1O10,H17_C16_13C_N_O10,0,17,17,10,1,0
3147,397.006976037,0.001268900808355535,-0.049450012621617426,15.0,N1O10,H7_C18_N_O10,0,18,7,10,1,0
3162,397.100896037,0.012643509648195987,-1.9138710800172096E-4,8.0,N1O10,H19_C17_N_O10,0,17,19,10,1,0
3188,398.104236037,0.0021586479887163884,-0.037467574186838624,8.0,N1O10,H19_C16_13C_N_O10,0,17,19,10,1,0
3204,399.022646037,0.0046307296432417135,7.368003298564164E-4,14.0,N1O10,H9_C18_N_O10,0,18,9,10,1,0
3217,399.116556037,0.007279749657497889,0.02467950747043697,7.0,N1O10,H21_C17_N_O10,0,17,21,10,1,0
3224,399.210476037,7.431411108695762E-4,0.07366039163608319,0.0,N1O10,H33_C16_N_O10,0,16,33,10,1,0
3231,400.026026037,8.391933632948956E-4,0.0636308599126719,14.0,N1O10,H9_C17_13C_N_O10,0,18,9,10,1,0
3247,400.119916037,0.0012284577547027689,0.037513753815535844,7.0,N1O10,H21_C16_13C_N_O10,0,17,21,10,1,0
3263,401.038296037,0.010348366353401514,5.485760491355409E-4,13.0,N1O10,H11_C18_N_O10,0,18,11,10,1,0
