mass,I
288.095855,1
288.998984,1
289.035373,1
289.03539,1
289.053551,1
289.056512,1
289.056515,1
289.071754,1
289.087018,1
289.092902,1
289.108149,1
289.108154,1
289.12927,1
289.14453,1
289.144535,1
289.180917,1
290.006813,1
290.006818,1
290.02499,1
290.038722,1
290.038727,1
290.043196,1
290.061385,1
290.066992,1
290.067007,1
290.075117,1
290.075123,1
290.090381,1
290.111503,1
290.111508,1
290.147893,1
290.978248,1
291.014646,1
291.029894,1
291.035764,1
291.051011,1
291.051026,1
291.066275,1
291.087405,1
291.08741,1
291.10266,1
291.123804,1
291.160175,1
292.022467,1
292.037716,1
292.046285,1
292.046292,1
292.054378,1
292.054385,1
292.058842,1
292.06153,1
292.069643,1
292.07411,1
292.090763,1
292.095224,1
292.127151,1
292.127158,1
292.993903,1
293.009166,1
293.030278,1
293.030284,1
293.045547,1
293.066661,1
293.066671,1
293.081929,1
293.10306,1
293.118318,1
293.139458,1
293.175835,1
293.179214,1
294.016981,1
294.027554,1
294.027558,1
294.033637,1
294.03811,1
294.040785,1
294.0489,1
294.053365,1
294.061915,1
294.06193,1
294.061935,1
294.070024,1
294.074505,1
294.077182,1
294.085277,1
294.098304,1
294.09831,1
294.106421,1
294.106428,1
294.1428,1
295.009553,1
295.017192,1
295.024808,1
295.045932,1
295.053563,1
295.061201,1
295.061208,1
295.082342,1
295.097579,1
295.118708,1
295.118718,1
295.133964,1
295.1551,1
295.155104,1
296.012913,1
296.025014,1
296.028172,1
296.032632,1
296.043203,1
296.0493,1
296.049305,1
296.061391,1
296.069018,1
296.077564,1
296.077579,1
296.085681,1
296.113963,1
296.122062,1
297.004078,1
297.01464,1
297.025198,1
297.025202,1
297.040458,1
297.051019,1
297.051025,1
297.061597,1
297.061602,1
297.069237,1
297.076843,1
297.097977,1
297.097983,1
297.113227,1
297.134357,1
297.13436,1
297.149615,1
297.152988,1
297.170748,1
298.01189,1
298.022465,1
298.028572,1
298.04065,1
298.048286,1
298.056826,1
298.056835,1
298.064932,1
298.064947,1
298.072089,1
298.080201,1
298.084672,1
298.093221,1
298.101327,1
298.101337,1
298.116585,1
299.004475,1
299.004478,1
299.019725,1
299.030282,1
299.040841,1
299.040855,1
299.04849,1
299.05611,1
299.056114,1
299.066678,1
299.071367,1
299.077236,1
299.092492,1
299.102216,1
299.113622,1
299.128878,1
299.128882,1
299.150002,1
299.150009,1
299.165263,1
300.027549,1
300.044199,1
300.044206,1
300.045758,1
300.051355,1
300.059461,1
300.059466,1
300.063933,1
300.072491,1
300.080592,1
300.08061,1
300.087742,1
300.09587,1
300.116973,1
300.998986,1
300.99899,1
301.02014,1
301.027733,1
301.035378,1
301.035388,1
301.050629,1
301.056508,1
301.056512,1
301.064125,1
301.071759,1
301.071768,1
301.087008,1
301.092894,1
301.092902,1
301.108145,1
301.108148,1
301.108152,1
301.129274,1
301.129294,1
301.144531,1
301.144536,1
301.165655,1
302.006817,1
302.030627,1
302.030632,1
302.038722,1
302.03873,1
302.043197,1
302.059873,1
302.067027,1
302.075119,1
302.079593,1
302.096248,1
302.096253,1
302.09626,1
302.103391,1
302.111494,1
302.132633,1
302.147888,1
303.014643,1
303.014652,1
303.029901,1
303.032833,1
303.035773,1
303.035782,1
303.051028,1
303.051033,1
303.072147,1
303.072154,1
303.087417,1
303.102674,1
303.108527,1
303.108533,1
303.108539,1
303.123797,1
303.123812,1
303.160183,1
303.160188,1
304.022458,1
304.037719,1
304.040656,1
304.040662,1
304.046272,1
304.054377,1
304.054383,1
304.074115,1
304.082649,1
304.090761,1
304.127157,1
304.12716,1
304.163542,1
304.993903,1
304.993908,1
305.009174,1
305.030298,1
305.045541,1
305.048484,1
305.051401,1
305.05141,1
305.066656,1
305.066669,1
305.07792,1
305.081925,1
305.087806,1
305.103065,1
305.103068,1
305.118324,1
305.139451,1
305.139456,1
305.175827,1
306.016988,1
306.01991,1
306.033628,1
306.033632,1
306.033638,1
306.038108,1
306.040779,1
306.0489,1
306.061916,1
306.061922,1
306.070018,1
306.070022,1
306.070027,1
306.074477,1
306.077168,1
306.085294,1
306.089756,1
306.098316,1
306.106408,1
306.142799,1
307.009572,1
307.024802,1
307.02481,1
307.045933,1
307.04595,1
307.061194,1
307.082325,1
307.082337,1
307.097589,1
307.118703,1
307.118706,1
307.133958,1
307.155108,1
307.155114,1
307.19148,1
308.012906,1
308.025007,1
308.028161,1
308.032634,1
308.035555,1
308.041194,1
308.049294,1
308.0493,1
308.064554,1
308.071978,1
308.077586,1
308.085675,1
308.085685,1
308.100923,1
308.113959,1
308.122066,1
308.12207,1
308.158455,1
308.988818,1
308.988823,1
309.004072,1
309.01464,1
309.025207,1
309.025217,1
309.032833,1
309.032841,1
309.040447,1
309.040454,1
309.061582,1
309.076833,1
309.076839,1
309.097981,1
309.097985,1
309.113224,1
309.134362,1
309.13437,1
309.149638,1
309.170746,1
309.17075,1
309.174132,1
310.011901,1
310.022484,1
310.028568,1
310.033028,1
310.040662,1
310.04382,1
310.048285,1
310.056838,1
310.056842,1
310.064934,1
310.072087,1
310.084679,1
310.093219,1
310.093226,1
310.101323,1
310.10579,1
310.116585,1
310.129621,1
310.1377,1
310.137716,1
310.137727,1
310.174099,1
311.004467,1
311.00447,1
311.012082,1
311.019715,1
311.030275,1
311.040846,1
311.040876,1
311.056102,1
311.066683,1
311.077243,1
311.077257,1
311.092495,1
311.1022,1
311.113637,1
311.128884,1
311.128893,1
311.150003,1
311.15001,1
311.168635,1
311.186398,1
312.01994,1
312.023072,1
312.027551,1
312.038119,1
312.044195,1
312.051362,1
312.05629,1
312.059459,1
312.063936,1
312.072494,1
312.074505,1
312.0806,1
312.080606,1
312.08061,1
312.09585,1
312.100318,1
312.108876,1
312.116971,1
312.116974,1
312.132247,1
312.153368,1
312.153375,1
312.171998,1
312.539785,1
312.998988,1
313.002355,1
313.020117,1
313.020122,1
313.035376,1
313.03538,1
313.050634,1
313.056494,1
313.056518,1
313.064121,1
313.064127,1
313.071757,1
313.081485,1
313.092891,1
313.092895,1
313.092898,1
313.10814,1
313.108148,1
313.117857,1
313.117864,1
313.12033,1
313.129281,1
313.129285,1
313.14453,1
313.144535,1
313.164443,1
313.16566,1
313.547608,1
314.02501,1
314.038734,1
314.043192,1
314.053778,1
314.059858,1
314.059862,1
314.067009,1
314.075112,1
314.07959,1
314.088139,1
314.090138,1
314.096256,1
314.103396,1
314.111498,1
314.132635,1
315.014632,1
315.014637,1
315.018013,1
315.025215,1
315.029899,1
315.032823,1
315.035771,1
315.035774,1
315.0434,1
315.051014,1
315.066279,1
315.072156,1
315.07218,1
315.087406,1
315.090765,1
315.102661,1
315.108538,1
315.108556,1
315.123798,1
315.133509,1
315.144924,1
315.160178,1
315.181323,1
315.196561,1
316.017998,1
316.022458,1
316.037721,1
316.039127,1
316.040651,1
316.040658,1
316.05123,1
316.054384,1
316.058836,1
316.058843,1
316.069623,1
316.0755,1
316.082658,1
316.087595,1
316.090762,1
316.09523,1
316.111893,1
316.111899,1
316.127167,1
316.148293,1
316.163539,1
316.993914,1
317.030271,1
317.030292,1
317.030297,1
317.045547,1
317.048462,1
317.051417,1
317.05142,1
317.066675,1
317.08193,1
317.087809,1
317.095428,1
317.103059,1
317.103068,1
317.114282,1
317.124188,1
317.124192,1
317.139441,1
317.175826,1
318.02551,1
318.03365,1
318.038112,1
318.040797,1
318.048892,1
318.053354,1
318.053363,1
318.05631,1
318.061924,1
318.070032,1
318.070036,1
318.074497,1
318.077185,1
318.08976,1
318.09115,1
318.091158,1
318.098303,1
318.106411,1
318.142805,1
319.009551,1
319.00956,1
319.024807,1
319.045937,1
319.045945,1
319.056508,1
319.06119,1
319.064118,1
319.06706,1
319.067092,1
319.082315,1
319.093569,1
319.097581,1
319.103438,1
319.118719,1
319.118723,1
319.133953,1
319.155098,1
319.191475,1
319.529415,1
319.547618,1
320.012914,1
320.017382,1
320.017388,1
320.025001,1
320.028177,1
320.032629,1
320.035559,1
320.035565,1
320.041194,1
320.043187,1
320.049286,1
320.053755,1
320.069022,1
320.071955,1
320.077571,1
320.085674,1
320.085679,1
320.092849,1
320.105409,1
320.122053,1
320.122061,1
320.158446,1
320.53723,1
320.55543,1
320.988822,1
320.988826,1
321.004076,1
321.025194,1
321.0252,1
321.032848,1
321.040456,1
321.061595,1
321.076842,1
321.09798,1
321.098,1
321.113227,1
321.134357,1
321.149625,1
321.170741,1
322.01189,1
322.022461,1
322.028555,1
322.033032,1
322.033038,1
322.035715,1
322.040644,1
322.04828,1
322.056853,1
322.058846,1
322.064939,1
322.064945,1
322.06495,1
322.072088,1
322.080195,1
322.084665,1
322.08761,1
322.093218,1
322.101337,1
322.101342,1
322.116592,1
322.13771,1
322.174099,1
323.004462,1
323.004473,1
323.019708,1
323.019718,1
323.030282,1
323.040857,1
323.040866,1
323.048482,1
323.056107,1
323.056112,1
323.056118,1
323.077243,1
323.077245,1
323.092494,1
323.11362,1
323.113625,1
323.113633,1
323.128878,1
323.150007,1
323.186383,1
323.186391,1
324.023067,1
324.027554,1
324.030475,1
324.036113,1
324.036119,1
324.038101,1
324.044212,1
324.04422,1
324.048687,1
324.056312,1
324.059457,1
324.063931,1
324.066863,1
324.072486,1
324.074498,1
324.080593,1
324.080596,1
324.085062,1
324.087733,1
324.095849,1
324.100324,1
324.108859,1
324.116976,1
324.132237,1
324.153363,1
324.998989,1
325.020127,1
325.020132,1
325.027745,1
325.02775,1
325.035367,1
325.045928,1
325.05063,1
325.056515,1
325.07175,1
325.092904,1
325.10814,1
325.117859,1
325.120338,1
325.129283,1
325.129288,1
325.129293,1
325.144521,1
325.16567,1
325.184281,1
326.006802,1
326.017373,1
326.02348,1
326.030611,1
326.030616,1
326.035574,1
326.03558,1
326.043197,1
326.053764,1
326.059851,1
326.059856,1
326.064307,1
326.079586,1
326.088142,1
326.096244,1
326.111507,1
326.124529,1
326.132635,1
326.13264,1
326.169028,1
326.187645,1
326.999387,1
327.014643,1
327.014648,1
327.018031,1
327.035761,1
327.035768,1
327.051028,1
327.061582,1
327.066289,1
327.072152,1
327.079772,1
327.087404,1
327.087409,1
327.09712,1
327.102676,1
327.108529,1
327.108536,1
327.123795,1
327.123799,1
327.123803,1
327.14493,1
327.144937,1
327.160182,1
327.180078,1
327.181314,1
327.18132,1
327.196571,1
328.022462,1
328.03301,1
328.039128,1
328.039131,1
328.040651,1
328.046272,1
328.054382,1
328.067415,1
328.07551,1
328.075522,1
328.082661,1
328.09524,1
328.111901,1
328.111905,1
328.111913,1
328.127145,1
328.148269,1
328.552892,1
328.993892,1
328.9939,1
329.012068,1
329.015028,1
329.015034,1
329.030293,1
329.040848,1
329.045556,1
329.051408,1
329.059035,1
329.06667,1
329.066675,1
329.06668,1
329.081939,1
329.087803,1
329.087808,1
329.09543,1
329.103052,1
329.103057,1
329.10643,1
329.114306,1
329.12419,1
329.124195,1
329.124198,1
329.139443,1
329.160578,1
329.175828,1
329.175833,1
330.025536,1
330.02554,1
330.033649,1
330.038115,1
330.053362,1
330.054784,1
330.061912,1
330.061921,1
330.070027,1
330.074494,1
330.091157,1
330.091164,1
330.09831,1
330.106409,1
330.106418,1
330.127556,1
330.142795,1
330.179178,1
331.009563,1
331.024808,1
331.030682,1
331.04593,1
331.045946,1
331.061193,1
331.064106,1
331.067077,1
331.067082,1
331.082334,1
331.082338,1
331.082342,1
331.097582,1
331.10347,1
331.118705,1
331.118715,1
331.139847,1
331.139852,1
331.155098,1
331.191489,1
331.191493,1
331.529423,1
332.012927,1
332.017361,1
332.017365,1
332.032626,1
332.035573,1
332.041181,1
332.041187,1
332.046125,1
332.049285,1
332.049292,1
332.053771,1
332.069018,1
332.070422,1
332.070438,1
332.077581,1
332.077586,1
332.085678,1
332.090143,1
332.100914,1
332.106788,1
332.106795,1
332.1068,1
332.113956,1
332.122062,1
332.122068,1
332.122075,1
332.158442,1
332.158446,1
332.988808,1
333.02521,1
333.035762,1
333.040458,1
333.046344,1
333.061579,1
333.061587,1
333.076847,1
333.082719,1
333.082726,1
333.097969,1
333.113233,1
333.119098,1
333.13436,1
333.134365,1
333.13437,1
333.17074,1
334.020455,1
334.028582,1
334.033028,1
334.035704,1
334.04067,1
334.048285,1
334.056839,1
334.064942,1
334.069408,1
334.072098,1
334.084667,1
334.087588,1
334.093221,1
334.093227,1
334.09323,1
334.10133,1
334.10579,1
334.108473,1
334.137706,1
334.174083,1
334.174093,1
335.004463,1
335.019722,1
335.030295,1
335.040844,1
335.04085,1
335.048487,1
335.04849,1
335.05611,1
335.056115,1
335.077255,1
335.092497,1
335.113618,1
335.12888,1
335.150027,1
335.186381,1
335.186387,1
335.560722,1
336.019928,1
336.02309,1
336.027549,1
336.036109,1
336.038104,1
336.03811,1
336.044209,1
336.048673,1
336.051352,1
336.056314,1
336.059458,1
336.066872,1
336.072493,1
336.080586,1
336.080592,1
336.085047,1
336.100318,1
336.10887,1
336.108878,1
336.116975,1
336.121452,1
336.145272,1
336.153359,1
336.983731,1
336.983737,1
336.998991,1
337.020114,1
337.027742,1
337.035359,1
337.035365,1
337.045937,1
337.056496,1
337.056507,1
337.05651,1
337.064128,1
337.064135,1
337.071755,1
337.092883,1
337.104146,1
337.108137,1
337.117867,1
337.120353,1
337.120359,1
337.129278,1
337.129287,1
337.144532,1
337.165649,1
337.180914,1
337.558167,1
338.006804,1
338.017386,1
338.023462,1
338.027932,1
338.027938,1
338.035577,1
338.043194,1
338.051743,1
338.053762,1
338.059863,1
338.064325,1
338.067001,1
338.075114,1
338.079582,1
338.088137,1
338.088141,1
338.08815,1
338.096242,1
338.100723,1
338.103389,1
338.111499,1
338.115971,1
338.124523,1
338.132621,1
338.132628,1
338.169022,1
338.99938,1
339.01463,1
339.025192,1
339.0252,1
339.035768,1
339.0434,1
339.043407,1
339.051023,1
339.072154,1
339.07216,1
339.072164,1
339.079798,1
339.087417,1
339.108552,1
339.123789,1
339.1335,1
339.133505,1
339.144933,1
339.160168,1
339.181321,1
339.19993,1
339.199936,1
340.017998,1
340.022469,1
340.03101,1
340.033023,1
340.039125,1
340.046264,1
340.051222,1
340.05123,1
340.054371,1
340.058851,1
340.067396,1
340.067403,1
340.069397,1
340.069407,1
340.07551,1
340.075526,1
340.082657,1
340.095238,1
340.098158,1
340.103798,1
340.111893,1
340.119041,1
340.148282,1
340.148289,1
340.184683,1
340.203292,1
340.534693,1
340.552898,1
340.9939,1
340.993907,1
340.99728,1
341.015025,1
341.01503,1
341.030292,1
341.030308,1
341.040848,1
341.040852,1
341.048468,1
341.05142,1
341.059041,1
341.062199,1
341.066668,1
341.066672,1
341.070046,1
341.081937,1
341.08781,1
341.103068,1
341.124216,1
341.139452,1
341.151643,1
341.160564,1
341.160582,1
341.175827,1
341.196963,1
341.196968,1
341.556662,1
341.560722,1
342.019929,1
342.033642,1
342.03811,1
342.054759,1
342.054768,1
342.056301,1
342.061921,1
342.066865,1
342.070018,1
342.0745,1
342.083067,1
342.091157,1
342.091166,1
342.098302,1
342.103257,1
342.106412,1
342.110883,1
342.12754,1
342.127546,1
342.12755,1
342.142803,1
342.163925,1
342.200301,1
343.009545,1
343.009562,1
343.012924,1
343.024808,1
343.030684,1
343.038315,1
343.045942,1
343.04595,1
343.049332,1
343.061197,1
343.067069,1
343.067078,1
343.08232,1
343.085699,1
343.085704,1
343.103459,1
343.103462,1
343.111098,1
343.118716,1
343.128423,1
343.139831,1
343.139847,1
343.155086,1
343.155104,1
343.176211,1
343.17622,1
343.191478,1
343.558182,1
343.57639,1
344.012886,1
344.01738,1
344.017385,1
344.02794,1
344.032615,1
344.034032,1
344.035566,1
344.035573,1
344.04119,1
344.049302,1
344.053765,1
344.070423,1
344.070428,1
344.071962,1
344.077574,1
344.085679,1
344.09015,1
344.10682,1
344.113959,1
344.122064,1
344.143188,1
344.143192,1
344.158451,1
344.547813,1
344.988826,1
344.988831,1
345.025202,1
345.04046,1
345.043378,1
345.046324,1
345.046333,1
345.061589,1
345.079786,1
345.082723,1
345.097972,1
345.09798,1
345.113241,1
345.119114,1
345.119123,1
345.134364,1
345.149616,1
345.155475,1
345.155482,1
345.170745,1
345.17075,1
345.207141,1
345.56325,1
346.01484,1
346.02045,1
346.028562,1
346.02857,1
346.033021,1
346.048283,1
346.049705,1
346.051233,1
346.056847,1
346.064941,1
346.069405,1
346.080186,1
346.084673,1
346.093214,1
346.093221,1
346.101323,1
346.101328,1
346.122479,1
346.122486,1
346.129599,1
346.137714,1
346.137718,1
346.174092,1
346.571087,1
346.571097,1
347.004468,1
347.004474,1
347.019723,1
347.040862,1
347.040868,1
347.05611,1
347.059033,1
347.062,1
347.06201,1
347.077234,1
347.07724,1
347.088497,1
347.092493,1
347.098372,1
347.098385,1
347.113625,1
347.124858,1
347.128883,1
347.134746,1
347.134753,1
347.149994,1
347.150002,1
347.186385,1
347.186397,1
347.222765,1
347.56071,1
348.012287,1
348.030468,1
348.030472,1
348.03611,1
348.036117,1
348.038123,1
348.044207,1
348.04868,1
348.063931,1
348.066875,1
348.072484,1
348.072491,1
348.080586,1
348.080593,1
348.085083,1
348.087737,1
348.100325,1
348.116977,1
348.116983,1
348.121445,1
348.145255,1
348.153362,1
348.532162,1
349.020124,1
349.02776,1
349.035377,1
349.045943,1
349.056503,1
349.064131,1
349.07176,1
349.092888,1
349.0929,1
349.104144,1
349.10415,1
349.10814,1
349.12928,1
349.144526,1
349.165668,1
349.165673,1
349.202036,1
349.202042,1
349.53999,1
350.02347,1
350.023478,1
350.02794,1
350.030628,1
350.035578,1
350.038729,1
350.0432,1
350.04613,1
350.051755,1
350.05176,1
350.059852,1
350.059858,1
350.06433,1
350.064337,1
350.066995,1
350.07197,1
350.079587,1
350.088142,1
350.096237,1
350.096246,1
350.10071,1
350.103389,1
350.111513,1
350.124521,1
350.132636,1
350.13264,1
350.169014,1
350.99939,1
350.999396,1
350.999399,1
351.014638,1
351.025195,1
351.035773,1
351.035785,1
351.051013,1
351.051021,1
351.061593,1
351.072168,1
351.087399,1
351.087404,1
351.108546,1
351.119777,1
351.12379,1
351.133516,1
351.135966,1
351.144937,1
351.160181,1
351.181301,1
351.196545,1
351.52689,1
351.545082,1
352.014828,1
352.022457,1
352.031036,1
352.039121,1
352.039125,1
352.046277,1
352.051212,1
352.054379,1
352.058854,1
352.067402,1
352.067406,1
352.075519,1
352.075522,1
352.079956,1
352.082656,1
352.087614,1
352.09077,1
352.103784,1
352.103791,1
352.111893,1
352.119056,1
352.12715,1
352.140169,1
352.140176,1
