peakNo,mw,relativeAbundance,errorPPM,DBE,class,formula,z,C,H,O,N,S
2274,427.017556037,0.0014195702662772652,-0.010177567426325154,15.0,N1O11,H9_C19_N_O11,0,19,9,11,1,0
2368,437.001936037,0.0010578151362660008,0.05887388110646593,17.0,N1O11,H7_C20_N_O11,0,20,7,11,1,0
2388,439.017556037,0.0014136880690413095,-0.0098993761233126,16.0,N1O11,H9_C20_N_O11,0,20,9,11,1,0
2490,451.017596037,0.0017676002694046332,0.07905234819481513,17.0,N1O11,H9_C21_N_O11,0,21,9,11,1,0
2585,461.001876037,0.001496038830344687,-0.07434243063851736,19.0,N1O11,H7_C22_N_O11,0,22,7,11,1,0
2603,463.017566037,0.0028440423635844934,0.012211199914503642,18.0,N1O11,H9_C22_N_O11,0,22,9,11,1,0
2624,465.033196037,0.0012823189974383031,-0.0310085390387225,17.0,N1O11,H11_C22_N_O11,0,22,11,11,1,0
2699,473.001926037,9.293871632809719E-4,0.03325145021230129,20.0,N1O11,H7_C23_N_O11,0,23,7,11,1,0
2713,475.017566037,0.0019028908058316102,0.011902717850994796,19.0,N1O11,H9_C23_N_O11,0,23,9,11,1,0
2733,477.033196037,0.002057788666378439,-0.030228504291547782,18.0,N1O11,H11_C23_N_O11,0,23,11,11,1,0
2813,487.017566037,0.004317532771191351,0.011609437640643847,20.0,N1O11,H9_C24_N_O11,0,24,9,11,1,0
2830,489.033216037,0.003789115386161347,0.011410267870865616,19.0,N1O11,H11_C24_N_O11,0,24,11,11,1,0
2850,491.048906037,0.0013215336456780065,0.09267101400612018,18.0,N1O11,H13_C24_N_O11,0,24,13,11,1,0
2913,499.017566037,0.0019303410595994026,0.011330262595175816,21.0,N1O11,H9_C25_N_O11,0,25,9,11,1,0
2933,501.033206037,0.0024283670922436366,-0.008821770550858374,20.0,N1O11,H11_C25_N_O11,0,25,11,11,1,0
2951,503.048816037,0.0012283988561087107,-0.08844867244022717,19.0,N1O11,H13_C25_N_O11,0,25,13,11,1,0
3015,511.01757603699997,0.0042283194464460255,0.030632997320670836,22.0,N1O11,H9_C26_N_O11,0,26,9,11,1,0
3036,513.033206037,0.0045998782385172155,-0.008615426701445503,21.0,N1O11,H11_C26_N_O11,0,26,11,11,1,0
3055,515.048876037,0.0017293659873709225,0.030105880799612104,20.0,N1O11,H13_C26_N_O11,0,26,13,11,1,0
3121,523.017586037,0.0015872128875019974,0.04904997605059139,23.0,N1O11,H9_C27_N_O11,0,27,9,11,1,0
3138,525.033216037,0.0027450253767792423,0.01062789900199349,22.0,N1O11,H11_C27_N_O11,0,27,11,11,1,0
3158,527.048886037,0.0019901433981649504,0.04839399288836741,21.0,N1O11,H13_C27_N_O11,0,27,13,11,1,0
3177,529.064486037,0.0010068360935543863,-0.046436683251996784,20.0,N1O11,H15_C27_N_O11,0,27,15,11,1,0
3217,535.017546037,0.002160727118007661,-0.026814073762267705,24.0,N1O11,H9_C28_N_O11,0,28,9,11,1,0
3227,537.033186037,0.0044400785469404245,-0.04547205029435293,23.0,N1O11,H11_C28_N_O11,0,28,11,11,1,0
3243,539.048836037,0.0023264090068204077,-0.04543929660404865,22.0,N1O11,H13_C28_N_O11,0,28,13,11,1,0
3292,547.017516037,0.0014509419848690278,-0.08106870197276855,25.0,N1O11,H9_C29_N_O11,0,29,9,11,1,0
3304,549.033226037,0.0020871996525582167,0.028377153200625307,24.0,N1O11,H11_C29_N_O11,0,29,11,11,1,0
3317,551.048866037,0.002356800359206178,0.009991854502468004,23.0,N1O11,H13_C29_N_O11,0,29,13,11,1,0
3329,553.064496037,9.372300929289127E-4,-0.02634050836315774,22.0,N1O11,H15_C29_N_O11,0,29,15,11,1,0
3366,561.033196037,0.0030479585344309512,-0.0257025788467262,25.0,N1O11,H11_C30_N_O11,0,30,11,11,1,0
3379,563.048826037,0.003051879999254922,-0.061262892886731875,24.0,N1O11,H13_C30_N_O11,0,30,13,11,1,0
3393,565.064466037,9.568374170487644E-4,-0.07887241668856605,23.0,N1O11,H15_C30_N_O11,0,30,15,11,1,0
