peakNo,mw,relativeAbundance,errorPPM,DBE,class,formula,z,C,H,O,N,S
1198,470.338106037,0.005484936636014603,0.6079796562453286,12.0,N1O1,H43_C32_13C_N_O,0,33,43,1,1,0
1213,472.353396037,0.009104487217839873,-0.1569121776369115,11.0,N1O1,H45_C32_13C_N_O,0,33,45,1,1,0
559,363.022676037,0.0038706571529301924,0.08344933250184437,11.0,N1O10,H9_C15_N_O10,0,15,9,10,1,0
629,375.022626037,0.005530721451039917,-0.0525461628738737,12.0,N1O10,H9_C16_N_O10,0,16,9,10,1,0
720,389.038186037,0.004732885581640472,-0.2821830965252881,12.0,N1O10,H11_C17_N_O10,0,17,11,10,1,0
819,405.069736037,0.005691331657402774,0.345797248129095,11.0,N1O10,H15_C18_N_O10,0,18,15,10,1,0
855,411.022606037,0.006126635637504715,-0.09660295908858597,15.0,N1O10,H9_C19_N_O10,0,19,9,10,1,0
955,427.053966037,0.004270732053075999,0.047174365769422764,14.0,N1O10,H13_C20_N_O10,0,20,13,10,1,0
1009,435.022636037,0.006385010963696258,-0.022311482691558332,17.0,N1O10,H9_C21_N_O10,0,21,9,10,1,0
1097,451.053706037,0.004731763607890677,-0.5317637275080871,16.0,N1O10,H13_C22_N_O10,0,22,13,10,1,0
1154,461.038126037,0.004800659738480628,-0.36825587815068833,18.0,N1O10,H11_C23_N_O10,0,23,11,10,1,0
1295,489.069496037,0.005300684919904945,-0.20432270004620978,18.0,N1O10,H15_C25_N_O10,0,25,15,10,1,0
1330,496.025796037,0.005726627361548642,-0.4123696822643791,22.0,N1O10,H9_C25_13C_N_O10,0,26,9,10,1,0
1385,508.025786037,0.006507871008368785,-0.4223132089651128,23.0,N1O10,H9_C26_13C_N_O10,0,27,9,10,1,0
1429,520.026006037,0.0057331330177226025,0.01048793716345463,24.0,N1O10,H9_C27_13C_N_O10,0,28,9,10,1,0
1464,532.025826037,0.006602710822387751,-0.32807805821342556,25.0,N1O10,H9_C28_13C_N_O10,0,29,9,10,1,0
954,427.017376037,0.005455087319412649,-0.43170608578024017,15.0,N1O11,H9_C19_N_O11,0,19,9,11,1,0
1165,463.017506037,0.005856246682209829,-0.11737353177289436,18.0,N1O11,H9_C22_N_O11,0,22,9,11,1,0
1360,503.048946037,0.0047905401399139895,0.16997550782156348,19.0,N1O11,H13_C25_N_O11,0,25,13,11,1,0
606,371.040486037,0.005509017641466788,6.845615287033867E-4,21.0,N1O1S1,H9_C25_N_O_S,0,25,9,1,1,1
692,385.055976037,0.0043403358557316885,-0.4150565369993935,21.0,N1O1S1,H11_C26_N_O_S,0,26,11,1,1,1
705,387.071556037,0.004217242346461525,-0.5939315260610073,20.0,N1O1S1,H13_C26_N_O_S,0,26,13,1,1,1
777,399.071886037,0.004730787199597442,0.2508470367124181,21.0,N1O1S1,H13_C27_N_O_S,0,27,13,1,1,1
911,419.040296037,0.004797996450492717,-0.4528108674206289,25.0,N1O1S1,H9_C29_N_O_S,0,29,9,1,1,1
925,421.055976037,0.004411619819676368,-0.37956948496271803,24.0,N1O1S1,H11_C29_N_O_S,0,29,11,1,1,1
8,219.126016037,0.004150285595646668,0.39757031847485386,5.0,N1O2,H17_C13_N_O2,0,13,17,2,1,0
1227,474.332956037,0.01351969522602045,0.4665836459508716,11.0,N1O2,H43_C31_13C_N_O2,0,32,43,2,1,0
1281,486.332816037,0.011949304287956085,0.16720237120214596,12.0,N1O2,H43_C32_13C_N_O2,0,33,43,2,1,0
1293,488.348356037,0.011675010819222542,-0.058888290765004035,11.0,N1O2,H45_C32_13C_N_O2,0,33,45,2,1,0
1306,490.364246037,0.005605762123498131,0.4306349856961207,10.0,N1O2,H47_C32_13C_N_O2,0,33,47,2,1,0
449,344.070026037,0.004500938223954577,-0.08537215603739554,15.0,N1O2S1,H13_C20_13C_N_O2_S,0,21,13,2,1,1
857,411.035166037,0.004688245694917719,-0.5702334478853822,23.0,N1O2S1,H9_C27_N_O2_S,0,27,9,2,1,1
24,235.120916037,0.0035621944327377,0.30825841109501684,5.0,N1O3,H17_C13_N_O3,0,13,17,3,1,0
1304,490.327796037,0.006954073362229961,0.2991386602416432,11.0,N1O3,H43_C31_13C_N_O3,0,32,43,3,1,0
1348,500.312056037,0.006317287194898757,0.1134292075733532,13.0,N1O3,H41_C32_13C_N_O3,0,33,41,3,1,0
1358,502.327596037,0.011774868162555711,-0.10615383355718674,12.0,N1O3,H43_C32_13C_N_O3,0,33,43,3,1,0
1371,504.343416037,0.007791277969223258,0.23119564237496887,11.0,N1O3,H45_C32_13C_N_O3,0,33,45,3,1,0
1025,439.030306037,0.004693087425949767,-0.02055894516259928,24.0,N1O3S1,H9_C28_N_O3_S,0,28,9,3,1,1
55,251.115826037,0.0036238682772137022,0.270146255125966,5.0,N1O4,H17_C13_N_O4,0,13,17,4,1,0
301,315.240886037,0.005680977474504217,-0.23078859136716967,1.0,N1O4,H33_C17_N_O4,0,17,33,4,1,0
368,329.256606037,0.0037105457881896247,-0.008589045566749979,1.0,N1O4,H35_C18_N_O4,0,18,35,4,1,0
443,343.272256037,0.006892410155229631,-0.008453931113269633,1.0,N1O4,H37_C19_N_O4,0,19,37,4,1,0
144,281.032416037,0.004385571441092057,-0.02288703934746466,12.0,N1O5,H7_C15_N_O5,0,15,7,5,1,0
163,285.063746037,0.0035409670701012363,0.08215706246929269,10.0,N1O5,H11_C15_N_O5,0,15,11,5,1,0
262,309.063686037,0.004052556867182122,-0.11835748301704321,12.0,N1O5,H11_C17_N_O5,0,17,11,5,1,0
889,416.051696037,0.004989719033726758,0.6457226411599087,22.0,N1O5,H9_C25_13C_N_O5,0,26,9,5,1,0
1209,472.301796037,0.0046864675568791215,-0.06887545266933287,8.0,N1O5,H41_C27_13C_N_O5,0,28,41,5,1,0
1597,655.329446037,0.010105754731852207,-0.5002644119811,21.0,N1O5,H45_C43_N_O5,0,43,45,5,1,0
98,267.074396037,0.0034517332057612603,0.40702516454156235,6.0,N1O6,H13_C12_N_O6,0,12,13,6,1,0
273,311.043006037,0.003799212507116156,0.0606154120019758,12.0,N1O6,H9_C16_N_O6,0,16,9,6,1,0
286,313.058696037,0.004096257856710062,0.18776031703214663,11.0,N1O6,H11_C16_N_O6,0,16,11,6,1,0
333,323.043076037,0.004743277275637449,0.27505310141637607,13.0,N1O6,H9_C17_N_O6,0,17,9,6,1,0
407,337.058706037,0.00602803575576937,0.20405940793227806,13.0,N1O6,H11_C18_N_O6,0,18,11,6,1,0
984,432.046466037,0.005457912409004199,0.2870385706148672,22.0,N1O6,H9_C25_13C_N_O6,0,26,9,6,1,0
1230,475.293196037,0.04789759965053541,-0.4046554876191231,7.0,N1O6,H41_C27_N_O6,0,27,41,6,1,0
1242,476.296506037,0.008818187398275815,-0.49794612596384236,7.0,N1O6,H41_C26_13C_N_O6,0,27,41,6,1,0
299,315.03799603699997,0.005246750678780822,0.2990559906608295,11.0,N1O7,H9_C15_N_O7,0,15,9,7,1,0
354,327.03799603699997,0.006693291167200909,0.2880827339401519,12.0,N1O7,H9_C16_N_O7,0,16,9,7,1,0
416,339.037926037,0.0051691430154828825,0.07141973846373673,13.0,N1O7,H9_C17_N_O7,0,17,9,7,1,0
430,341.053516037,0.006558882183151751,-0.10514478912902461,12.0,N1O7,H11_C17_N_O7,0,17,11,7,1,0
442,343.069286037,0.004149704453554708,0.24504088072277078,11.0,N1O7,H13_C17_N_O7,0,17,13,7,1,0
488,351.037776037,0.0064231451942450505,-0.358326107735592,14.0,N1O7,H9_C18_N_O7,0,18,9,7,1,0
497,353.053526037,0.006104037720108022,-0.07324668398287071,13.0,N1O7,H11_C18_N_O7,0,18,11,7,1,0
550,361.02232603699997,0.003990525267603267,0.20577120746563055,16.0,N1O7,H7_C19_N_O7,0,19,7,7,1,0
561,363.038066037,0.004267412040932144,0.4523327315063204,15.0,N1O7,H9_C19_N_O7,0,19,9,7,1,0
569,365.053556037,0.00506291326435522,0.011340801695557673,14.0,N1O7,H11_C19_N_O7,0,19,11,7,1,0
631,375.037786037,0.00780791498117381,-0.3087315579697913,16.0,N1O7,H9_C20_N_O7,0,20,9,7,1,0
722,389.053616037,0.004695654416789493,0.16486159583777962,16.0,N1O7,H11_C21_N_O7,0,21,11,7,1,0
793,401.053646037,0.009166070363839094,0.23473168982380382,17.0,N1O7,H11_C22_N_O7,0,22,11,7,1,0
1078,448.041376037,0.005657204955846512,0.26643521435528256,22.0,N1O7,H9_C25_13C_N_O7,0,26,9,7,1,0
1308,491.288116037,0.005051164452409388,-0.3805709803587802,7.0,N1O7,H41_C27_N_O7,0,27,41,7,1,0
321,319.032816037,0.004759787197747081,-0.0013352859672699623,10.0,N1O8,H9_C14_N_O8,0,14,9,8,1,0
379,331.032816037,0.0052853557575948725,-0.0012868816072458835,11.0,N1O8,H9_C15_N_O8,0,15,9,8,1,0
429,341.017176037,0.004000746761989497,0.028291830090764802,13.0,N1O8,H7_C16_N_O8,0,16,7,8,1,0
441,343.032786037,0.006324478128452832,-0.08869706121959937,12.0,N1O8,H9_C16_N_O8,0,16,9,8,1,0
510,355.032866037,0.004597051735718445,0.1396321432302923,13.0,N1O8,H9_C17_N_O8,0,17,9,8,1,0
578,367.032756037,0.0057362912282628185,-0.16463380723017204,14.0,N1O8,H9_C18_N_O8,0,18,9,8,1,0
592,369.048336037,0.004293157531393381,-0.3536122162558566,13.0,N1O8,H11_C18_N_O8,0,18,11,8,1,0
619,373.07989603699997,0.005068749879296144,0.3467139381180154,11.0,N1O8,H15_C18_N_O8,0,18,15,8,1,0
652,379.03270603699997,0.003995587026421578,-0.29133633665393294,15.0,N1O8,H9_C19_N_O8,0,19,9,8,1,0
676,383.064096037,0.004970609088616104,-0.053709027221082756,13.0,N1O8,H13_C19_N_O8,0,19,13,8,1,0
818,405.048356037,0.005161548977587564,-0.27280693354621127,16.0,N1O8,H11_C21_N_O8,0,21,11,8,1,0
833,407.063946037,0.004342107275364598,-0.41903490014602457,15.0,N1O8,H13_C21_N_O8,0,21,13,8,1,0
884,415.032756037,0.0045297781001019995,-0.14559332743925363,18.0,N1O8,H9_C22_N_O8,0,22,9,8,1,0
897,417.048526037,0.006896633233071299,0.14266924903369263,17.0,N1O8,H11_C22_N_O8,0,22,11,8,1,0
912,419.064086037,0.005289948907616488,-0.07295781483495366,16.0,N1O8,H13_C22_N_O8,0,22,13,8,1,0
968,429.048416037,0.005876362148705029,-0.11770233404574931,18.0,N1O8,H11_C23_N_O8,0,23,11,8,1,0
980,431.064146037,0.0043134219225479855,0.0682636222393048,17.0,N1O8,H13_C23_N_O8,0,23,13,8,1,0
1049,443.063876037,0.004518865729664249,-0.5429781414957153,18.0,N1O8,H13_C24_N_O8,0,24,13,8,1,0
1284,488.036076037,0.005818435495001171,-0.19520278241186861,24.0,N1O8,H9_C27_13C_N_O8,0,28,9,8,1,0
1383,507.282996037,0.0054326360872067984,-0.4368567480361811,7.0,N1O8,H41_C27_N_O8,0,27,41,8,1,0
468,347.027796037,0.0038012353070952026,0.18711469428953117,11.0,N1O9,H9_C15_N_O9,0,15,9,9,1,0
536,359.027696037,0.007993453271972603,-0.09766934528040185,12.0,N1O9,H9_C16_N_O9,0,16,9,9,1,0
551,361.043296037,0.005185615426494093,-0.23581659303657834,11.0,N1O9,H11_C16_N_O9,0,16,11,9,1,0
590,369.011916037,0.004598084690592882,-0.44711835265649086,14.0,N1O9,H7_C17_N_O9,0,17,7,9,1,0
604,371.027596037,0.00681727206588895,-0.3640322213954502,13.0,N1O9,H9_C17_N_O9,0,17,9,9,1,0
618,373.043256037,0.004901272342586488,-0.3354570763515605,12.0,N1O9,H11_C17_N_O9,0,17,11,9,1,0
674,383.027616037,0.005438921155727356,-0.3004117594062533,14.0,N1O9,H9_C18_N_O9,0,18,9,9,1,0
690,385.043266037,0.004271942485834011,-0.29903133010558514,13.0,N1O9,H11_C18_N_O9,0,18,11,9,1,0
703,387.059036037,0.004358820989113415,0.012365038890762684,12.0,N1O9,H13_C18_N_O9,0,18,13,9,1,0
724,389.074706037,0.005147463840063941,0.0635147944249689,11.0,N1O9,H15_C18_N_O9,0,18,15,9,1,0
751,395.027866037,0.0049127574571090895,0.34158096584364805,15.0,N1O9,H9_C19_N_O9,0,19,9,9,1,0
764,397.043506037,0.004757744802418113,0.3144743537490677,14.0,N1O9,H11_C19_N_O9,0,19,11,9,1,0
832,407.027766037,0.007294824740156072,0.08582706870665956,16.0,N1O9,H9_C20_N_O9,0,20,9,9,1,0
844,409.043486037,0.005631798744872489,0.2563541617074334,15.0,N1O9,H11_C20_N_O9,0,20,11,9,1,0
909,419.027746037,0.00719265682513358,0.035639644811274164,17.0,N1O9,H9_C21_N_O9,0,21,9,9,1,0
933,423.059146037,0.006380374703904815,0.27132376433737104,15.0,N1O9,H13_C21_N_O9,0,21,13,9,1,0
997,433.043326037,0.005889829192905411,-0.12733137012791682,17.0,N1O9,H11_C22_N_O9,0,22,11,9,1,0
1010,435.059026037,0.005333663893822943,-0.011984580549054916,16.0,N1O9,H13_C22_N_O9,0,22,13,9,1,0
1061,445.043426037,0.00944925116356278,0.10079915212357364,18.0,N1O9,H11_C23_N_O9,0,23,11,9,1,0
1074,447.058876037,0.0066986255813167,-0.347189169659788,17.0,N1O9,H13_C23_N_O9,0,23,13,9,1,0
1310,492.031036037,0.007197196787776837,-0.10142856112728153,23.0,N1O9,H9_C26_13C_N_O9,0,27,9,9,1,0
1319,494.046836037,0.005524611620934372,0.2024504414397593,22.0,N1O9,H11_C26_13C_N_O9,0,27,11,9,1,0
1362,504.030926037,0.005206551098350296,-0.3172543424646009,24.0,N1O9,H9_C27_13C_N_O9,0,28,9,9,1,0
183,290.048156037,0.003661594924484126,0.49355597360830694,18.0,N2O1,H6_C20_N2_O,0,20,6,1,2,0
794,402.033456037,0.004193750881108408,-0.2207602344214578,13.0,N2O10,H10_C17_N2_O10,0,17,10,10,2,0
1019,438.033496037,0.004670471592804575,-0.11129970737748995,16.0,N2O10,H10_C20_N2_O10,0,20,10,10,2,0
1159,462.033306037,0.0050257616006382086,-0.5167441326042075,18.0,N2O10,H10_C22_N2_O10,0,22,10,10,2,0
1368,504.141646037,0.0054682772293784265,0.5239420350982007,7.0,N2O11S1,H28_C20_N2_O11_S,0,20,28,11,2,1
1377,506.120916037,0.008081594835521238,0.5326296374296542,7.0,N2O12S1,H26_C19_N2_O12_S,0,19,26,12,2,1
1504,546.043026037,0.007519296751780459,0.43211063741348954,11.0,N2O15S1,H18_C19_N2_O15_S,0,19,18,15,2,1
1540,564.053576037,0.006207196040102264,0.3922269256044765,10.0,N2O16S1,H20_C19_N2_O16_S,0,19,20,16,2,1
602,370.283286037,0.004867723423919342,0.34581901144870525,2.0,N2O4,H38_C20_N2_O4,0,20,38,4,2,0
146,282.027806037,0.0035358269298832387,0.47724017681554864,12.0,N2O5,H6_C14_N2_O5,0,14,6,5,2,0
