element;mass;abundance
W;185.954362;28.43
U;234.040946;0.0055
U;235.043923;0.72
U;238.050783;99.2745
V;49.947163;0.25
V;50.943964;99.75
Xe;123.905896;0.09
Xe;125.904269;0.09
Xe;127.903530;1.92
Xe;128.904779;26.44
Xe;129.903508;10.44
Xe;130.905082;21.18
Xe;131.904154;26.89
Xe;133.905395;10.44
Xe;135.907220;8.87
Yb;167.933894;0.13
Yb;169.934759;3.04
Yb;170.936322;14.28
Yb;171.936378;21.83
Yb;172.938207;16.13
Yb;173.938858;31.83
Yb;175.942568;12.76
Y;88.905856;100.00
Zn;63.929147;48.63
Zn;65.926037;27.90
Zn;66.927131;4.10
Zn;67.924848;18.75
Zn;69.925325;0.62
Zr;89.904704;51.45
Zr;90.905645;11.22
Zr;91.905040;17.15
Zr;93.906316;17.38
Zr;95.908276;2.80
