,element,mass,abundance,isotop,element_isotop
141,Nd,149.920887,5.6,149,Nd_149
142,Ne,19.99244,90.48,19,Ne_19
143,Ne,20.993847,0.27,20,Ne_20
144,Ne,21.991386,9.25,21,Ne_21
145,Ni,57.935348,68.0769,57,Ni_57
146,Ni,59.930791,26.2231,59,Ni_59
147,Ni,60.93106,1.1399,60,Ni_60
148,Ni,61.928349,3.6345,61,Ni_61
149,Ni,63.92797,0.9256,63,Ni_63
150,Nb,92.906378,100.0,92,Nb_92
151,N,14.003074,99.632,14,N_14
152,N,15.000109,0.368,15,N_15
153,Os,183.952491,0.02,183,Os_183
154,Os,185.953838,1.59,185,Os_185
155,Os,186.955748,1.96,186,Os_186
156,Os,187.955836,13.24,187,Os_187
157,Os,188.958145,16.15,188,Os_188
158,Os,189.958445,26.26,189,Os_189
159,Os,191.961479,40.78,191,Os_191
160,O,15.994915,99.757,15,O_15
161,O,16.999132,0.038,16,O_16
162,O,17.99916,0.205,17,O_17
163,Pd,101.905608,1.02,101,Pd_101
164,Pd,103.904035,11.14,103,Pd_103
165,Pd,104.905084,22.33,104,Pd_104
166,Pd,105.903483,27.33,105,Pd_105
167,Pd,107.903894,26.46,107,Pd_107
168,Pd,109.905152,11.72,109,Pd_109
169,P,30.973762,100.0,30,P_30
170,Pt,189.95993,0.014,189,Pt_189
171,Pt,191.961035,0.782,191,Pt_191
172,Pt,193.962664,32.967,193,Pt_193
173,Pt,194.964774,33.832,194,Pt_194
174,Pt,195.964935,25.242,195,Pt_195
175,Pt,197.967876,7.163,197,Pt_197
176,K,38.963707,93.2581,38,K_38
177,K,39.963999,0.0117,39,K_39
178,K,40.961826,6.7302,40,K_40
179,Pr,140.907648,100.0,140,Pr_140
180,Re,184.952956,37.4,184,Re_184
181,Re,186.955751,62.6,186,Re_186
182,Rh,102.905504,100.0,102,Rh_102
183,Rb,84.911789,72.17,84,Rb_84
184,Rb,86.909183,27.83,86,Rb_86
185,Ru,95.907598,5.54,95,Ru_95
186,Ru,97.905287,1.87,97,Ru_97
187,Ru,98.905939,12.76,98,Ru_98
188,Ru,99.90422,12.6,99,Ru_99
189,Ru,100.905582,17.06,100,Ru_100
190,Ru,101.90435,31.55,101,Ru_101
191,Ru,103.90543,18.62,103,Ru_103
192,Sm,143.911995,3.07,143,Sm_143
193,Sm,146.914893,14.99,146,Sm_146
194,Sm,147.914818,11.24,147,Sm_147
195,Sm,148.91718,13.82,148,Sm_148
196,Sm,149.917271,7.38,149,Sm_149
197,Sm,151.919728,26.75,151,Sm_151
198,Sm,153.922205,22.75,153,Sm_153
199,Sc,44.95591,100.0,44,Sc_44
200,Se,73.922477,0.89,73,Se_73
201,Se,75.919214,9.37,75,Se_75
202,Se,76.919915,7.63,76,Se_76
203,Se,77.91731,23.77,77,Se_77
204,Se,79.916522,49.61,79,Se_79
205,Se,81.9167,8.73,81,Se_81
206,Si,27.976927,92.2297,27,Si_27
207,Si,28.976495,4.6832,28,Si_28
208,Si,29.97377,3.0872,29,Si_29
209,Ag,106.905093,51.839,106,Ag_106
210,Ag,108.904756,48.161,108,Ag_108
211,Na,22.98977,100.0,22,Na_22
212,Sr,83.913425,0.56,83,Sr_83
213,Sr,85.909262,9.86,85,Sr_85
214,Sr,86.908879,7.0,86,Sr_86
215,Sr,87.905614,82.58,87,Sr_87
216,S,31.972071,94.93,31,S_31
