peakNo,mw,relativeAbundance,errorPPM,DBE,class,formula,z,C,H,O,N,S
1585,375.022616037,0.009043865050725413,-0.07921122287140428,12.0,N1O10,H9_C16_N_O10,0,16,9,10,1,0
1613,377.038376037,0.00833054659744322,0.21276348793914138,11.0,N1O10,H11_C16_N_O10,0,16,11,10,1,0
1711,385.00683603699997,0.009133748536520344,-0.41462120949197057,14.0,N1O10,H7_C17_N_O10,0,17,7,10,1,0
1762,389.03835603699997,0.008914172026529617,0.15479193511825895,12.0,N1O10,H11_C17_N_O10,0,17,11,10,1,0
1816,393.069686037,0.010264088443549488,0.22915020728931507,10.0,N1O10,H15_C17_N_O10,0,17,15,10,1,0
1897,399.022606037,0.013721444891595292,-0.09950814664318668,14.0,N1O10,H9_C18_N_O10,0,18,9,10,1,0
1930,401.038336037,0.010939629779613522,0.10028966411075936,13.0,N1O10,H11_C18_N_O10,0,18,11,10,1,0
2046,411.022676037,0.018875180776361977,0.07370396273609463,15.0,N1O10,H9_C19_N_O10,0,19,9,10,1,0
2075,413.038236037,0.01250507150466933,-0.14473236325195254,14.0,N1O10,H11_C19_N_O10,0,19,11,10,1,0
2104,415.053906037,0.01220390146843931,-0.09602126240050358,13.0,N1O10,H13_C19_N_O10,0,19,13,10,1,0
2176,421.006916037,0.00842069948134794,-0.18914653632697756,17.0,N1O10,H7_C20_N_O10,0,20,7,10,1,0
2228,425.038436037,0.013376932450613256,0.3298995765084729,15.0,N1O10,H11_C20_N_O10,0,20,11,10,1,0
2256,427.053916037,0.009805143187755232,-0.069906863909311,14.0,N1O10,H13_C20_N_O10,0,20,13,10,1,0
2280,429.069586037,0.011300091270715556,-0.023138437827931454,13.0,N1O10,H15_C20_N_O10,0,20,15,10,1,0
2304,431.085376037,0.008540022383368215,0.3015597543250425,12.0,N1O10,H17_C20_N_O10,0,20,17,10,1,0
2345,435.022526037,0.011586955926305554,-0.2751719574417809,17.0,N1O10,H9_C21_N_O10,0,21,9,10,1,0
2367,437.038466037,0.019978171660093625,0.389485167228094,16.0,N1O10,H11_C21_N_O10,0,21,11,10,1,0
2394,439.053996037,0.013867254060941208,0.11421374234340616,15.0,N1O10,H13_C21_N_O10,0,21,13,10,1,0
2511,449.038126037,0.008212437691968319,-0.37809707042718593,17.0,N1O10,H11_C22_N_O10,0,22,11,10,1,0
2554,453.069446037,0.009967903977401877,-0.33091615710622746,15.0,N1O10,H15_C22_N_O10,0,22,15,10,1,0
2620,459.022766037,0.01552499021436942,0.2620654331309791,19.0,N1O10,H9_C23_N_O10,0,23,9,10,1,0
2640,461.038396037,0.021020537738814946,0.2173788580239863,18.0,N1O10,H11_C23_N_O10,0,23,11,10,1,0
2665,463.053886037,0.0143745341117752,-0.129259254339782,17.0,N1O10,H13_C23_N_O10,0,23,13,10,1,0
2688,465.06942603699997,0.00927889273584843,-0.3653820063794958,16.0,N1O10,H15_C23_N_O10,0,23,15,10,1,0
2712,467.085476037,0.008954946623982003,0.49241094374665384,15.0,N1O10,H17_C23_N_O10,0,23,17,10,1,0
2755,471.022826037,0.009347377827479797,0.3827712587401204,20.0,N1O10,H9_C24_N_O10,0,24,9,10,1,0
2795,475.05393603699997,0.01146649746010098,-0.020742907895966882,18.0,N1O10,H13_C24_N_O10,0,24,13,10,1,0
2821,477.069456037,0.011664348206073212,-0.29330739619256424,17.0,N1O10,H15_C24_N_O10,0,24,15,10,1,0
2860,481.101056037,0.009339705096504815,0.3324124900477585,15.0,N1O10,H19_C24_N_O10,0,24,19,10,1,0
2895,485.038226037,0.018835037047900866,-0.1438649495795385,20.0,N1O10,H11_C25_N_O10,0,25,11,10,1,0
2912,487.053946037,0.013295430997145662,2.997614370066533E-4,19.0,N1O10,H13_C25_N_O10,0,25,13,10,1,0
2931,489.069586037,0.011031235367249505,-0.02029976965204767,18.0,N1O10,H15_C25_N_O10,0,25,15,10,1,0
2950,491.085166037,0.009196518296101014,-0.16290860613070896,17.0,N1O10,H17_C25_N_O10,0,25,17,10,1,0
3001,497.038256037,0.012823537581568291,-0.08003408081509894,21.0,N1O10,H11_C26_N_O10,0,26,11,10,1,0
3016,499.053996037,0.012106133825304751,0.10048211291047342,20.0,N1O10,H13_C26_N_O10,0,26,13,10,1,0
3078,509.038136037,0.012939545863807375,-0.3138861091568462,22.0,N1O10,H11_C27_N_O10,0,27,11,10,1,0
2101,415.01766603699997,0.008743305422870735,0.25457711472802674,14.0,N1O11,H9_C18_N_O11,0,18,9,11,1,0
2253,427.017596037,0.01177104008785734,0.08349538828833801,15.0,N1O11,H9_C19_N_O11,0,19,9,11,1,0
