peakNo,mw,relativeAbundance,errorPPM,DBE,class,formula,z,C,H,O,N,S
1256,451.017716037,0.016338085509924476,0.3451172637955217,17.0,N1O11,H9_C21_N_O11,0,21,9,11,1,0
1270,453.033176037,0.01311463665662126,-0.0759767757431353,16.0,N1O11,H11_C21_N_O11,0,21,11,11,1,0
1320,461.001966037,0.020167699501216486,0.1208845170134605,19.0,N1O11,H7_C22_N_O11,0,22,7,11,1,0
1335,463.017566037,0.03325513754111651,0.012211199914503642,18.0,N1O11,H9_C22_N_O11,0,22,9,11,1,0
1410,475.017586037,0.01861815402672501,0.054006421705731826,19.0,N1O11,H9_C23_N_O11,0,23,9,11,1,0
1423,477.033166037,0.017543816977078474,-0.09311721523209682,18.0,N1O11,H11_C23_N_O11,0,23,11,11,1,0
1481,487.01748603699997,0.03312884044024859,-0.15265570969035008,20.0,N1O11,H9_C24_N_O11,0,24,9,11,1,0
1494,489.033176037,0.026550725614104764,-0.07038377293519096,19.0,N1O11,H11_C24_N_O11,0,24,11,11,1,0
1548,499.017556037,0.015235541461351924,-0.008709112253408358,21.0,N1O11,H9_C25_N_O11,0,25,9,11,1,0
1558,501.033316037,0.021587058400621608,0.2107245100177682,20.0,N1O11,H11_C25_N_O11,0,25,11,11,1,0
1606,511.017436037,0.033855219142507234,-0.24333024899180575,22.0,N1O11,H9_C26_N_O11,0,26,9,11,1,0
1616,513.032976037,0.031202575563286733,-0.45692969247429616,21.0,N1O11,H11_C26_N_O11,0,26,11,11,1,0
1674,525.033056037,0.024403292600602193,-0.2941148146174705,22.0,N1O11,H11_C27_N_O11,0,27,11,11,1,0
1683,527.049056037,0.018689577405855886,0.37094459771598604,21.0,N1O11,H13_C27_N_O11,0,27,13,11,1,0
1718,535.017496037,0.02645168253557373,-0.12026896392663501,24.0,N1O11,H9_C28_N_O11,0,28,9,11,1,0
1727,537.033126037,0.03540683124646235,-0.15719700687811233,23.0,N1O11,H11_C28_N_O11,0,28,11,11,1,0
1739,539.048726037,0.01691340634168244,-0.24950249095880656,22.0,N1O11,H13_C28_N_O11,0,28,13,11,1,0
1775,549.033326037,0.018144629932595743,0.21051545429918256,24.0,N1O11,H11_C29_N_O11,0,29,11,11,1,0
1782,551.048876037,0.017264716728816992,0.028139064867456456,23.0,N1O11,H13_C29_N_O11,0,29,13,11,1,0
1812,561.033136037,0.017971454140328684,-0.13264813654028457,25.0,N1O11,H11_C30_N_O11,0,30,11,11,1,0
1818,563.049056037,0.02074257154748771,0.34722729391342366,24.0,N1O11,H13_C30_N_O11,0,30,13,11,1,0
1851,573.033076037,0.01732258789436055,-0.23457633706676664,26.0,N1O11,H11_C31_N_O11,0,31,11,11,1,0
1887,585.032966037,0.024901760302895853,-0.4177884224203762,27.0,N1O11,H11_C32_N_O11,0,32,11,11,1,0
1892,587.048826037,0.022680659982828692,-0.05875831513430333,26.0,N1O11,H13_C32_N_O11,0,32,13,11,1,0
1946,647.049106037,0.015025742557142027,0.37942406189128625,31.0,N1O11,H13_C37_N_O11,0,37,13,11,1,0
1269,452.996796037,0.014175499060542381,-0.06382385085470033,17.0,N1O12,H7_C20_N_O12,0,20,7,12,1,0
1358,467.012576037,0.01333784371981779,0.21629824372619208,17.0,N1O12,H9_C21_N_O12,0,21,9,12,1,0
1433,479.012346037,0.021223752697699425,-0.26927489669113663,18.0,N1O12,H9_C22_N_O12,0,22,9,12,1,0
1493,488.996896037,0.013938401809503082,0.14537515596335499,20.0,N1O12,H7_C23_N_O12,0,23,7,12,1,0
1567,503.012446037,0.027053404143187614,-0.057624816621373795,20.0,N1O12,H9_C24_N_O12,0,24,9,12,1,0
1625,515.012366037,0.024442209505032824,-0.21161821962681576,21.0,N1O12,H9_C25_N_O12,0,25,9,12,1,0
1636,517.027996037,0.019803751093152796,-0.24961897796350874,20.0,N1O12,H11_C25_N_O12,0,25,11,12,1,0
1682,527.012436037,0.026930342730273494,-0.07397548382172549,22.0,N1O12,H9_C26_N_O12,0,26,9,12,1,0
1692,529.028026037,0.04087824660286008,-0.1872490587188752,21.0,N1O12,H11_C26_N_O12,0,26,11,12,1,0
1738,539.012486037,0.027772513628673338,0.020433664037218035,23.0,N1O12,H9_C27_N_O12,0,27,9,12,1,0
1747,541.028216037,0.017936903198411056,0.16808735176483178,22.0,N1O12,H11_C27_N_O12,0,27,11,12,1,0
1781,551.012356037,0.013664814419998502,-0.21594071105241516,24.0,N1O12,H9_C28_N_O12,0,28,9,12,1,0
1788,553.028116037,0.03117000260184771,-0.016382530378584184,23.0,N1O12,H11_C28_N_O12,0,28,11,12,1,0
1817,563.012366037,0.01755967406427672,-0.19357656520706254,25.0,N1O12,H9_C29_N_O12,0,29,9,12,1,0
1832,567.043886037,0.016997273822087693,0.19551573119819013,23.0,N1O12,H13_C29_N_O12,0,29,13,12,1,0
1861,577.028136037,0.020204328153720887,0.018959214213457403,25.0,N1O12,H11_C30_N_O12,0,30,11,12,1,0
1869,579.043736037,0.020961628730072263,-0.06758384130047658,24.0,N1O12,H13_C30_N_O12,0,30,13,12,1,0
1895,589.028166037,0.022910526801026024,0.0695043164942472,26.0,N1O12,H11_C31_N_O12,0,31,11,12,1,0
1919,603.043486037,0.015228388596371862,-0.47945796067441715,26.0,N1O12,H13_C32_N_O12,0,32,13,12,1,0
1708,533.023276037,0.019226984174826437,0.4433202274768952,20.0,N1O13,H11_C25_N_O13,0,25,11,13,1,0
1754,543.007476037,0.023294975286879196,0.1590659500021296,22.0,N1O13,H9_C26_N_O13,0,26,9,13,1,0
1794,555.007356037,0.01787354687691842,-0.06058658416786295,23.0,N1O13,H9_C27_N_O13,0,27,9,13,1,0
1800,557.023016037,0.02482031958845595,-0.042547613377649555,22.0,N1O13,H11_C27_N_O13,0,27,11,13,1,0
1839,569.023016037,0.014384245258054979,-0.04165033620934149,23.0,N1O13,H11_C28_N_O13,0,28,11,13,1,0
1876,581.022916037,0.024828026509592486,-0.21290038069600345,24.0,N1O13,H11_C29_N_O13,0,29,11,13,1,0
1881,583.038536037,0.015537590715614499,-0.2637458599456848,23.0,N1O13,H13_C29_N_O13,0,29,13,13,1,0
1906,595.038576037,0.022443202595287686,-0.19120441033184474,24.0,N1O13,H13_C30_N_O13,0,30,13,13,1,0
1923,605.023146037,0.017535306674515055,0.17569575753695202,26.0,N1O13,H11_C31_N_O13,0,31,11,13,1,0
1933,619.038856037,0.018007561980046,0.2685227240556262,26.0,N1O13,H13_C32_N_O13,0,32,13,13,1,0
1806,559.002306037,0.0197278232374698,0.003101955145437601,22.0,N1O14,H9_C26_N_O14,0,26,9,14,1,0
1937,621.017816037,0.015325298558700478,-0.22276333538673285,26.0,N1O14,H11_C31_N_O14,0,31,11,14,1,0
1941,633.017966037,0.015829179389642872,0.01841969825968384,27.0,N1O14,H11_C32_N_O14,0,32,11,14,1,0
