m/z	Intensity	Relative
 312.0593	     10.2	    0.14
 312.0720	     22.3	    0.32
 312.0800	     22.1	    0.31
 312.0870	      7.0	    0.10
 312.0934	      6.5	    0.09
 312.1084	     11.1	    0.16
 312.1367	      9.6	    0.14
 312.1392	      7.4	    0.11
 312.1716	    102.9	    1.46
 312.3192	      8.6	    0.12
 312.3408	     19.0	    0.27
 312.3456	     18.1	    0.26
 312.3498	      8.9	    0.13
 312.3530	     15.9	    0.23
 312.3538	     10.8	    0.15
 312.3546	     12.0	    0.17
 312.3580	     11.3	    0.16
 312.3665	      8.4	    0.12
 312.3699	     13.5	    0.19
 312.3757	      8.6	    0.12
 312.3840	      8.2	    0.12
 312.3942	      7.7	    0.11
 312.4140	     13.2	    0.19
 312.4688	     13.3	    0.19
 312.4958	     14.4	    0.21
 312.4987	      5.4	    0.08
 312.5168	      9.0	    0.13
 312.5246	     27.3	    0.39
 312.5286	     18.0	    0.26
 312.5300	     17.9	    0.25
 312.5356	     28.8	    0.41
 312.5367	     22.7	    0.32
 312.5396	     17.1	    0.24
 312.5429	      8.0	    0.11
 312.5543	      5.0	    0.07
 312.5567	      7.4	    0.11
 312.5574	      7.7	    0.11
 312.5589	      7.0	    0.10
 312.5688	      6.2	    0.09
 312.6199	     12.7	    0.18
 312.6270	      8.9	    0.13
 312.6637	     14.8	    0.21
 312.6832	      6.9	    0.10
 312.6864	     10.0	    0.14
 312.6949	      9.1	    0.13
 312.7101	     23.8	    0.34
 312.7318	     13.2	    0.19
 312.7609	     14.7	    0.21
 312.7793	     17.1	    0.24
 312.7875	     16.1	    0.23
 312.7958	      6.7	    0.10
 312.8612	     12.4	    0.18
 312.9335	      8.8	    0.13
 312.9833	     57.1	    0.81
 312.9883	     11.3	    0.16
 312.9892	      7.6	    0.11
 312.9984	    102.5	    1.46
 313.0004	      6.6	    0.09
 313.0051	     27.9	    0.40
 313.0063	     24.4	    0.35
 313.0086	     21.6	    0.31
 313.0121	      7.2	    0.10
 313.0134	     23.9	    0.34
 313.0167	     65.7	    0.93
 313.0177	     31.3	    0.45
 313.0196	    456.4	    6.48
 313.0221	      7.5	    0.11
 313.0231	     22.7	    0.32
 313.0268	     37.8	    0.54
 313.0276	     21.3	    0.30
 313.0299	      6.0	    0.09
 313.0317	     18.0	    0.26
 313.0348	    967.2	   13.74
 313.0373	     19.6	    0.28
 313.0396	      4.7	    0.07
 313.0416	     12.1	    0.17
 313.0429	     14.3	    0.20
 313.0452	     55.4	    0.79
 313.0506	     10.8	    0.15
 313.0530	     16.7	    0.24
 313.0542	     10.2	    0.15
 313.0560	    452.0	    6.42
 313.0637	     17.1	    0.24
 313.0702	      5.9	    0.08
 313.0712	    271.1	    3.85
 313.0738	     12.1	    0.17
 313.0923	    360.9	    5.13
 313.1076	     48.3	    0.69
 313.1287	    144.4	    2.05
 313.1366	      6.5	    0.09
 313.1472	     10.3	    0.15
 313.1531	     15.7	    0.22
 313.1805	     15.4	    0.22
 313.2006	      7.9	    0.11
 313.2014	     27.4	    0.39
 313.2233	     11.3	    0.16
 313.2381	      6.8	    0.10
 313.2539	     14.5	    0.21
 313.2631	     10.7	    0.15
 313.2645	      6.5	    0.09
 313.2700	     13.9	    0.20
 313.3373	      9.7	    0.14
 313.3404	     12.2	    0.17
 313.3466	     13.5	    0.19
 313.3518	      8.8	    0.12
 313.3544	     13.6	    0.19
 313.3561	     11.2	    0.16
 313.3570	     20.2	    0.29
 313.3611	     13.0	    0.18
 313.3641	     12.6	    0.18
 313.3769	      8.5	    0.12
 313.3839	     14.1	    0.20
 313.4472	     13.7	    0.20
 313.5001	     10.2	    0.14
 313.5063	      7.6	    0.11
 313.5073	     21.4	    0.30
 313.5087	     10.4	    0.15
 313.5185	     14.9	    0.21
 313.5286	      8.9	    0.13
 313.5288	      9.3	    0.13
 313.5292	     10.7	    0.15
 313.5363	     19.8	    0.28
 313.5404	     30.3	    0.43
 313.5420	     11.4	    0.16
 313.5430	     28.8	    0.41
 313.5454	     10.2	    0.15
 313.5468	      9.0	    0.13
 313.5508	     14.3	    0.20
 313.5611	      8.3	    0.12
 313.5648	      5.9	    0.08
 313.5656	     11.2	    0.16
 313.5691	      6.5	    0.09
 313.6337	     11.1	    0.16
 313.6521	     10.9	    0.16
 313.6657	     13.9	    0.20
 313.6703	     13.3	    0.19
 313.6730	      6.6	    0.09
 313.6815	     17.7	    0.25
 313.6824	     13.7	    0.19
 313.6837	     10.4	    0.15
 313.7008	     17.3	    0.25
 313.7085	     11.8	    0.17
 313.7139	     13.1	    0.19
 313.7262	     10.2	    0.14
 313.7377	     18.1	    0.26
 313.7673	     17.4	    0.25
 313.8062	      8.1	    0.12
 313.8140	     11.8	    0.17
 313.8270	     10.2	    0.15
 313.8735	      7.2	    0.10
 313.9607	      7.4	    0.11
 313.9806	     10.3	    0.15
 313.9851	      6.6	    0.09
 313.9960	      6.2	    0.09
 314.0001	     12.3	    0.17
 314.0022	     16.9	    0.24
 314.0034	      5.0	    0.07
 314.0061	     12.5	    0.18
 314.0069	      6.6	    0.09
 314.0083	     11.4	    0.16
 314.0125	      8.2	    0.12
 314.0135	     45.4	    0.65
 314.0169	     66.4	    0.94
 314.0213	     11.9	    0.17
 314.0230	     13.7	    0.19
 314.0245	     56.0	    0.80
 314.0271	     17.0	    0.24
 314.0302	     30.7	    0.44
 314.0304	     26.7	    0.38
 314.0350	     71.2	    1.01
 314.0382	     34.3	    0.49
 314.0427	     60.6	    0.86
 314.0451	      7.2	    0.10
 314.0516	      4.8	    0.07
 314.0545	     12.0	    0.17
 314.0594	      9.5	    0.13
 314.0610	     11.4	    0.16
 314.0637	      6.8	    0.10
 314.0665	     11.5	    0.16
 314.0674	      7.2	    0.10
 314.0959	     31.2	    0.44
 314.1008	      6.9	    0.10
 314.1104	     14.3	    0.20
 314.1231	     17.0	    0.24
 314.1444	      6.9	    0.10
 314.1706	     11.8	    0.17
 314.2130	      7.0	    0.10
 314.2384	     13.2	    0.19
 314.2609	     10.7	    0.15
 314.2734	     16.8	    0.24
 314.3024	     22.4	    0.32
 314.3161	      7.0	    0.10
 314.3355	      9.4	    0.13
 314.3507	     13.7	    0.20
 314.3612	     26.0	    0.37
 314.3633	     11.6	    0.16
 314.3644	     13.8	    0.20
 314.3687	      8.5	    0.12
 314.3729	      5.6	    0.08
 314.3772	      7.7	    0.11
 314.3823	      9.3	    0.13
 314.3842	      8.6	    0.12
 314.3859	     11.8	    0.17
 314.4719	     12.6	    0.18
 314.5132	      5.7	    0.08
 314.5149	      5.1	    0.07
 314.5201	      7.4	    0.11
 314.5278	      6.0	    0.08
 314.5363	     17.2	    0.24
 314.5405	      7.6	    0.11
 314.5481	      9.8	    0.14
 314.5506	     19.3	    0.27
 314.5548	     18.9	    0.27
 314.5739	      9.5	    0.13
 314.5814	     11.3	    0.16
 314.5953	      6.8	    0.10
 314.6553	     11.0	    0.16
 314.6701	      5.7	    0.08
 314.6767	      8.8	    0.13
 314.6975	     11.3	    0.16
 314.7078	     21.8	    0.31
 314.7103	      7.8	    0.11
 314.7907	      9.5	    0.14
 314.8127	     35.9	    0.51
 314.9060	     10.5	    0.15
 314.9345	      7.9	    0.11
 314.9747	     17.1	    0.24
 314.9782	     12.9	    0.18
 314.9962	     25.9	    0.37
 314.9998	     11.3	    0.16
 315.0034	     16.1	    0.23
 315.0060	     17.3	    0.25
 315.0068	     21.3	    0.30
 315.0080	     31.9	    0.45
 315.0130	     48.5	    0.69
 315.0140	   1337.8	   19.01
 315.0157	     21.1	    0.30
 315.0166	     10.0	    0.14
 315.0212	     26.8	    0.38
 315.0219	     10.0	    0.14
 315.0232	      7.9	    0.11
 315.0244	     22.9	    0.33
 315.0251	     29.9	    0.43
 315.0277	     28.9	    0.41
 315.0287	     10.4	    0.15
 315.0322	     88.9	    1.26
 315.0352	    311.5	    4.43
 315.0373	     20.4	    0.29
 315.0383	     36.4	    0.52
 315.0427	     64.0	    0.91
 315.0456	     14.1	    0.20
 315.0483	      8.2	    0.12
 315.0490	     24.1	    0.34
 315.0504	    998.1	   14.18
 315.0523	     36.3	    0.52
 315.0540	      8.7	    0.12
 315.0599	     14.3	    0.20
 315.0609	     33.1	    0.47
 315.0620	      6.7	    0.10
 315.0635	     12.7	    0.18
 315.0658	     19.8	    0.28
 315.0689	     18.1	    0.26
 315.0717	    300.0	    4.26
 315.0764	     12.1	    0.17
 315.0781	      8.9	    0.13
 315.0851	     12.3	    0.17
 315.0868	    172.2	    2.45
 315.1069	     13.4	    0.19
 315.1080	    170.4	    2.42
 315.1189	      7.5	    0.11
 315.1232	     51.3	    0.73
 315.1383	     10.3	    0.15
 315.1444	     18.2	    0.26
 315.2171	      7.2	    0.10
 315.2539	      6.4	    0.09
 315.2571	     23.6	    0.34
 315.2589	     13.0	    0.18
 315.2683	      9.6	    0.14
 315.2727	      7.2	    0.10
 315.2852	     11.8	    0.17
 315.3138	      5.4	    0.08
 315.3150	      7.2	    0.10
 315.3640	     16.1	    0.23
 315.3669	     12.7	    0.18
 315.3759	      5.4	    0.08
 315.3926	     12.3	    0.17
 315.4134	      4.5	    0.06
 315.5073	     11.8	    0.17
 315.5118	     10.6	    0.15
 315.5262	     37.2	    0.53
 315.5269	      6.0	    0.09
 315.5318	     18.1	    0.26
 315.5443	      7.9	    0.11
 315.5525	      9.3	    0.13
 315.5629	     13.3	    0.19
 315.5793	      6.3	    0.09
 315.6413	     13.4	    0.19
 315.6634	     12.4	    0.18
 315.6745	     21.5	    0.30
 315.6768	     13.9	    0.20
 315.6793	      9.6	    0.14
 315.6898	     18.1	    0.26
 315.6927	     14.0	    0.20
 315.6969	      8.1	    0.12
 315.6980	     25.6	    0.36
 315.7017	      8.0	    0.11
 315.7053	      8.0	    0.11
 315.7073	      8.5	    0.12
 315.7121	      7.3	    0.10
 315.7174	      7.8	    0.11
 315.7684	     11.9	    0.17
 315.7767	     13.8	    0.20
 315.7786	      7.6	    0.11
 315.7887	     13.9	    0.20
 315.8025	      9.4	    0.13
 315.8545	     13.7	    0.19
 315.8579	     11.5	    0.16
 315.9747	      7.4	    0.11
 315.9930	     28.9	    0.41
 316.0038	     39.9	    0.57
 316.0059	     19.5	    0.28
 316.0095	     12.7	    0.18
 316.0117	     21.8	    0.31
 316.0128	     13.2	    0.19
 316.0131	     15.1	    0.22
 316.0142	     12.1	    0.17
 316.0155	      7.0	    0.10
 316.0176	    116.7	    1.66
 316.0187	      9.6	    0.14
 316.0204	     15.7	    0.22
 316.0219	    116.7	    1.66
 316.0283	      4.4	    0.06
 316.0323	     36.3	    0.52
 316.0345	      4.4	    0.06
 316.0355	      8.9	    0.13
 316.0382	      7.2	    0.10
 316.0402	     47.9	    0.68
 316.0422	     11.2	    0.16
 316.0424	     11.1	    0.16
 316.0428	      8.1	    0.11
 316.0458	     36.5	    0.52
 316.0493	      8.4	    0.12
 316.0508	      9.3	    0.13
 316.0539	     38.7	    0.55
 316.0564	     10.6	    0.15
 316.0582	     36.1	    0.51
 316.0599	     10.4	    0.15
 316.0627	     23.7	    0.34
 316.0671	      7.1	    0.10
 316.0688	     26.9	    0.38
 316.0762	     12.8	    0.18
 316.0821	     24.9	    0.35
 316.0906	      5.1	    0.07
 316.1112	      5.8	    0.08
 316.1288	      4.5	    0.06
 316.1918	     14.3	    0.20
 316.2256	     10.9	    0.16
 316.2520	     26.5	    0.38
 316.2603	      6.7	    0.09
 316.2733	      5.6	    0.08
 316.2825	      6.9	    0.10
 316.2985	     12.5	    0.18
 316.3187	     13.5	    0.19
 316.3236	     12.7	    0.18
 316.3278	      7.8	    0.11
 316.3344	      9.5	    0.13
 316.3387	     43.0	    0.61
 316.3431	     12.6	    0.18
 316.3505	     14.5	    0.21
 316.3578	     17.3	    0.25
 316.3645	      8.3	    0.12
 316.3802	     16.3	    0.23
 316.3860	      9.4	    0.13
 316.3875	     16.7	    0.24
 316.4789	      9.0	    0.13
 316.5076	      8.5	    0.12
 316.5130	     10.8	    0.15
 316.5258	     26.8	    0.38
 316.5384	      7.1	    0.10
 316.5418	     12.8	    0.18
 316.6333	     13.0	    0.18
 316.6619	      5.5	    0.08
 316.6732	     15.7	    0.22
 316.6856	      8.9	    0.13
 316.6869	      4.3	    0.06
 316.6893	     17.8	    0.25
 316.6955	      6.2	    0.09
 316.6993	      7.9	    0.11
 316.7125	     14.0	    0.20
 316.7525	      8.7	    0.12
 316.7706	     12.5	    0.18
 316.7713	     25.9	    0.37
 316.7724	     11.3	    0.16
 316.7991	     13.3	    0.19
 316.8033	      6.8	    0.10
 316.8352	     22.1	    0.31
 316.9342	     10.6	    0.15
 316.9772	     17.6	    0.25
 316.9934	    602.6	    8.56
 316.9949	      6.7	    0.10
 316.9986	     12.4	    0.18
 316.9998	     13.5	    0.19
 317.0009	     14.1	    0.20
 317.0042	      6.3	    0.09
 317.0060	     15.7	    0.22
 317.0064	     13.7	    0.19
 317.0079	      8.2	    0.12
 317.0116	     67.6	    0.96
 317.0129	     27.3	    0.39
 317.0145	     24.6	    0.35
 317.0192	     37.1	    0.53
 317.0213	     28.6	    0.41
 317.0219	     15.9	    0.23
 317.0246	     27.2	    0.39
 317.0297	   1442.0	   20.49
 317.0334	      7.9	    0.11
 317.0347	     22.3	    0.32
 317.0357	     13.7	    0.19
 317.0376	      8.3	    0.12
 317.0404	     12.7	    0.18
 317.0418	     25.0	    0.36
 317.0432	      8.2	    0.12
 317.0449	      7.5	    0.11
 317.0479	     30.1	    0.43
 317.0507	    128.8	    1.83
 317.0525	      8.7	    0.12
 317.0539	      5.4	    0.08
 317.0568	      7.0	    0.10
 317.0582	     14.6	    0.21
 317.0661	    757.5	   10.76
 317.0758	     16.6	    0.24
 317.0771	     17.5	    0.25
 317.0873	     45.3	    0.64
 317.1025	    249.0	    3.54
 317.1042	      8.3	    0.12
 317.1389	     36.0	    0.51
 317.1495	      8.0	    0.11
 317.2249	      7.9	    0.11
 317.2808	     34.4	    0.49
 317.2882	     13.8	    0.20
 317.3227	      6.8	    0.10
 317.3377	      7.4	    0.10
 317.3491	     13.4	    0.19
 317.3556	     12.9	    0.18
 317.3594	     13.0	    0.18
 317.3611	     23.1	    0.33
 317.3629	     14.9	    0.21
 317.3666	      9.7	    0.14
 317.3709	      6.5	    0.09
 317.3831	     10.9	    0.15
 317.3999	     11.2	    0.16
 317.4294	      7.4	    0.11
 317.4392	     11.4	    0.16
 317.4834	     13.2	    0.19
 317.4923	     12.2	    0.17
 317.4960	     11.1	    0.16
 317.5051	      9.9	    0.14
 317.5061	     19.7	    0.28
 317.5132	      7.9	    0.11
 317.5150	     10.5	    0.15
 317.5175	      7.0	    0.10
 317.5206	     13.6	    0.19
 317.5270	     10.2	    0.14
 317.5283	     10.3	    0.15
 317.5312	     18.0	    0.26
 317.5355	     12.4	    0.18
 317.5426	     19.4	    0.28
 317.5456	     14.2	    0.20
 317.5635	      6.4	    0.09
 317.5637	      6.0	    0.09
 317.5642	     10.0	    0.14
 317.5793	      8.5	    0.12
 317.5808	     12.8	    0.18
 317.6555	     10.4	    0.15
 317.6722	     11.4	    0.16
 317.6745	      8.8	    0.13
 317.6774	     13.1	    0.19
 317.6874	     19.0	    0.27
 317.6895	     12.2	    0.17
 317.6944	     12.3	    0.17
 317.6956	     10.5	    0.15
 317.7007	     13.4	    0.19
 317.7062	      9.3	    0.13
 317.7140	     27.0	    0.38
 317.7206	      7.0	    0.10
 317.7230	     12.0	    0.17
 317.7318	     14.7	    0.21
 317.7640	     11.4	    0.16
 317.7751	     11.2	    0.16
 317.7832	      7.6	    0.11
 317.7998	     11.7	    0.17
 317.8065	     19.8	    0.28
 317.8197	     11.1	    0.16
 317.8429	     10.9	    0.15
 317.8539	     15.3	    0.22
 317.9576	      9.8	    0.14
 317.9617	     10.7	    0.15
 317.9718	      8.2	    0.12
 317.9805	      7.9	    0.11
 317.9955	      7.2	    0.10
 317.9966	     53.2	    0.76
 318.0011	     20.7	    0.29
 318.0057	     21.5	    0.30
 318.0090	     25.5	    0.36
 318.0115	     11.9	    0.17
 318.0159	     16.1	    0.23
 318.0183	      8.1	    0.11
 318.0192	     63.6	    0.90
 318.0209	     18.4	    0.26
 318.0239	     12.1	    0.17
 318.0247	     41.5	    0.59
 318.0268	     17.3	    0.25
 318.0274	      9.0	    0.13
 318.0291	     34.1	    0.48
 318.0299	     55.3	    0.79
 318.0330	     93.2	    1.32
 318.0346	     10.9	    0.16
 318.0364	     20.3	    0.29
 318.0376	     50.3	    0.71
 318.0410	      9.4	    0.13
 318.0428	     19.6	    0.28
 318.0463	     14.8	    0.21
 318.0482	     14.8	    0.21
 318.0527	     10.0	    0.14
 318.0542	      6.9	    0.10
 318.0558	     35.3	    0.50
 318.0593	      6.1	    0.09
 318.0600	     15.8	    0.23
 318.0611	     36.7	    0.52
 318.0644	     12.4	    0.18
 318.0666	      8.4	    0.12
 318.0696	     32.7	    0.46
 318.0726	     13.0	    0.18
 318.0741	      7.3	    0.10
 318.0820	     11.4	    0.16
 318.1056	      6.6	    0.09
 318.2128	      7.9	    0.11
 318.2296	      4.8	    0.07
 318.2717	      6.6	    0.09
 318.2723	     13.9	    0.20
 318.2734	     16.1	    0.23
 318.2879	      9.2	    0.13
 318.2912	     18.6	    0.26
 318.2974	     20.9	    0.30
 318.3115	     10.5	    0.15
 318.3251	      6.9	    0.10
 318.3366	     13.1	    0.19
 318.3426	     10.4	    0.15
 318.3463	     20.8	    0.30
 318.3492	     23.3	    0.33
 318.3546	     12.1	    0.17
 318.3613	     27.9	    0.40
 318.3704	     24.5	    0.35
 318.3807	      7.1	    0.10
 318.3857	     18.8	    0.27
 318.3932	      8.5	    0.12
 318.4020	     10.9	    0.16
 318.4424	      7.5	    0.11
 318.4611	     14.5	    0.21
 318.4916	      6.1	    0.09
 318.4970	      5.8	    0.08
 318.5099	     12.7	    0.18
 318.5176	     23.6	    0.33
 318.5208	     38.9	    0.55
 318.5244	      6.7	    0.10
 318.5281	     22.0	    0.31
 318.5321	     31.7	    0.45
 318.5353	     29.8	    0.42
 318.5393	      7.8	    0.11
 318.5409	      9.5	    0.13
 318.5499	      8.9	    0.13
 318.5525	      6.8	    0.10
 318.5575	      6.6	    0.09
 318.5615	     12.2	    0.17
 318.6000	      9.0	    0.13
 318.6142	     13.6	    0.19
 318.6306	     14.3	    0.20
 318.6332	     18.1	    0.26
 318.6683	      9.4	    0.13
 318.6716	     18.2	    0.26
 318.6739	     14.3	    0.20
 318.6765	     17.7	    0.25
 318.7052	      8.6	    0.12
 318.7128	      8.2	    0.12
 318.7145	      5.1	    0.07
 318.7455	     13.4	    0.19
 318.7750	     13.3	    0.19
 318.7834	      4.6	    0.06
 318.8145	     24.9	    0.35
 318.8315	      4.8	    0.07
 318.8553	      5.6	    0.08
 318.9727	     12.2	    0.17
 318.9856	     13.4	    0.19
 318.9867	      7.7	    0.11
 318.9910	     19.0	    0.27
 318.9960	     14.5	    0.21
 318.9974	     11.7	    0.17
 318.9987	      7.8	    0.11
 319.0019	      7.5	    0.11
 319.0043	     12.2	    0.17
 319.0077	     14.8	    0.21
 319.0089	    994.6	   14.13
 319.0167	     40.8	    0.58
 319.0175	     14.5	    0.21
 319.0178	     13.6	    0.19
 319.0184	     13.1	    0.19
 319.0195	     18.8	    0.27
 319.0210	      8.7	    0.12
 319.0242	     22.6	    0.32
 319.0260	      4.2	    0.06
 319.0271	     94.2	    1.34
 319.0286	     11.3	    0.16
 319.0301	     21.1	    0.30
 319.0335	      6.0	    0.09
 319.0352	     26.2	    0.37
 319.0378	     22.5	    0.32
 319.0401	      5.0	    0.07
 319.0453	   1439.8	   20.45
 319.0538	     23.6	    0.34
 319.0580	     10.9	    0.15
 319.0595	     10.5	    0.15
 319.0607	     22.1	    0.31
 319.0635	     45.8	    0.65
 319.0666	     11.9	    0.17
 319.0671	      6.8	    0.10
 319.0686	      6.9	    0.10
 319.0805	     16.0	    0.23
 319.0817	    621.4	    8.83
 319.0835	     16.0	    0.23
 319.0840	     10.5	    0.15
 319.0927	     15.3	    0.22
 319.0972	     33.8	    0.48
 319.0983	     11.8	    0.17
 319.1077	      6.8	    0.10
 319.1182	    181.1	    2.57
 319.1199	     16.0	    0.23
 319.1546	     75.8	    1.08
 319.2320	     17.1	    0.24
 319.2379	     57.0	    0.81
 319.2501	     19.2	    0.27
 319.2637	      8.2	    0.12
 319.3087	     10.0	    0.14
 319.3380	     11.8	    0.17
 319.3415	     14.2	    0.20
 319.3644	     14.6	    0.21
 319.3935	      7.1	    0.10
 319.4007	      4.7	    0.07
 319.4891	     10.5	    0.15
 319.5001	      7.5	    0.11
 319.5066	      8.8	    0.13
 319.5073	     20.8	    0.30
 319.5108	     10.1	    0.14
 319.5152	      5.4	    0.08
 319.5238	     13.0	    0.18
 319.5289	     23.0	    0.33
 319.5328	      7.8	    0.11
 319.5432	      8.3	    0.12
 319.6233	     14.4	    0.20
 319.6281	     22.5	    0.32
 319.6520	      8.7	    0.12
 319.6767	     14.3	    0.20
 319.6806	     15.8	    0.23
 319.6872	      6.8	    0.10
 319.6901	      6.2	    0.09
 319.6911	     13.6	    0.19
 319.6928	     10.1	    0.14
 319.6949	     11.8	    0.17
 319.6991	      5.1	    0.07
 319.7001	      8.0	    0.11
 319.7103	      5.7	    0.08
 319.7187	      7.5	    0.11
 319.7235	     12.0	    0.17
 319.7348	      7.2	    0.10
 319.7421	     14.8	    0.21
 319.7552	      6.7	    0.10
 319.7760	     12.3	    0.17
 319.7871	     20.6	    0.29
 319.8042	     11.6	    0.16
 319.8056	     18.2	    0.26
 319.8137	     12.9	    0.18
 319.8173	     25.4	    0.36
 319.8876	     13.7	    0.19
 319.9038	      6.2	    0.09
 319.9352	      4.3	    0.06
 319.9517	     11.5	    0.16
 319.9582	      6.0	    0.09
 319.9804	      7.2	    0.10
 319.9880	     12.1	    0.17
 319.9891	     14.9	    0.21
 319.9900	     10.1	    0.14
 319.9954	     12.1	    0.17
 319.9987	      8.4	    0.12
 320.0008	     12.5	    0.18
 320.0029	      7.8	    0.11
 320.0044	      7.1	    0.10
 320.0058	     20.9	    0.30
 320.0062	     29.2	    0.42
 320.0070	     13.8	    0.20
 320.0080	     13.7	    0.19
 320.0123	     43.3	    0.62
 320.0132	     29.8	    0.42
 320.0148	      5.0	    0.07
 320.0154	     11.0	    0.16
 320.0170	     53.0	    0.75
 320.0180	     11.1	    0.16
 320.0186	      5.0	    0.07
 320.0201	     13.3	    0.19
 320.0216	     14.8	    0.21
 320.0247	     20.5	    0.29
 320.0304	     13.7	    0.19
 320.0321	     24.3	    0.34
 320.0323	     23.8	    0.34
 320.0349	     98.7	    1.40
 320.0364	     17.3	    0.25
 320.0380	      8.5	    0.12
 320.0390	     13.1	    0.19
 320.0406	     13.1	    0.19
 320.0426	     15.3	    0.22
 320.0450	     14.3	    0.20
 320.0489	    123.2	    1.75
 320.0503	      9.6	    0.14
 320.0520	     13.9	    0.20
 320.0531	     34.2	    0.49
 320.0543	     12.1	    0.17
 320.0557	      9.2	    0.13
 320.0569	      4.3	    0.06
 320.0653	     13.2	    0.19
 320.0663	     13.2	    0.19
 320.0710	     14.1	    0.20
 320.0771	     40.7	    0.58
 320.0849	     23.5	    0.33
 320.0896	     15.7	    0.22
 320.1139	     20.2	    0.29
 320.1185	      7.3	    0.10
 320.1481	     13.4	    0.19
 320.1578	     10.3	    0.15
 320.2396	      9.3	    0.13
 320.2716	     10.6	    0.15
 320.2745	     11.4	    0.16
 320.2879	      9.6	    0.14
 320.2891	      7.2	    0.10
 320.3077	      4.4	    0.06
 320.3131	     11.3	    0.16
 320.3221	     11.7	    0.17
 320.3278	      8.6	    0.12
 320.3338	      7.9	    0.11
 320.3370	     11.5	    0.16
 320.3397	     10.5	    0.15
 320.3460	     15.7	    0.22
 320.3465	     14.9	    0.21
 320.3572	     11.2	    0.16
 320.3590	      6.5	    0.09
 320.3619	     11.2	    0.16
 320.3629	      7.6	    0.11
 320.3751	     17.4	    0.25
 320.3768	      9.3	    0.13
 320.3784	     13.9	    0.20
 320.3859	     11.8	    0.17
 320.4025	      5.3	    0.08
 320.4276	      6.3	    0.09
 320.4400	      4.9	    0.07
 320.4832	     24.0	    0.34
 320.4967	      7.6	    0.11
 320.4977	      7.4	    0.11
 320.5040	      6.3	    0.09
 320.5057	     12.5	    0.18
 320.5109	     12.5	    0.18
 320.5141	     33.7	    0.48
 320.5160	      4.9	    0.07
 320.5180	      7.1	    0.10
 320.5219	      7.8	    0.11
 320.5237	      9.3	    0.13
 320.5263	     24.2	    0.34
 320.5286	     20.8	    0.30
 320.5390	     19.1	    0.27
 320.5480	      5.7	    0.08
 320.6653	     15.6	    0.22
 320.6718	      8.5	    0.12
 320.6771	      6.9	    0.10
 320.7015	      7.7	    0.11
 320.7046	     15.9	    0.23
 320.7173	     24.4	    0.35
 320.7213	     12.6	    0.18
 320.7286	     12.2	    0.17
 320.7360	      4.0	    0.06
 320.7517	     14.5	    0.21
 320.7716	     10.3	    0.15
 320.7832	      8.8	    0.13
 320.8159	     15.6	    0.22
 320.8169	      5.1	    0.07
 320.9124	      8.0	    0.11
 320.9224	      7.2	    0.10
 320.9882	    146.9	    2.09
 320.9900	      8.2	    0.12
 320.9917	      7.4	    0.10
 320.9959	     11.0	    0.16
 321.0029	     34.7	    0.49
 321.0053	     23.1	    0.33
 321.0069	     20.8	    0.30
 321.0113	     14.4	    0.20
 321.0142	     61.1	    0.87
 321.0157	     11.7	    0.17
 321.0177	     32.3	    0.46
 321.0207	     17.9	    0.25
 321.0212	     18.7	    0.27
 321.0221	      7.8	    0.11
 321.0229	     16.7	    0.24
 321.0246	   2074.6	   29.47
 321.0262	     10.7	    0.15
 321.0297	     13.5	    0.19
 321.0322	     62.0	    0.88
 321.0332	     15.4	    0.22
 321.0340	     13.2	    0.19
 321.0353	     17.2	    0.24
 321.0399	    165.1	    2.34
 321.0428	     26.4	    0.38
 321.0430	     26.0	    0.37
 321.0435	     14.5	    0.21
 321.0461	      7.8	    0.11
 321.0507	     18.2	    0.26
 321.0567	     11.5	    0.16
 321.0610	   1272.6	   18.08
 321.0625	     11.2	    0.16
 321.0672	     22.9	    0.33
 321.0705	     17.5	    0.25
 321.0721	      9.9	    0.14
 321.0764	     39.1	    0.56
 321.0780	     14.5	    0.21
 321.0794	     31.6	    0.45
 321.0806	     12.5	    0.18
 321.0820	     71.6	    1.02
 321.0974	    453.1	    6.44
 321.1168	     19.0	    0.27
 321.1227	     14.5	    0.21
 321.1337	    150.9	    2.14
 321.1613	      6.4	    0.09
 321.1704	     33.0	    0.47
 321.1722	     11.0	    0.16
 321.2194	     36.3	    0.52
 321.2574	      9.9	    0.14
 321.2618	     19.9	    0.28
 321.2744	      8.2	    0.12
 321.3248	     14.5	    0.21
 321.3398	     23.1	    0.33
 321.3416	      9.8	    0.14
 321.3519	     19.7	    0.28
 321.3599	      5.9	    0.08
 321.3641	     11.9	    0.17
 321.3651	     12.5	    0.18
 321.3672	     22.8	    0.32
 321.3680	      9.6	    0.14
 321.3740	     14.4	    0.20
 321.3836	      8.5	    0.12
 321.4014	      7.9	    0.11
 321.4064	      5.2	    0.07
 321.4178	     19.0	    0.27
 321.4433	     11.9	    0.17
 321.4612	      6.2	    0.09
 321.4624	      9.7	    0.14
 321.4885	     14.0	    0.20
 321.5010	      9.3	    0.13
 321.5051	     16.2	    0.23
 321.5082	     18.5	    0.26
 321.5093	     11.2	    0.16
 321.5139	     16.6	    0.24
 321.5157	     17.6	    0.25
 321.5198	     16.7	    0.24
 321.5235	      7.3	    0.10
 321.5265	     11.2	    0.16
 321.5277	     11.3	    0.16
 321.5298	     23.3	    0.33
 321.5339	      5.7	    0.08
 321.5470	      6.5	    0.09
