Name,m/z,I,I %,Res.,S/N
FA-HQ-250-NaOD,206.87941999999998,3557364,1.4,1016519,4.4
FA-HQ-250-NaOD,206.88651000000002,3727748,1.5,1133314,4.7
FA-HQ-250-NaOD,206.89934,3805292,1.5,935815,4.8
FA-HQ-250-NaOD,206.92343,3697529,1.5,1046923,4.6
FA-HQ-250-NaOD,206.9691,3427795,1.4,1063007,4.1
FA-HQ-250-NaOD,206.9798,4041446,1.6,1081221,5.3
FA-HQ-250-NaOD,206.98717,3829027,1.5,965201,4.9
FA-HQ-250-NaOD,206.99348,7242600,2.9,1106329,11.5
FA-HQ-250-NaOD,207.0299,5266987,2.1,1113360,7.7
FA-HQ-250-NaOD,207.0483,3614487,1.4,1118296,4.5
FA-HQ-250-NaOD,207.06628999999998,5965417,2.4,919520,9.0
FA-HQ-250-NaOD,207.10232,3592945,1.4,969360,4.4
FA-HQ-250-NaOD,207.12804,3407547,1.3,1184237,4.1
FA-HQ-250-NaOD,207.13173999999998,4695902,1.9,1029740,6.6
FA-HQ-250-NaOD,207.15632,3399311,1.3,1111290,4.1
FA-HQ-250-NaOD,207.1685,3376846,1.3,1234500,4.0
FA-HQ-250-NaOD,207.18068,3730607,1.5,1034064,4.7
FA-HQ-250-NaOD,207.21884,3442341,1.4,1110935,4.1
FA-HQ-250-NaOD,207.23078,3473097,1.4,1434912,4.2
FA-HQ-250-NaOD,207.23205,4297695,1.7,935674,5.8
FA-HQ-250-NaOD,207.25008,3937351,1.6,1135884,5.1
FA-HQ-250-NaOD,207.30237,4217636,1.7,689637,5.6
FA-HQ-250-NaOD,207.31909,3534307,1.4,1079294,4.3
FA-HQ-250-NaOD,207.32383000000002,4124072,1.6,1115276,5.5
FA-HQ-250-NaOD,207.32457,3796257,1.5,936803,4.8
FA-HQ-250-NaOD,207.32763,3960532,1.6,841332,5.1
FA-HQ-250-NaOD,207.3337,3615895,1.4,1214653,4.5
FA-HQ-250-NaOD,207.35517,3702929,1.5,1413614,4.6
FA-HQ-250-NaOD,207.40749,4103197,1.6,1271552,5.4
FA-HQ-250-NaOD,207.4146,3808738,1.5,773760,4.9
FA-HQ-250-NaOD,207.45706,3392554,1.3,1006918,4.0
FA-HQ-250-NaOD,207.46065,3923865,1.5,1050215,5.1
FA-HQ-250-NaOD,207.47133,4660316,1.8,1005441,6.5
FA-HQ-250-NaOD,207.47432,3674971,1.5,618536,4.6
FA-HQ-250-NaOD,207.47757,3444207,1.4,913216,4.1
FA-HQ-250-NaOD,207.49788999999998,3553205,1.4,901877,4.4
FA-HQ-250-NaOD,207.50621999999998,3719504,1.5,1175117,4.7
FA-HQ-250-NaOD,207.51408,3642025,1.4,1285690,4.5
FA-HQ-250-NaOD,207.51727,3421698,1.4,1428396,4.1
FA-HQ-250-NaOD,207.51953,4274801,1.7,868917,5.8
FA-HQ-250-NaOD,207.53991000000002,3584090,1.4,1238577,4.4
FA-HQ-250-NaOD,207.54352,3732508,1.5,1019860,4.7
FA-HQ-250-NaOD,207.54541,3430724,1.4,737975,4.1
FA-HQ-250-NaOD,207.55153,3630727,1.4,986640,4.5
