Name,m/z,I,I %,Res.,S/N
FA-NaOD,652.13032,7876036,2.1,330688,5.3
FA-NaOD,652.1388599999999,17740248,4.7,308742,15.0
FA-NaOD,652.1418,19765726,5.3,300480,17.0
FA-NaOD,652.15984,11319817,3.0,412674,8.7
FA-NaOD,652.1628,10110480,2.7,321195,7.5
FA-NaOD,652.1752799999999,11663917,3.1,310313,9.0
FA-NaOD,652.1782099999999,14901812,4.0,317736,12.2
FA-NaOD,652.19825,8725090,2.3,150952,6.2
FA-NaOD,652.20481,6820467,1.8,410252,4.3
FA-NaOD,652.21492,8499850,2.3,379589,5.9
FA-NaOD,652.23532,8905401,2.4,299686,6.3
FA-NaOD,652.4988099999999,7540001,2.0,334697,5.0
FA-NaOD,652.89488,6532281,1.7,271337,4.0
FA-NaOD,653.0568900000001,7975472,2.1,367635,5.4
FA-NaOD,653.0785599999999,16085601,4.3,354001,13.4
FA-NaOD,653.0813,6666856,1.8,361888,4.1
FA-NaOD,653.09279,7863939,2.1,182386,5.3
FA-NaOD,653.09956,10379922,2.8,333550,7.8
FA-NaOD,653.11106,8446636,2.2,177181,5.9
FA-NaOD,653.11493,44458676,11.8,327293,41.2
FA-NaOD,653.1303,15047385,4.0,307336,12.3
FA-NaOD,653.1359,15422182,4.1,383003,12.7
FA-NaOD,653.1439799999999,9984760,2.7,224762,7.4
FA-NaOD,653.15131,45261576,12.0,318542,42.0
FA-NaOD,653.15388,7238416,1.9,536550,4.7
FA-NaOD,653.1666299999999,11395884,3.0,259955,8.8
FA-NaOD,653.17235,15700794,4.2,373038,13.0
FA-NaOD,653.1876599999999,24646494,6.6,343100,21.8
FA-NaOD,653.20304,6857601,1.8,374882,4.3
FA-NaOD,653.20868,15623054,4.2,322382,12.9
FA-NaOD,653.2241799999999,13765553,3.7,336742,11.1
FA-NaOD,653.24544,11066338,2.9,388835,8.4
FA-NaOD,653.28157,7046198,1.9,394623,4.5
FA-NaOD,653.30154,95593568,25.4,312871,91.3
FA-NaOD,653.36286,7578864,2.0,248756,5.0
FA-NaOD,653.5244299999999,6743651,1.8,204236,4.2
FA-NaOD,653.55677,6871726,1.8,247713,4.3
FA-NaOD,653.58599,6932209,1.8,357867,4.4
FA-NaOD,653.60062,8111890,2.2,281317,5.5
FA-NaOD,653.61279,7714606,2.1,445725,5.2
FA-NaOD,653.61986,7536190,2.0,194898,5.0
FA-NaOD,653.6571,7218067,1.9,410747,4.7
FA-NaOD,653.72857,6669367,1.8,370177,4.1
FA-NaOD,653.7886599999999,7615680,2.0,258695,5.1
FA-NaOD,653.8164400000001,8638719,2.3,275157,6.1
FA-NaOD,653.83194,6603043,1.8,451426,4.1
FA-NaOD,653.84411,6910270,1.8,367114,4.4
FA-NaOD,653.85946,9687393,2.6,316681,7.1
FA-NaOD,653.86364,9411947,2.5,247474,6.8
FA-NaOD,653.8801599999999,8724880,2.3,414716,6.1
FA-NaOD,653.88815,8369571,2.2,232804,5.8
FA-NaOD,653.8936,7047599,1.9,473999,4.5
FA-NaOD,653.90656,7258573,1.9,226930,4.7
FA-NaOD,653.91448,7675359,2.0,275915,5.1
FA-NaOD,653.9209599999999,10057197,2.7,262508,7.5
FA-NaOD,653.93987,9224728,2.5,348686,6.6
FA-NaOD,653.95013,9434672,2.5,207482,6.8
FA-NaOD,653.95948,6639173,1.8,382144,4.1
FA-NaOD,653.96398,9840207,2.6,206571,7.2
FA-NaOD,653.97007,6963805,1.9,515760,4.4
FA-NaOD,653.98838,13654663,3.6,203678,11.0
FA-NaOD,653.9954700000001,9106071,2.4,318674,6.5
FA-NaOD,654.00329,10400425,2.8,212165,7.8
FA-NaOD,654.0167299999999,6912712,1.8,391233,4.4
FA-NaOD,654.0232900000001,11095254,3.0,225587,8.5
FA-NaOD,654.04315,8908547,2.4,150079,6.3
FA-NaOD,654.04637,9582859,2.6,246953,7.0
FA-NaOD,654.05197,7041816,1.9,504660,4.5
FA-NaOD,654.0827,9458525,2.5,202456,6.9
FA-NaOD,654.0974,6742911,1.8,390251,4.2
FA-NaOD,654.1024,8648586,2.3,328371,6.1
FA-NaOD,654.10954,11037594,2.9,341323,8.4
FA-NaOD,654.11497,8727463,2.3,469533,6.2
FA-NaOD,654.1173200000001,12415916,3.3,273874,9.8
FA-NaOD,654.12108,20585396,5.5,294098,17.8
FA-NaOD,654.12825,8180677,2.2,341698,5.6
FA-NaOD,654.1322700000001,6680526,1.8,426046,4.1
FA-NaOD,654.13653,12669911,3.4,265959,10.0
