mass	z	intensity	Res.	
220.08768		495828	1285909	
220.09074		577791	1501816	
220.12111		494398	1375275	
220.14186		507889	1288833	
220.14219		510562	1489974	
220.25738		515449	1272136	
220.27005		502469	1108909	
220.31445		506498	1491111	
220.33025		522709	1278753	
220.34543		501646	1350706	
220.37238		594676	1626191	
220.44424		565877	962568	
220.45746		506013	768506	
220.50654		702711	1492506	
220.50757		606732	901378	
220.52470		630434	1075815	
220.53735		492053	1382877	
220.54945		499293	1309053	
220.56518		507828	1353625	
220.57568		519848	1093076	
220.58522		537249	1324263	
220.59123		499677	1095533	
220.65600		525492	1079360	
220.71625		573868	1506206	
220.72015		520616	1183391	
220.72997		495687	1506107	
220.80653		554645	1338220	
220.87560		513912	1354873	
220.88043		537036	1166054	
220.92151		488792	1335305	
220.94245		497262	1252350	
220.95001		568596	1018217	
220.99862		589594	673496	
221.00891		735288	2275899	
221.00912		2577084	1338818	
221.00981		583444	1796103	
221.01009		732848	1138391	
221.01421		546134	1476756	
221.01675		2062044	1236387	
221.02732		524120	1282222	
221.03050		510717	1309255	
221.03497		514494	1349630	
221.04005		497697	1475951	
221.04550		1630935	1243095	
221.04888		908923	1583391	
221.05863		547391	1468588	
221.06168		524657	1216342	
221.06592		676021	1248469	
221.08190		14718306	1151279	
221.08312		517664	1359068	
221.08526		652998	1546516	
221.09521		514848	1119674	
221.10244		525583	1826387	
221.10303		6924945	1183445	
221.11828		1759461	1111730	
221.11853		515237	1967490	
221.13115		618550	1401712	
221.13941		10416640	1170600	
221.16693		502479	1443182	
221.24720		491343	1540999	
221.30956		489979	1316098	
221.36314		499375	1192700	
221.41678		513599	1138339	
221.42449		489878	1387952	
221.43196		613863	1320154	
221.43233		498723	1148495	
221.45097		533113	1304416	
221.45291		611004	1208265	
221.46711		495200	1353329	
221.48905		548280	1261935	
221.51441		748385	1167487	
221.51839		528857	1055579	
221.52496		497945	1340114	
221.54553		494538	1180216	
221.54769		499599	1371510	
221.56539		527629	1439263	
221.58466		499222	1247298	
221.65276		606444	974597	
221.69420		491530	1242137	
221.72747		526744	1031928	
221.73629		602969	1409076	
221.75079		511022	1280628	
221.75386		640666	1418815	
221.78823		649660	1124385	
221.82022		517285	1502152	
221.82276		500548	1054365	
221.83844		496384	1474503	
221.87427		523301	1341035	
221.88193		493757	1295764	
221.92258		490185	1780835	
221.93808		506581	981732	
221.95917		548492	1219306	
222.00348		507176	1093811	
222.00640		3041773	1017383	
222.02458		1227817	1259305	
222.04076		495332	1448101	
222.04279		560823	1396301	
222.04974		506291	954245	
222.07589		506962	1043627	
222.07713		580689	1872775	
222.08525		1708215	1288211	
222.08579		569343	1134705	
222.08900		562214	997377	
222.10639		656306	1415870	
222.14276		1028555	1317202	
222.15741		572234	1189755	
222.19259		574611	1268160	
222.22987		510591	1189933	
222.23662		611315	919266	
222.26176		529202	833292	
222.35306		533790	1474565	
222.37012		509740	1390425	
222.37095		518476	845822	
222.37575		535685	1422035	
222.39414		524197	1543349	
222.45645		578989	1267076	
222.49473		562191	1415246	
222.50399		820480	1072856	
222.50806		766844	1436568	
222.50828		603242	1573388	
222.52220		717754	1214930	
222.52622		596593	1000737	
222.59400		609986	1225536	
222.62579		521052	1018585	
222.69405		541282	1375489	
222.71749		526972	1360023	
222.73944		513961	1099864	
222.74108		602509	1113515	
222.74277		569957	1427249	
222.75421		514452	1317765	
222.87127		507472	1446606	
222.89123		1022552	1407372	
222.89840		542208	1399086	
222.90447		628498	1160973	
222.90592		668899	1673724	
222.93022		505761	1186494	
222.93756		495530	1283451	
222.94141		547019	848331	
222.95022		2360847	1198470	
222.98932		728696	900813	
222.99372		515117	1314672	
222.99605		811790	1072674	
222.99961		602869	1138636	
223.00953		556077	1036126	
223.01422		3617357	1100493	
223.02477		3976037	1130937	
223.02810		866495	1254046	
223.02834		1035169	1489021	
223.03239		915859	1012873	
223.06117		1170930	801030	
223.06457		824276	771790	
223.06602		494067	1183878	
223.07239		790076	1355823	
223.07422		1212260	998481	
223.07612		500350	1532370	
223.07910		560096	1552126	
223.08230		819364	1111934	
223.08507		491964	1003945	
223.08931		496808	894676	
223.09588		508369	1025762	
223.09753		1528700	1121133	
223.10092		907960	1403539	
223.11869		1030979	1062712	
223.13393		2294267	1099399	
223.16025		523575	1617248	
223.17033		1071006	1401261	
223.20353		583760	1177176	
223.26027		572047	1321691	
223.27219		536151	1380569	
223.28330		517230	1217272	
223.29275		500509	995414	
223.29637		510331	1265935	
223.31520		510746	1577325	
223.32875		530044	1421842	
223.33254		563958	1205644	
223.37563		531393	1420074	
223.45761		586512	1424110	
223.51182		961271	1028114	
223.51593		692865	1244471	
223.53341		576270	1221256	
223.55054		610842	1246505	
223.60556		626753	671679	
223.62789		498015	1429627	
223.64866		516735	1464334	
223.70336		508962	1143976	
223.72492		572242	1427961	
223.72628		629950	1124378	
223.76912		544373	1505152	
223.83166		555557	1131642	
223.83935		595454	1212370	
223.85815		575747	1074117	
223.88966		505136	1398744	
223.90377		620952	1040421	
223.95565		496114	1063643	
223.96234		523921	1362447	
223.96437		501418	1093049	
223.97828		496669	1518915	
224.00385		2995535	1144914	
224.00608		543400	888539	
224.01148		522673	1682789	
224.02006		674212	1465702	
224.02204		849440	1174821	
224.02808		525668	1401798	
224.02967		679076	1083042	
224.03525		600690	1051582	
224.09282		506307	996142	
224.13425		526699	1191598	
224.13728		557249	1059155	
224.18704		550317	1530681	
224.20419		508601	1180008	
224.22707		535651	1318934	
224.24183		565799	1245558	
224.26378		528180	845600	
224.27233		524968	1387935	
224.27421		524652	1049145	
224.29451		536822	936434	
224.42196		511219	1130163	
224.42293		573995	969264	
224.49966		539267	1262335	
224.50143		619573	1115727	
224.50551		918015	1124831	
224.52718		501319	1177525	
224.54099		529600	1098259	
224.54414		548705	1410765	
224.56184		515005	1258413	
224.59073		542013	1100592	
224.60128		530109	850751	
224.60376		508683	1513161	
224.62242		548530	1221076	
224.71094		536106	1111755	
224.76308		550882	1408521	
224.78510		570323	654249	
224.80026		563872	1052687	
224.80344		762614	1581371	
224.80723		506778	1130262	
224.81668		545724	1211733	
224.88636		535467	908469	
224.89964		570827	938402	
