mass,intensity,C,O,H,N,assign,numbers,calculated_mass,abs_error,rel_error
222.988422,1.0,9.0,7.0,4.0,0.0,1.0,1.0,223.995705,-6.5799999726667835e-06,-0.029508258382431995
223.024816,1.0,10.0,6.0,8.0,0.0,1.0,1.0,224.03209,2.4199999761886914e-06,0.010850810325020922
223.024818,1.0,10.0,6.0,8.0,0.0,1.0,1.0,224.03209,4.419999999560886e-06,0.01981842217918943
223.040066,1.0,14.0,3.0,8.0,0.0,1.0,1.0,224.047345,-2.580000011187522e-06,-0.011567428478018484
223.061204,1.0,11.0,5.0,12.0,0.0,1.0,1.0,224.068475,5.419999997036129e-06,0.024298263883826828
223.076452,1.0,15.0,2.0,12.0,0.0,1.0,1.0,224.08373,-1.5800000137122794e-06,-0.007082773639022551
223.097584,1.0,12.0,4.0,16.0,0.0,1.0,1.0,224.10486,4.2000000965991546e-07,0.0018825843029295893
223.13396,1.0,13.0,3.0,20.0,0.0,1.0,1.0,224.141245,-8.579999996038978e-06,-0.0384522373736341
,,,,,,,,,,
,,,,,,,,,,
225.040459,1.0,10.0,6.0,10.0,0.0,1.0,1.0,226.04774,-4.5800000061380075e-06,-0.02035189595013227
225.076845,1.0,11.0,5.0,14.0,0.0,1.0,1.0,226.08412500000003,-3.5800000370844742e-06,-0.015905678956378094
225.092101,1.0,15.0,2.0,14.0,0.0,1.0,1.0,226.09938,-2.5799999827658127e-06,-0.011461974770788658
225.113232,1.0,12.0,4.0,18.0,0.0,1.0,1.0,226.12051,-1.57999998529057e-06,-0.007018689977720057
,,,,,,,,,,
,,,,,,,,,,
227.019725,1.0,9.0,7.0,8.0,0.0,1.0,1.0,228.027005,-3.580000008662765e-06,-0.01576955486428664
,,,,,,,,,,
227.034977,1.0,13.0,4.0,8.0,0.0,1.0,1.0,228.04226,-6.580000001088493e-06,-0.028982318442891262
227.056108,1.0,10.0,6.0,12.0,0.0,1.0,1.0,228.06339,-5.58000000361325e-06,-0.02457542346146993
227.071368,1.0,14.0,3.0,12.0,0.0,1.0,1.0,228.078645,-5.799999878153272e-07,-0.0025542629743408565
227.092496,1.0,11.0,5.0,16.0,0.0,1.0,1.0,228.09977500000002,-2.580000011187522e-06,-0.011361009529735944
227.107751,1.0,15.0,2.0,16.0,0.0,1.0,1.0,228.11503000000002,-2.580000011187522e-06,-0.0113602464021033
,,,,,,,,,,
,,,,,,,,,,
229.014247,1.0,12.0,5.0,6.0,0.0,1.0,1.0,230.02152500000003,-1.5800000137122794e-06,-0.0068991341561046166
229.035374,1.0,9.0,7.0,10.0,0.0,1.0,1.0,230.042655,-4.5800000061380075e-06,-0.01999691107164087
229.050631,1.0,13.0,4.0,10.0,0.0,1.0,1.0,230.05791,-2.5799999827658127e-06,-0.011263885069872663
229.071758,1.0,10.0,6.0,14.0,0.0,1.0,1.0,230.07904000000002,-5.58000003203496e-06,-0.024359179327706388
229.087012,1.0,14.0,3.0,14.0,0.0,1.0,1.0,230.094295,-6.580000001088493e-06,-0.02872271083219896
229.108145,1.0,11.0,5.0,18.0,0.0,1.0,1.0,230.11542500000002,-3.580000008662765e-06,-0.015625808539730286
229.1234,1.0,15.0,2.0,18.0,0.0,1.0,1.0,230.13068,-3.580000008662765e-06,-0.015624768175850937
,,,,,,,,,,
,,,,,,,,,,
231.029894,1.0,12.0,5.0,8.0,0.0,1.0,1.0,232.03717500000002,-4.5800000061380075e-06,-0.019824274369177552
231.051021,1.0,9.0,7.0,12.0,0.0,1.0,1.0,232.058305,-7.579999998563736e-06,-0.03280660680812891
231.066286,1.0,13.0,4.0,12.0,0.0,1.0,1.0,232.07356,2.420000004610401e-06,0.01047318519072229
231.102668,1.0,14.0,3.0,16.0,0.0,1.0,1.0,232.109945,-5.800000162370367e-07,-0.0025097071412305666
231.13905,1.0,15.0,2.0,20.0,0.0,1.0,1.0,232.14633,-3.580000008662765e-06,-0.015488512255556839
,,,,,,,,,,
,,,,,,,,,,
232.061531,1.0,12.0,4.0,11.0,1.0,1.0,1.0,233.068809,-1.57999998529057e-06,-0.006808539004642566
233.00916,1.0,11.0,6.0,6.0,0.0,1.0,1.0,234.01644000000002,-3.580000008662765e-06,-0.015364202886542163
233.045544,1.0,12.0,5.0,10.0,0.0,1.0,1.0,234.052825,-4.5800000061380075e-06,-0.01965281089492965
233.081932,1.0,13.0,4.0,14.0,0.0,1.0,1.0,234.08920999999998,-1.57999998529057e-06,-0.006778732146816811
233.118314,1.0,14.0,3.0,18.0,0.0,1.0,1.0,234.125595,-4.5800000061380075e-06,-0.01964667609142887
233.154699,1.0,15.0,2.0,22.0,0.0,1.0,1.0,234.16198,-4.5800000061380075e-06,-0.019643610125730335
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
234.988418,1.0,10.0,7.0,4.0,0.0,1.0,1.0,235.995705,-1.0579999990989464e-05,-0.04502349554516965
235.02481,1.0,11.0,6.0,8.0,0.0,1.0,1.0,236.03209,-3.580000008662765e-06,-0.01523243443389132
235.040066,1.0,15.0,3.0,8.0,0.0,1.0,1.0,236.047345,-2.580000011187522e-06,-0.01097685196866615
235.061191,1.0,12.0,5.0,12.0,0.0,1.0,1.0,236.068475,-7.579999998563736e-06,-0.032246922455879734
235.076449,1.0,16.0,2.0,12.0,0.0,1.0,1.0,236.08373,-4.5800000061380075e-06,-0.019483023610493654
235.097575,1.0,13.0,4.0,16.0,0.0,1.0,1.0,236.10486,-8.579999996038978e-06,-0.03649548488979088
235.097581,1.0,13.0,4.0,16.0,0.0,1.0,1.0,236.10486,-2.580000011187522e-06,-0.010974166557619843
235.133972,1.0,14.0,3.0,20.0,0.0,1.0,1.0,236.141245,3.4200000020856436e-06,0.014544899543846619
235.133975,1.0,14.0,3.0,20.0,0.0,1.0,1.0,236.141245,6.419999994511372e-06,0.027303582965887307
,,,,,,,,,,
,,,,,,,,,,
236.056448,1.0,11.0,5.0,11.0,1.0,1.0,1.0,237.063724,4.1999998123820603e-07,0.0017792353684751119
