peakNo,mass,intensity,errorPPM,DBE,class,formula,z,C,H,O,N,S
883,409.006886037,0.004890146306089338,-0.2680443868275794,16.0,N1O10,H7_C19_N_O10,0,19,7,10,1,0
901,411.02259603699997,0.015094623797860762,-0.1209325241637023,15.0,N1O10,H9_C19_N_O10,0,19,9,10,1,0
922,413.038306037,0.005939175116408463,0.024743467686575652,14.0,N1O10,H11_C19_N_O10,0,19,11,10,1,0
1004,423.022766037,0.005165807919356806,0.2843676739325771,16.0,N1O10,H9_C20_N_O10,0,20,9,10,1,0
1021,425.038246037,0.00489848522669589,-0.11711887198565216,15.0,N1O10,H11_C20_N_O10,0,20,11,10,1,0
1099,435.022666037,0.012158622990631432,0.046650442857252054,17.0,N1O10,H9_C21_N_O10,0,21,9,10,1,0
1115,437.038336037,0.011872395530575808,0.09202854019224284,16.0,N1O10,H11_C21_N_O10,0,21,11,10,1,0
1124,438.041646037,0.004541101801906046,-0.010546942310036635,16.0,N1O10,H11_C20_13C_N_O10,0,21,11,10,1,0
1137,439.053926037,0.0071321783810121215,-0.04521995781882912,15.0,N1O10,H13_C21_N_O10,0,21,13,10,1,0
1208,447.022716037,0.006532126717688232,0.15724927948672582,18.0,N1O10,H9_C22_N_O10,0,22,9,10,1,0
1228,449.038296037,0.008188909151639192,4.899360762257082E-4,17.0,N1O10,H11_C22_N_O10,0,22,11,10,1,0
1248,451.054086037,0.00588536609338451,0.3107077495067013,16.0,N1O10,H13_C22_N_O10,0,22,13,10,1,0
1307,459.022696037,0.006281401515744036,0.10956756700460671,19.0,N1O10,H9_C23_N_O10,0,23,9,10,1,0
1324,461.038286037,0.01591989838952195,-0.021212988740756163,18.0,N1O10,H11_C23_N_O10,0,23,11,10,1,0
1341,463.053886037,0.008810418293279275,-0.129259254339782,17.0,N1O10,H13_C23_N_O10,0,23,13,10,1,0
1359,465.06951603699997,0.004358315136031769,-0.17186247912377722,16.0,N1O10,H15_C23_N_O10,0,23,15,10,1,0
1417,473.03826603699997,0.011800430217205284,-0.0629547377352752,19.0,N1O10,H11_C24_N_O10,0,24,11,10,1,0
1437,475.053976037,0.01047049314969116,0.0634580521214637,18.0,N1O10,H13_C24_N_O10,0,24,13,10,1,0
1460,477.069366037,0.006904568312473158,-0.4819592627868051,17.0,N1O10,H15_C24_N_O10,0,24,15,10,1,0
1502,483.022666037,0.004360638482809032,0.042014591551308225,21.0,N1O10,H9_C25_N_O10,0,25,9,10,1,0
1514,485.03826603699997,0.013836666652898325,-0.061397217626612946,20.0,N1O10,H11_C25_N_O10,0,25,11,10,1,0
1529,487.053896037,0.01064572735587804,-0.10235828191157288,19.0,N1O10,H13_C25_N_O10,0,25,13,10,1,0
1546,489.069686037,0.005811196254576829,0.18417007352140458,18.0,N1O10,H15_C25_N_O10,0,25,15,10,1,0
1593,497.038326037,0.00820729431915728,0.06080014046982474,21.0,N1O10,H11_C26_N_O10,0,26,11,10,1,0
1606,499.053916037,0.008453041686107308,-0.05982119172094323,20.0,N1O10,H13_C26_N_O10,0,26,13,10,1,0
1621,501.069386037,0.006537578377124716,-0.41895994007407034,19.0,N1O10,H15_C26_N_O10,0,26,15,10,1,0
1632,503.085056037,0.0047537442773731235,-0.37767371067184974,18.0,N1O10,H17_C26_N_O10,0,26,17,10,1,0
1666,509.038406037,0.009204546730524617,0.21652590209336342,22.0,N1O10,H11_C27_N_O10,0,27,11,10,1,0
1678,511.05393603699997,0.01344744592657758,-0.019281722233166817,21.0,N1O10,H13_C27_N_O10,0,27,13,10,1,0
1697,515.085326037,0.006884624832297922,0.1553101903757154,19.0,N1O10,H17_C27_N_O10,0,27,17,10,1,0
1731,521.038276037,0.005824901127423722,-0.03796266207696348,23.0,N1O10,H11_C28_N_O10,0,28,11,10,1,0
1741,523.053746037,0.010195342370791612,-0.38209075363688944,22.0,N1O10,H13_C28_N_O10,0,28,13,10,1,0
1749,525.069596037,0.008949854648922576,1.3712474483847762E-4,21.0,N1O10,H15_C28_N_O10,0,28,15,10,1,0
1763,529.101046037,0.006403966215037499,0.2833560831021025,19.0,N1O10,H19_C28_N_O10,0,28,19,10,1,0
1773,533.038246037,0.006490683879544142,-0.09338917103362622,24.0,N1O10,H11_C29_N_O10,0,29,11,10,1,0
1778,535.053796037,0.007923895683547084,-0.28007277237981476,23.0,N1O10,H13_C29_N_O10,0,29,13,10,1,0
1789,537.069546037,0.00964630986386268,-0.09296375175521551,22.0,N1O10,H15_C29_N_O10,0,29,15,10,1,0
1817,545.038426037,0.0054847151437236,0.2389189346162494,25.0,N1O10,H11_C30_N_O10,0,30,11,10,1,0
1823,547.053936037,0.008368399986243606,-0.01801284917574482,24.0,N1O10,H13_C30_N_O10,0,30,13,10,1,0
1832,551.085066037,0.008553704301004585,-0.3266319683817525,22.0,N1O10,H17_C30_N_O10,0,30,17,10,1,0
1839,553.100836037,0.0056104889931453735,-0.1086167223769302,21.0,N1O10,H19_C30_N_O10,0,30,19,10,1,0
1857,561.069486037,0.008162890199991907,-0.1959258214017757,24.0,N1O10,H15_C31_N_O10,0,31,15,10,1,0
1862,563.085176037,0.007106629844998214,-0.12431866952789969,23.0,N1O10,H17_C31_N_O10,0,31,17,10,1,0
1884,575.085146037,0.006356597406041906,-0.17389077190199798,24.0,N1O10,H17_C32_N_O10,0,32,17,10,1,0
1887,577.100686037,0.005458235515897048,-0.36401966782074463,23.0,N1O10,H19_C32_N_O10,0,32,19,10,1,0
1894,581.132266037,0.005761097963567704,0.12006905159119881,21.0,N1O10,H23_C32_N_O10,0,32,23,10,1,0
1901,589.101076037,0.006095385733860528,0.3054212720482504,24.0,N1O10,H19_C33_N_O10,0,33,19,10,1,0
489,356.060836037,0.00462410776045245,0.45879238454607457,3.0,N1O10S1,H17_C10_13C_N_O10_S,0,11,17,10,1,1
1036,427.017596037,0.004717670800278312,0.08349538828833801,15.0,N1O11,H9_C19_N_O11,0,19,9,11,1,0
1135,439.017736037,0.005318460714223525,0.4001068423202368,16.0,N1O11,H9_C20_N_O11,0,20,9,11,1,0
1154,441.033346037,0.005980766481227688,0.3074143967204711,15.0,N1O11,H11_C20_N_O11,0,20,11,11,1,0
1247,451.017646037,0.006022901307586092,0.18991274696416427,17.0,N1O11,H9_C21_N_O11,0,21,9,11,1,0
1266,453.03333603699997,0.005607813565102136,0.2771981441200675,16.0,N1O11,H11_C21_N_O11,0,21,11,11,1,0
1339,463.017526037,0.006371873252836284,-0.07417861747882788,18.0,N1O11,H9_C22_N_O11,0,22,9,11,1,0
1396,469.064596037,0.005014365738635607,0.18213269710283317,15.0,N1O11,H15_C22_N_O11,0,22,15,11,1,0
1457,477.033236037,0.00935189395776646,0.05362309807088008,18.0,N1O11,H11_C23_N_O11,0,23,11,11,1,0
1472,479.048906037,0.005364106126814855,0.09499238903497276,17.0,N1O11,H13_C23_N_O11,0,23,13,11,1,0
1528,487.017516037,0.005356839520105502,-0.09105627305871929,20.0,N1O11,H9_C24_N_O11,0,24,9,11,1,0
1544,489.033136037,0.007400825152458906,-0.15217782700554267,19.0,N1O11,H11_C24_N_O11,0,24,11,11,1,0
1559,491.04882603699997,0.005388201536275974,-0.0702455604155119,18.0,N1O11,H13_C24_N_O11,0,24,13,11,1,0
1619,501.033076037,0.008857248510462741,-0.2682856809735548,20.0,N1O11,H11_C25_N_O11,0,25,11,11,1,0
1686,513.033336037,0.005495001468178879,0.24477941531223588,21.0,N1O11,H11_C26_N_O11,0,26,11,11,1,0
1695,515.049056037,0.007153806786747896,0.37958714374226604,20.0,N1O11,H13_C26_N_O11,0,26,13,11,1,0
1710,517.064616037,0.00599815578956332,0.20390488281571004,19.0,N1O11,H15_C26_N_O11,0,26,15,11,1,0
1755,527.048936037,0.00737713344337053,0.14326183939937756,21.0,N1O11,H13_C27_N_O11,0,27,13,11,1,0
1761,529.064536037,0.008547115073328384,0.04806975009130028,20.0,N1O11,H15_C27_N_O11,0,27,15,11,1,0
1803,541.064446037,0.0063161879239785855,-0.11933513732717486,21.0,N1O11,H15_C28_N_O11,0,28,15,11,1,0
1831,551.048826037,0.006119158280417995,-0.06259699375022126,23.0,N1O11,H13_C29_N_O11,0,29,13,11,1,0
1838,553.064466037,0.008624302681991169,-0.08058373437101407,22.0,N1O11,H15_C29_N_O11,0,29,15,11,1,0
1861,563.049026037,0.007470564026620535,0.2939459840561291,24.0,N1O11,H13_C30_N_O11,0,30,13,11,1,0
1867,567.080296037,0.005468829607102114,0.2386928289089164,22.0,N1O11,H17_C30_N_O11,0,30,17,11,1,0
1886,577.064776037,0.007702111756455024,0.4599691594673626,24.0,N1O11,H15_C31_N_O11,0,31,15,11,1,0
1904,591.080236037,0.006002407548253801,0.1274919975483191,24.0,N1O11,H17_C32_N_O11,0,32,17,11,1,0
1377,467.012506037,0.004324159844423363,0.06640935649503452,17.0,N1O12,H9_C21_N_O12,0,21,9,12,1,0
1654,507.043806037,0.0044979306976306406,0.06087442478132791,18.0,N1O12,H13_C24_N_O12,0,24,13,12,1,0
1667,509.059536037,0.005377885506485667,0.21764055506997976,17.0,N1O12,H15_C24_N_O12,0,24,15,12,1,0
1708,517.028286037,0.005201202556500349,0.3112789076743742,20.0,N1O12,H11_C25_N_O12,0,25,11,12,1,0
1767,531.043596037,0.005204109783551336,-0.33732447069651345,20.0,N1O12,H13_C26_N_O12,0,26,13,12,1,0
1809,543.043766037,0.005469352128814962,-0.016820007169514303,21.0,N1O12,H13_C27_N_O12,0,27,13,12,1,0
1847,557.059516037,0.005837436291832344,0.16298438014213357,21.0,N1O12,H15_C28_N_O12,0,28,15,12,1,0
1889,579.0435460369999,0.007436025487493011,-0.3957111716714457,24.0,N1O12,H13_C30_N_O12,0,30,13,12,1,0
1893,581.059286037,0.005630253267365037,-0.23957624189024382,23.0,N1O12,H15_C30_N_O12,0,30,15,12,1,0
1816,545.022786037,0.004767104860517329,-0.4654851256310566,21.0,N1O13,H11_C26_N_O13,0,26,11,13,1,0
1877,571.038666037,0.004929140645470887,-0.04163290766403059,22.0,N1O13,H13_C28_N_O13,0,28,13,13,1,0
1921,637.085766037,0.00838217595710548,0.19778184792627812,24.0,N1O13,H19_C33_N_O13,0,33,19,13,1,0
777,395.040306037,0.003947187455587785,-0.4550067352902553,23.0,N1O1S1,H9_C27_N_O_S,0,27,9,1,1,1
1213,447.071646037,0.004568529565589931,-0.3129118144972693,25.0,N1O1S1,H13_C31_N_O_S,0,31,13,1,1,1
3,211.026906037,0.004117217384472502,-0.175702713400425,10.0,N1O3,H5_C12_N_O3,0,12,5,3,1,0
13,237.042546037,0.0037352846916601464,-0.19891787696306562,11.0,N1O3,H7_C14_N_O3,0,14,7,3,1,0
16,239.058196037,0.004183126705279193,-0.19755022335029518,10.0,N1O3,H9_C14_N_O3,0,14,9,3,1,0
36,253.073846037,0.0043246073723395865,-0.18690196852154817,10.0,N1O3,H11_C15_N_O3,0,15,11,3,1,0
56,263.058306037,0.005068380264141222,0.23863150705934422,12.0,N1O3,H9_C16_N_O3,0,16,9,3,1,0
93,277.073886037,0.0035653906281602247,-0.026346762942369546,12.0,N1O3,H11_C17_N_O3,0,17,11,3,1,0
130,287.058286037,0.004996600487371439,0.14900806591671048,14.0,N1O3,H9_C18_N_O3,0,18,9,3,1,0
146,293.105156037,0.0033063089745920832,-0.1277630202989942,11.0,N1O3,H15_C18_N_O3,0,18,15,3,1,0
242,313.073916037,0.005496368887535525,0.07250683906328181,15.0,N1O3,H11_C20_N_O3,0,20,11,3,1,0
19,241.037516037,0.0033868664343759463,0.034052790337218655,10.0,N1O4,H7_C13_N_O4,0,13,7,4,1,0
40,255.053166037,0.005876847966822386,0.03189139009168564,10.0,N1O4,H9_C14_N_O4,0,14,9,4,1,0
60,265.037486037,0.003149141942746695,-0.08222233130088825,12.0,N1O4,H7_C15_N_O4,0,15,7,4,1,0
66,267.053066037,0.003353985063364757,-0.3439990461610587,11.0,N1O4,H9_C15_N_O4,0,15,9,4,1,0
78,271.084386037,0.003310038698542421,-0.2656515967739775,9.0,N1O4,H13_C15_N_O4,0,15,13,4,1,0
92,277.037596037,0.0032760967009789616,0.3183972185877051,13.0,N1O4,H7_C16_N_O4,0,16,7,4,1,0
97,279.053146037,0.006363591795008964,-0.042522366047760746,12.0,N1O4,H9_C16_N_O4,0,16,9,4,1,0
105,281.068806037,0.005907897833488724,-0.006902224517727291,11.0,N1O4,H11_C16_N_O4,0,16,11,4,1,0
139,291.053156037,0.009997809684426387,-0.006411199989638624,13.0,N1O4,H9_C17_N_O4,0,17,9,4,1,0
154,295.084426037,0.00580216778061949,-0.10849098486313088,11.0,N1O4,H13_C17_N_O4,0,17,13,4,1,0
197,303.053066037,0.006879613883159787,-0.3031350290971754,14.0,N1O4,H9_C18_N_O4,0,18,9,4,1,0
205,305.068766037,0.012594028208328337,-0.13747720083480067,13.0,N1O4,H11_C18_N_O4,0,18,11,4,1,0
214,307.084486037,0.0039706653836585094,0.0911345288876091,12.0,N1O4,H13_C18_N_O4,0,18,13,4,1,0
253,315.053086037,0.0044260053160219545,-0.22810758938678025,15.0,N1O4,H9_C19_N_O4,0,19,9,4,1,0
254,315.240946037,0.006957938573089584,-0.0404579423171631,1.0,N1O4,H33_C17_N_O4,0,17,33,4,1,0
265,317.068766037,0.005410390447595615,-0.13227414526222783,14.0,N1O4,H11_C19_N_O4,0,19,11,4,1,0
275,319.084426037,0.005448049507819073,-0.10033081337167359,13.0,N1O4,H13_C19_N_O4,0,19,13,4,1,0
294,323.115726037,0.003690380451526371,-0.09953709285353506,11.0,N1O4,H17_C19_N_O4,0,19,17,4,1,0
305,325.131496037,0.004472388492261903,0.26993386064648806,10.0,N1O4,H19_C19_N_O4,0,19,19,4,1,0
325,329.068846037,0.006961814388851529,0.11565968783389546,15.0,N1O4,H11_C20_N_O4,0,20,11,4,1,0
326,329.256496037,0.003667462055094103,-0.3426750917807862,1.0,N1O4,H35_C18_N_O4,0,18,35,4,1,0
376,339.053086037,0.005162818393918613,-0.2119609080240709,17.0,N1O4,H9_C21_N_O4,0,21,9,4,1,0
392,341.068846037,0.007641560596325387,0.11159037376392561,16.0,N1O4,H11_C21_N_O4,0,21,11,4,1,0
410,343.084476037,0.004449078082801821,0.05242440636394005,15.0,N1O4,H13_C21_N_O4,0,21,13,4,1,0
411,343.272316037,0.0050033411635590054,0.16633441540697094,1.0,N1O4,H37_C19_N_O4,0,19,37,4,1,0
427,345.100026037,0.004556266618923603,-0.23786726689612572,14.0,N1O4,H15_C21_N_O4,0,21,15,4,1,0
472,353.068836037,0.005095481756112516,0.07947458714244388,17.0,N1O4,H11_C22_N_O4,0,22,11,4,1,0
485,355.084416037,0.005985017752945464,-0.11832116007519687,16.0,N1O4,H13_C22_N_O4,0,22,13,4,1,0
574,367.084506037,0.007009614655664069,0.13072194326062656,17.0,N1O4,H13_C23_N_O4,0,23,13,4,1,0
649,377.068666037,0.004346355086388174,-0.37643011147965155,19.0,N1O4,H11_C24_N_O4,0,24,11,4,1,0
664,379.084426037,0.0046774707164782955,-0.08445084471869374,18.0,N1O4,H13_C24_N_O4,0,24,13,4,1,0
679,381.100266037,0.004977225304343356,0.41435814675594634,17.0,N1O4,H15_C24_N_O4,0,24,15,4,1,0
763,393.100036037,0.003949367145416968,-0.18338334626269384,18.0,N1O4,H15_C25_N_O4,0,25,15,4,1,0
818,400.056596037,0.004593558501727221,0.20820554106633318,22.0,N1O4,H9_C25_13C_N_O4,0,26,9,4,1,0
25,245.03248603699998,0.00380919935677022,0.25942682551906554,9.0,N1O5,H7_C12_N_O5,0,12,7,5,1,0
45,257.032446037,0.006035128218272223,0.09169270409524949,10.0,N1O5,H7_C13_N_O5,0,13,7,5,1,0
50,259.048136037,0.004407245666493445,0.2451050256070874,9.0,N1O5,H9_C13_N_O5,0,13,9,5,1,0
65,267.016706037,0.0035124854264774155,-0.24851628557043687,12.0,N1O5,H5_C14_N_O5,0,14,5,5,1,0
70,269.032476037,0.004404994391676575,0.199113507735335,11.0,N1O5,H7_C14_N_O5,0,14,7,5,1,0
77,271.048096037,0.005715688732738472,0.08667834361364969,10.0,N1O5,H9_C14_N_O5,0,14,9,5,1,0
104,281.032406037,0.004855158291154769,-0.05847012530357204,12.0,N1O5,H7_C15_N_O5,0,15,7,5,1,0
112,283.048046037,0.01058399626088332,-0.09364487886223918,11.0,N1O5,H9_C15_N_O5,0,15,9,5,1,0
122,285.063656037,0.0034284675386492777,-0.23356186802224743,10.0,N1O5,H11_C15_N_O5,0,15,11,5,1,0
153,295.048156037,0.005500174092255193,0.28298431396634455,12.0,N1O5,H9_C16_N_O5,0,16,9,5,1,0
163,297.063716037,0.006998688449073949,-0.022150130207718645,11.0,N1O5,H11_C16_N_O5,0,16,11,5,1,0
174,299.079416037,0.004619795617146504,0.14493140503741653,10.0,N1O5,H13_C16_N_O5,0,16,13,5,1,0
187,301.094946037,0.0035188345766098746,-0.2548299166769583,9.0,N1O5,H15_C16_N_O5,0,16,15,5,1,0
204,305.032356037,0.006328315492232824,-0.2177867320237286,14.0,N1O5,H7_C17_N_O5,0,17,7,5,1,0
212,307.048086037,0.022615266636582206,0.04394751390094033,13.0,N1O5,H9_C17_N_O5,0,17,9,5,1,0
222,309.063746037,0.006927588486200846,0.07577724754584654,12.0,N1O5,H11_C17_N_O5,0,17,11,5,1,0
232,311.079316037,0.0046677853163414286,-0.1821207552872047,11.0,N1O5,H13_C17_N_O5,0,17,13,5,1,0
263,317.032486037,0.004571598954551803,0.2005094204214344,15.0,N1O5,H7_C18_N_O5,0,18,7,5,1,0
273,319.048076037,0.00852598386672478,0.010951327590413477,14.0,N1O5,H9_C18_N_O5,0,18,9,5,1,0
283,321.063726037,0.010847741165077971,0.010652090869181504,13.0,N1O5,H11_C18_N_O5,0,18,11,5,1,0
292,323.079346037,0.0064041687956829275,-0.08249985750166865,12.0,N1O5,H13_C18_N_O5,0,18,13,5,1,0
336,331.048066037,0.011957104432672849,-0.01965273518997976,15.0,N1O5,H9_C19_N_O5,0,19,9,5,1,0
348,333.063686037,0.013325954028154022,-0.10982884506732246,14.0,N1O5,H11_C19_N_O5,0,19,11,5,1,0
358,335.079276037,0.005431719365117595,-0.28845114250786835,13.0,N1O5,H13_C19_N_O5,0,19,13,5,1,0
366,337.094996037,0.005389416533175842,-0.07928922213986027,12.0,N1O5,H15_C19_N_O5,0,19,15,5,1,0
378,339.110646037,0.004103365445868591,-0.07903615044075286,11.0,N1O5,H17_C19_N_O5,0,19,17,5,1,0
407,343.048056037,0.006223012514426189,-0.048115707750274087,16.0,N1O5,H9_C20_N_O5,0,20,9,5,1,0
425,345.063726037,0.009820072438533967,0.009911212702135505,15.0,N1O5,H11_C20_N_O5,0,20,11,5,1,0
438,347.079326037,0.007465164473263524,-0.13441883891165438,14.0,N1O5,H13_C20_N_O5,0,20,13,5,1,0
449,349.095026037,0.0049716684588025145,0.009372806172793522,13.0,N1O5,H15_C20_N_O5,0,20,15,5,1,0
483,355.048046037,0.006592831274220056,-0.07465468484951511,17.0,N1O5,H9_C21_N_O5,0,21,9,5,1,0
498,357.063686037,0.01698088627553926,-0.10244671021381456,16.0,N1O5,H11_C21_N_O5,0,21,11,5,1,0
514,359.079396037,0.00697678149495071,0.06501626168285794,15.0,N1O5,H13_C21_N_O5,0,21,13,5,1,0
527,361.094896037,0.005581089476977494,-0.3509548359413134,14.0,N1O5,H15_C21_N_O5,0,21,15,5,1,0
540,363.110616037,0.004780844308426302,-0.15643166972212824,13.0,N1O5,H17_C21_N_O5,0,21,17,5,1,0
556,365.126176037,0.003942747725433035,-0.40226094323894374,12.0,N1O5,H19_C21_N_O5,0,21,19,5,1,0
571,367.048156037,0.003824116304680749,0.2274742391424761,18.0,N1O5,H9_C22_N_O5,0,22,9,5,1,0
576,367.141896037,0.004350352158353753,-0.209591988339975,11.0,N1O5,H21_C21_N_O5,0,21,21,5,1,0
591,369.063666037,0.005738717671974857,-0.15330688221144187,17.0,N1O5,H11_C22_N_O5,0,22,11,5,1,0
606,371.079406037,0.008030854855524641,0.08986216822265562,16.0,N1O5,H13_C22_N_O5,0,22,13,5,1,0
623,373.094986037,0.003996792443246382,-0.09844141940337708,15.0,N1O5,H15_C22_N_O5,0,22,15,5,1,0
651,377.126156037,0.0042452264386118686,-0.44249383743048637,13.0,N1O5,H19_C22_N_O5,0,22,19,5,1,0
662,379.048046037,0.004570195012242255,-0.06992781063100649,19.0,N1O5,H9_C23_N_O5,0,23,9,5,1,0
677,381.063696037,0.01190753742888527,-0.06975211827572195,18.0,N1O5,H11_C23_N_O5,0,23,11,5,1,0
693,383.079316037,0.006239383075862212,-0.14789104401923264,17.0,N1O5,H13_C23_N_O5,0,23,13,5,1,0
713,385.094906037,0.005414770280107606,-0.30311488984469526,16.0,N1O5,H15_C23_N_O5,0,23,15,5,1,0
761,393.063726037,0.006270060408408951,0.008700879165385481,19.0,N1O5,H11_C24_N_O5,0,24,11,5,1,0
779,395.079266037,0.00827563363376371,-0.26995595351831525,18.0,N1O5,H13_C24_N_O5,0,24,13,5,1,0
798,397.094936037,0.008036297262479723,-0.2184062099878639,17.0,N1O5,H15_C24_N_O5,0,24,15,5,1,0
874,407.079316037,0.007305000611389362,-0.13917189539970665,19.0,N1O5,H13_C25_N_O5,0,25,13,5,1,0
889,409.094926037,0.004755199838789439,-0.23644390057299766,18.0,N1O5,H15_C25_N_O5,0,25,15,5,1,0
906,411.110676037,0.004569598957650897,0.007778927293677219,17.0,N1O5,H17_C25_N_O5,0,25,17,5,1,0
946,416.051526037,0.006085028798362972,0.23711966865796114,22.0,N1O5,H9_C25_13C_N_O5,0,26,9,5,1,0
957,417.063826037,0.004169467607866604,0.2479716378161997,21.0,N1O5,H11_C26_N_O5,0,26,11,5,1,0
978,419.079566037,0.0046777015415406355,0.4613586909797757,20.0,N1O5,H13_C26_N_O5,0,26,13,5,1,0
993,421.094946037,0.006203249214151936,-0.1822106884268333,19.0,N1O5,H15_C26_N_O5,0,26,15,5,1,0
1070,431.079466037,0.004967280834727238,0.2165401215455933,21.0,N1O5,H13_C27_N_O5,0,27,13,5,1,0
1191,445.095186037,0.005822061102606074,0.3668249065162914,21.0,N1O5,H15_C28_N_O5,0,28,15,5,1,0
1254,452.051596037,0.008240655358283248,0.37308573076107227,25.0,N1O5,H9_C28_13C_N_O5,0,29,9,5,1,0
1365,466.067136037,0.005307958660859772,0.125690046561877,25.0,N1O5,H11_C29_13C_N_O5,0,30,11,5,1,0
29,249.027346037,0.003131104473740231,0.03585148435230516,8.0,N1O6,H7_C11_N_O6,0,11,7,6,1,0
49,259.011656037,0.0033080036396067295,-0.11967801169264233,10.0,N1O6,H5_C12_N_O6,0,12,5,6,1,0
53,261.027276037,0.003248934824392203,-0.23396788612006528,9.0,N1O6,H7_C12_N_O6,0,12,7,6,1,0
84,273.027376037,0.005501512780222222,0.14257910910886196,10.0,N1O6,H7_C13_N_O6,0,13,7,6,1,0
111,283.011666037,0.0037572739441705913,-0.07419482143265822,12.0,N1O6,H5_C14_N_O6,0,14,5,6,1,0
120,285.027306037,0.004758704094377196,-0.10901411653548035,11.0,N1O6,H7_C14_N_O6,0,14,7,6,1,0
136,289.058666037,0.004052764599027536,0.09956456393801028,9.0,N1O6,H11_C14_N_O6,0,14,11,6,1,0
162,297.027336037,0.00561061414513065,-0.003609095342245885,12.0,N1O6,H7_C15_N_O6,0,15,7,6,1,0
172,299.042976037,0.01490435674425948,-0.0372722348056616,11.0,N1O6,H9_C15_N_O6,0,15,9,6,1,0
198,303.074346037,0.0045471612032788175,0.1937016470446574,9.0,N1O6,H13_C15_N_O6,0,15,13,6,1,0
221,309.027356037,0.005661442895197813,0.06125024099507609,13.0,N1O6,H7_C16_N_O6,0,16,7,6,1,0
231,311.042996037,0.006047281596079845,0.028465517948715192,12.0,N1O6,H9_C16_N_O6,0,16,9,6,1,0
241,313.058666037,0.00937467794973205,0.09193165102503624,11.0,N1O6,H11_C16_N_O6,0,16,11,6,1,0
282,321.027426037,0.004443156007731962,0.2770106003805584,14.0,N1O6,H7_C17_N_O6,0,17,7,6,1,0
290,323.042996037,0.029506046803875856,0.02740811624189887,13.0,N1O6,H9_C17_N_O6,0,17,9,6,1,0
304,325.058596037,0.00932426117857362,-0.12680790637966063,12.0,N1O6,H11_C17_N_O6,0,17,11,6,1,0
315,327.074356037,0.005041755518448474,0.21006232592361798,11.0,N1O6,H13_C17_N_O6,0,17,13,6,1,0
346,333.027386037,0.00626837256101218,0.1469188483105775,15.0,N1O6,H7_C18_N_O6,0,18,7,6,1,0
356,335.042956037,0.01676821068592822,-0.09296121427111456,14.0,N1O6,H9_C18_N_O6,0,18,9,6,1,0
365,337.058626037,0.0122020633908129,-0.033287977549009654,13.0,N1O6,H11_C18_N_O6,0,18,11,6,1,0
377,339.074266037,0.008940445362309646,-0.06280040142804628,12.0,N1O6,H13_C18_N_O6,0,18,13,6,1,0
393,341.090006037,0.004400049183853663,0.2012137524054928,11.0,N1O6,H15_C18_N_O6,0,18,15,6,1,0
436,347.042946037,0.01736451363336626,-0.11856169539718073,15.0,N1O6,H9_C19_N_O6,0,19,9,6,1,0
447,349.058596037,0.024692624995406507,-0.11808905576929131,14.0,N1O6,H11_C19_N_O6,0,19,11,6,1,0
460,351.074266037,0.006845425477407417,-0.060653833336789115,13.0,N1O6,H13_C19_N_O6,0,19,13,6,1,0
473,353.089816037,0.0037664582493936454,-0.3437312391826443,12.0,N1O6,H15_C19_N_O6,0,19,15,6,1,0
500,357.121266037,0.003902614356893653,0.0797600218537892,10.0,N1O6,H19_C19_N_O6,0,19,19,6,1,0
511,359.043006037,0.013964948898725398,0.05251181530093997,16.0,N1O6,H9_C20_N_O6,0,20,9,6,1,0
525,361.058616037,0.014808738679617005,-0.058771620632481994,15.0,N1O6,H11_C20_N_O6,0,20,11,6,1,0
539,363.074276037,0.008866808758614331,-0.031106582688047463,14.0,N1O6,H13_C20_N_O6,0,20,13,6,1,0
555,365.089816037,0.0045331042491659505,-0.33243326622090685,13.0,N1O6,H15_C20_N_O6,0,20,15,6,1,0
575,367.105686037,0.005909604185848298,0.2684730958852524,12.0,N1O6,H17_C20_N_O6,0,20,17,6,1,0
594,369.121146037,0.004773404826406546,-0.24792944246999446,11.0,N1O6,H19_C20_N_O6,0,20,19,6,1,0
603,371.042906037,0.008542420169476027,-0.21869707960053797,17.0,N1O6,H9_C21_N_O6,0,21,9,6,1,0
620,373.058616037,0.02178318757530905,-0.056881141717715855,16.0,N1O6,H11_C21_N_O6,0,21,11,6,1,0
637,375.074236037,0.011828335701113123,-0.13675692722622637,15.0,N1O6,H13_C21_N_O6,0,21,13,6,1,0
650,377.089936037,0.007919291356617923,-0.003627781855704236,14.0,N1O6,H15_C21_N_O6,0,21,15,6,1,0
665,379.105476037,0.004088091059992329,-0.29396040674200746,13.0,N1O6,H17_C21_N_O6,0,21,17,6,1,0
690,383.042966037,0.006377944828526689,-0.055205295148390045,18.0,N1O6,H9_C22_N_O6,0,22,9,6,1,0
711,385.058696037,0.012186008874662655,0.15265205181063987,17.0,N1O6,H11_C22_N_O6,0,22,11,6,1,0
725,387.074356037,0.008897074599225042,0.1775007796500325,16.0,N1O6,H13_C22_N_O6,0,22,13,6,1,0
737,389.089916037,0.005927341192695557,-0.054917897115063216,15.0,N1O6,H15_C22_N_O6,0,22,15,6,1,0
795,397.058536037,0.017432974204176326,-0.2549246289643626,18.0,N1O6,H11_C23_N_O6,0,23,11,6,1,0
812,399.074326037,0.013736982366166111,0.0969894515198967,17.0,N1O6,H13_C23_N_O6,0,23,13,6,1,0
830,401.089976037,0.006466650802589309,0.09631754043439145,16.0,N1O6,H15_C23_N_O6,0,23,15,6,1,0
